string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO الجزء الأول PageV01P045
",000,False,000,False,False,False,1,26262
"### || AUTO 1
",000,False,000,False,False,False,2,30
"### || AUTO 1
",000,False,000,False,False,False,2,2257
"### || AUTO 2
",000,False,000,False,False,False,2,970
"### || AUTO 3
",000,False,000,False,False,False,2,899
"### || AUTO 4
",000,False,000,False,False,False,2,1261
"### || AUTO 5
",000,False,000,False,False,False,2,74
"### || AUTO 5
",000,False,000,False,False,False,2,2143
"### || AUTO 6
",000,False,000,False,False,False,2,379
"### || AUTO 7
",000,False,000,False,False,False,2,906
"### || AUTO 8
",000,False,000,False,False,False,2,92
"### || AUTO 8
",000,False,000,False,False,False,2,926
"### || AUTO 9
",000,False,000,False,False,False,2,1219
"### || AUTO 10
",000,False,000,False,False,False,2,248
"### || AUTO 11
",000,False,000,False,False,False,2,392
"### || AUTO 12
",000,False,000,False,False,False,2,479
"### || AUTO 13
",000,False,000,False,False,False,2,936
"### || AUTO 14
",000,False,000,False,False,False,2,1534
"### || AUTO 15
",000,False,000,False,False,False,2,1156
"### || AUTO 16
",000,False,000,False,False,False,2,1406
"### || AUTO 17
",000,False,000,False,False,False,2,174
"### || AUTO 18
",000,False,000,False,False,False,2,128
"### || AUTO 19
",000,False,000,False,False,False,2,26
"### || AUTO 20
",000,False,000,False,False,False,2,60
"### || AUTO 21
",000,False,000,False,False,False,2,200
"### || AUTO 22
",000,False,000,False,False,False,2,100
"### || AUTO 23
",000,False,000,False,False,False,2,530
"### || AUTO 24
",000,False,000,False,False,False,2,325
"### || AUTO 25
",000,False,000,False,False,False,2,432
"### || AUTO 26
",000,False,000,False,False,False,2,1805
"### || AUTO 27
",000,False,000,False,False,False,2,1247
"### || AUTO 28
",000,False,000,False,False,False,2,437
"### || AUTO 29
",000,False,000,False,False,False,2,732
"### || AUTO 30
",000,False,000,False,False,False,2,803
"### || AUTO 31
",000,False,000,False,False,False,2,1017
"### || AUTO 32
",000,False,000,False,False,False,2,179
"### || AUTO 33
",000,False,000,False,False,False,2,85
"### || AUTO 34
",000,False,000,False,False,False,2,386
"### || AUTO 35
",000,False,000,False,False,False,2,263
"### | AUTO الجزء الثاني
",000,False,000,False,False,False,1,32144
"### || AUTO 37
",000,False,000,False,False,False,2,560
"### || AUTO 38
",000,False,000,False,False,False,2,546
"### || AUTO 39
",000,False,000,False,False,False,2,775
"### || AUTO 40
",000,False,000,False,False,False,2,422
"### || AUTO 41
",000,False,000,False,False,False,2,572
"### || AUTO 42
",000,False,000,False,False,False,2,783
"### || AUTO 43
",000,False,000,False,False,False,2,251
"### || AUTO 44
",000,False,000,False,False,False,2,687
"### || AUTO 45
",000,False,000,False,False,False,2,547
"### || AUTO 46
",000,False,000,False,False,False,2,434
"### || AUTO 47
",000,False,000,False,False,False,2,34
"### || AUTO 48
",000,False,000,False,False,False,2,78
"### || AUTO 49
",000,False,000,False,False,False,2,40
"### || AUTO 50
",000,False,000,False,False,False,2,376
"### || AUTO 51
",000,False,000,False,False,False,2,1555
"### || AUTO 52
",000,False,000,False,False,False,2,2640
"### || AUTO 53
",000,False,000,False,False,False,2,918
"### || AUTO 54
",000,False,000,False,False,False,2,587
"### || AUTO 55
",000,False,000,False,False,False,2,841
"### || AUTO 56
",000,False,000,False,False,False,2,318
"### || AUTO 57
",000,False,000,False,False,False,2,134
"### || AUTO 58
",000,False,000,False,False,False,2,422
"### || AUTO 59
",000,False,000,False,False,False,2,368
"### || AUTO 60
",000,False,000,False,False,False,2,694
"### || AUTO 61
",000,False,000,False,False,False,2,240
"### || AUTO 62
",000,False,000,False,False,False,2,102
"### || AUTO 63
",000,False,000,False,False,False,2,372
"### || AUTO 64
",000,False,000,False,False,False,2,1366
"### || AUTO 65
",000,False,000,False,False,False,2,134
"### || AUTO 66
",000,False,000,False,False,False,2,294
"### || AUTO 67
",000,False,000,False,False,False,2,131
"### || AUTO 68
",000,False,000,False,False,False,2,109
"### || AUTO 69
",000,False,000,False,False,False,2,803
"### || AUTO 70
",000,False,000,False,False,False,2,185
"### || AUTO 71
",000,False,000,False,False,False,2,1561
"### || AUTO 72
",000,False,000,False,False,False,2,221
"### || AUTO 73
",000,False,000,False,False,False,2,992
"### || AUTO 74
",000,False,000,False,False,False,2,1163
"### || AUTO 75
",000,False,000,False,False,False,2,116
"### || AUTO 76
",000,False,000,False,False,False,2,71
"### || AUTO 77
",000,False,000,False,False,False,2,91
"### || AUTO 78
",000,False,000,False,False,False,2,39
"### || AUTO 79
",000,False,000,False,False,False,2,41
"### || AUTO 80
",000,False,000,False,False,False,2,264
"### || AUTO 81
",000,False,000,False,False,False,2,92
"### || AUTO 82
",000,False,000,False,False,False,2,101
"### || AUTO 83
",000,False,000,False,False,False,2,140
"### || AUTO 84
",000,False,000,False,False,False,2,29
"### || AUTO 85
",000,False,000,False,False,False,2,73
"### || AUTO 86
",000,False,000,False,False,False,2,30
"### || AUTO 87
",000,False,000,False,False,False,2,46
"### || AUTO 88
",000,False,000,False,False,False,2,26
"### || AUTO 89
",000,False,000,False,False,False,2,118
"### || AUTO 90
",000,False,000,False,False,False,2,72
"### || AUTO 91
",000,False,000,False,False,False,2,183
"### || AUTO 92
",000,False,000,False,False,False,2,43
"### || AUTO 93
",000,False,000,False,False,False,2,35
"### || AUTO 94
",000,False,000,False,False,False,2,31
"### || AUTO 95
",000,False,000,False,False,False,2,28
"### || AUTO 96
",000,False,000,False,False,False,2,62
"### || AUTO 97
",000,False,000,False,False,False,2,29
"### || AUTO 98
",000,False,000,False,False,False,2,41
"### || AUTO 99
",000,False,000,False,False,False,2,76
"### || AUTO 100
",000,False,000,False,False,False,2,16
"### || AUTO 101
",000,False,000,False,False,False,2,24
"### || AUTO 102
",000,False,000,False,False,False,2,116
"### || AUTO 103
",000,False,000,False,False,False,2,163
"### || AUTO 104
",000,False,000,False,False,False,2,28
"### || AUTO 105
",000,False,000,False,False,False,2,64
"### || AUTO 106
",000,False,000,False,False,False,2,404
"### || AUTO 107
",000,False,000,False,False,False,2,74
"### || AUTO 108
",000,False,000,False,False,False,2,58
"### || AUTO 109
",000,False,000,False,False,False,2,87
"### || AUTO 110
",000,False,000,False,False,False,2,47
"### || AUTO 111
",000,False,000,False,False,False,2,97
"### || AUTO 112
",000,False,000,False,False,False,2,1843
"### || AUTO 113
",000,False,000,False,False,False,2,79
"### || AUTO 114
",000,False,000,False,False,False,2,59
"### || AUTO 115
",000,False,000,False,False,False,2,91
"### || AUTO 116
",000,False,000,False,False,False,2,30
"### || AUTO 117
",000,False,000,False,False,False,2,17
"### || AUTO 118
",000,False,000,False,False,False,2,27
"### || AUTO 119
",000,False,000,False,False,False,2,48
"### || AUTO 120
",000,False,000,False,False,False,2,82
"### || AUTO 121
",000,False,000,False,False,False,2,35
"### || AUTO 122
",000,False,000,False,False,False,2,439
"### || AUTO 123
",000,False,000,False,False,False,2,239
"### || AUTO 124
",000,False,000,False,False,False,2,260
"### || AUTO 125
",000,False,000,False,False,False,2,66
"### || AUTO 126
",000,False,000,False,False,False,2,13
"### || AUTO 127
",000,False,000,False,False,False,2,76
"### || AUTO 128
",000,False,000,False,False,False,2,167
"### || AUTO 129
",000,False,000,False,False,False,2,66
"### || AUTO 130
",000,False,000,False,False,False,2,80
"### || AUTO 131
",000,False,000,False,False,False,2,23
"### || AUTO 132
",000,False,000,False,False,False,2,66
"### || AUTO 133
",000,False,000,False,False,False,2,90
"### || AUTO 134
",000,False,000,False,False,False,2,91
"### || AUTO 135
",000,False,000,False,False,False,2,182
"### || AUTO 136
",000,False,000,False,False,False,2,211
"### || AUTO 137
",000,False,000,False,False,False,2,31
"### || AUTO 138
",000,False,000,False,False,False,2,69
"### || AUTO 139
",000,False,000,False,False,False,2,32
"### || AUTO 140
",000,False,000,False,False,False,2,96
"### || AUTO 141
",000,False,000,False,False,False,2,18
"### || AUTO 142
",000,False,000,False,False,False,2,29
"### || AUTO 143
",000,False,000,False,False,False,2,132
"### || AUTO 144
",000,False,000,False,False,False,2,125
"### || AUTO 145
",000,False,000,False,False,False,2,27
"### || AUTO 146
",000,False,000,False,False,False,2,29
"### || AUTO 147
",000,False,000,False,False,False,2,1119
"### | AUTO الجزء الثالث
",000,False,000,False,False,False,1,25712
"### || AUTO 148
",000,False,000,False,False,False,2,918
"### || AUTO 149
",000,False,000,False,False,False,2,476
"### || AUTO 150
",000,False,000,False,False,False,2,90
"### || AUTO 151
",000,False,000,False,False,False,2,399
"### || AUTO 152
",000,False,000,False,False,False,2,208
"### || AUTO 153
",000,False,000,False,False,False,2,894
"### || AUTO 154
",000,False,000,False,False,False,2,538
"### || AUTO 155
",000,False,000,False,False,False,2,405
"### || AUTO 156
",000,False,000,False,False,False,2,115
"### || AUTO 157
",000,False,000,False,False,False,2,400
"### || AUTO 158
",000,False,000,False,False,False,2,64
"### || AUTO 159
",000,False,000,False,False,False,2,44
"### || AUTO 160
",000,False,000,False,False,False,2,45
"### || AUTO 161
",000,False,000,False,False,False,2,413
"### || AUTO 162
",000,False,000,False,False,False,2,37
"### || AUTO 163
",000,False,000,False,False,False,2,42
"### || AUTO 164
",000,False,000,False,False,False,2,145
"### || AUTO 165
",000,False,000,False,False,False,2,175
"### || AUTO 166
",000,False,000,False,False,False,2,144
"### || AUTO 167
",000,False,000,False,False,False,2,103
"### || AUTO 168
",000,False,000,False,False,False,2,38
"### || AUTO 169
",000,False,000,False,False,False,2,31
"### || AUTO 170
",000,False,000,False,False,False,2,77
"### || AUTO 171
",000,False,000,False,False,False,2,129
"### || AUTO 172
",000,False,000,False,False,False,2,430
"### || AUTO 173
",000,False,000,False,False,False,2,112
"### || AUTO 174
",000,False,000,False,False,False,2,139
"### || AUTO 175
",000,False,000,False,False,False,2,466
"### || AUTO 176
",000,False,000,False,False,False,2,505
"### || AUTO 177
",000,False,000,False,False,False,2,844
"### || AUTO 178
",000,False,000,False,False,False,2,371
"### || AUTO 179
",000,False,000,False,False,False,2,755
"### || AUTO 180
",000,False,000,False,False,False,2,550
"### || AUTO 181
",000,False,000,False,False,False,2,622
"### || AUTO 182
",000,False,000,False,False,False,2,371
"### || AUTO 183
",000,False,000,False,False,False,2,396
"### || AUTO 184
",000,False,000,False,False,False,2,326
"### || AUTO 185
",000,False,000,False,False,False,2,465
"### || AUTO 186
",000,False,000,False,False,False,2,71
"### || AUTO 187
",000,False,000,False,False,False,2,38
"### || AUTO 188
",000,False,000,False,False,False,2,239
"### || AUTO 189
",000,False,000,False,False,False,2,687
"### || AUTO 190
",000,False,000,False,False,False,2,583
"### || AUTO 191
",000,False,000,False,False,False,2,622
"### || AUTO 192
",000,False,000,False,False,False,2,474
"### || AUTO 193
",000,False,000,False,False,False,2,167
"### || AUTO 194
",000,False,000,False,False,False,2,387
"### || AUTO 195
",000,False,000,False,False,False,2,489
"### || AUTO 196
",000,False,000,False,False,False,2,64
"### || AUTO 197
",000,False,000,False,False,False,2,39
"### || AUTO 198
",000,False,000,False,False,False,2,58
"### || AUTO 199
",000,False,000,False,False,False,2,34
"### || AUTO 200
",000,False,000,False,False,False,2,32
"### || AUTO 201
",000,False,000,False,False,False,2,34
"### || AUTO 202
",000,False,000,False,False,False,2,37
"### || AUTO 203
",000,False,000,False,False,False,2,507
"### || AUTO 204
",000,False,000,False,False,False,2,613
"### || AUTO 205
",000,False,000,False,False,False,2,93
"### || AUTO 206
",000,False,000,False,False,False,2,104
"### || AUTO 207
",000,False,000,False,False,False,2,83
"### || AUTO 208
",000,False,000,False,False,False,2,52
"### || AUTO 209
",000,False,000,False,False,False,2,32
"### || AUTO 210
",000,False,000,False,False,False,2,105
"### || AUTO 211
",000,False,000,False,False,False,2,39
"### || AUTO 212
",000,False,000,False,False,False,2,16
"### || AUTO 213
",000,False,000,False,False,False,2,65
"### || AUTO 214
",000,False,000,False,False,False,2,29
