string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بيان أصول الإيمان
",000,False,000,False,False,False,1,37
"### | وحدانية الله تعالى
",000,False,000,False,False,False,1,46
"### | الصفات الذاتية والفعلية
",000,False,000,False,False,False,1,36
"### | صفات الله أزلية
",000,False,000,False,False,False,1,50
"### | القول في القرآن
",000,False,000,False,False,False,1,202
"### | القول في الصفات
",000,False,000,False,False,False,1,58
"### | القول في القدر
",000,False,000,False,False,False,1,104
"### | ما فطر الله عليه الناس
",000,False,000,False,False,False,1,139
"### | الطاعات محبوبة لله والمعاصي مقدورة غير محبوبة
",000,False,000,False,False,False,1,33
"### | القول في عصمة الأنبياء
",000,False,000,False,False,False,1,21
"### | القول في الرسول صلى الله عليه وسلم
",000,False,000,False,False,False,1,34
"### | المفاضلة بين الصحابة
",000,False,000,False,False,False,1,34
"### | لا يكفر مسلم بذنب ما لم يستحله
",000,False,000,False,False,False,1,50
"### | ذكر بعض من عقائد اهل السنة
",000,year,000,False,False,False,1,130
"### | آيات الأنبياء وكرامات الأولياء حق
",000,False,000,False,False,False,1,52
"### | رؤية الله في الآخرة
",000,False,000,False,False,False,1,37
"### | تعريف الإيمان
",000,False,000,False,False,False,1,32
"### | علاقة الإسلام والإيمان
",000,False,000,False,False,False,1,40
"### | معرفتنا بالله تعالى
",000,False,000,False,False,False,1,54
"### | شفاعة الأنبياء والميزان والحوض
",000,False,000,False,False,False,1,60
"### | الجنة والنار لا تفنيان
",000,False,000,False,False,False,1,64
"### | عذاب القبر
",000,False,000,False,False,False,1,77
"### | معنى القرب والبعد
",000,False,000,False,False,False,1,43
"### | القول في تفاضل آيات القرآن
",000,False,000,False,False,False,1,74
"### | أبناء رسول الله وبناته
",000,False,000,False,False,False,1,72
"### | أشراط الساعة
",000,False,000,False,False,False,1,155
