string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [تفسير القرآن من الجامع لابن وهب]
",000,False,000,False,False,False,1,48
"### | الجزء الأول
",000,False,000,False,False,False,1,37
"### | الجزء الأول من التفسير تفسير القرآن من جامع عبد الله بن وهب
",000,False,000,False,False,False,1,91
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,17
"### | 1 - 
",000,False,000,False,False,False,1,29
"### | 2 - 
",000,False,000,False,False,False,1,77
"### | 3 - 
",000,False,000,False,False,False,1,22
"### | 4 - 
",000,False,000,False,False,False,1,26
"### | 5 - 
",000,False,000,False,False,False,1,28
"### | 6 - 
",000,False,000,False,False,False,1,25
"### | [ص: 6]
",000,False,000,False,False,False,1,16
"### | 7 - 
",000,False,000,False,False,False,1,83
"### | 8 - 
",000,False,000,False,False,False,1,19
"### | 9 - 
",000,False,000,False,False,False,1,27
"### | 10 - 
",000,False,000,False,False,False,1,23
"### | 11 - 
",000,False,000,False,False,False,1,27
"### | 12 - 
",000,False,000,False,False,False,1,31
"### | 13 - 
",000,False,000,False,False,False,1,23
"### | [ص: 9]
",000,False,000,False,False,False,1,39
"### | 14 - 
",000,False,000,False,False,False,1,27
"### | 15 - 
",000,False,000,False,False,False,1,32
"### | [ص: 10]
",000,False,000,False,False,False,1,26
"### | 16 - 
",000,False,000,False,False,False,1,33
"### | 17 - 
",000,False,000,False,False,False,1,34
"### | 18 - 
",000,False,000,False,False,False,1,18
"### | 19 - 
",000,False,000,False,False,False,1,60
"### | 20 - 
",000,False,000,False,False,False,1,24
"### | [ص: 12]
",000,False,000,False,False,False,1,34
"### | 21 - 
",000,False,000,False,False,False,1,43
"### | 22 - 
",000,False,000,False,False,False,1,21
"### | [ص: 13]
",000,False,000,False,False,False,1,13
"### | 23 - 
",000,False,000,False,False,False,1,65
"### | 24 - 
",000,False,000,False,False,False,1,25
"### | [ص: 14]
",000,False,000,False,False,False,1,14
"### | 25 - 
",000,False,000,False,False,False,1,45
"### | 26 - 
",000,False,000,False,False,False,1,33
"### | 27 - 
",000,False,000,False,False,False,1,42
"### | 28 - 
",000,False,000,False,False,False,1,36
"### | 29 - 
",000,False,000,False,False,False,1,25
"### | [ص: 16]
",000,False,000,False,False,False,1,21
"### | 30 - 
",000,False,000,False,False,False,1,26
"### | 31 - 
",000,False,000,False,False,False,1,25
"### | [ص: 17]
",000,False,000,False,False,False,1,38
"### | 32 - 
",000,False,000,False,False,False,1,50
"### | 33 - 
",000,False,000,False,False,False,1,20
"### | [ص: 18]
",000,False,000,False,False,False,1,34
"### | 34 - 
",000,False,000,False,False,False,1,29
"### | 35 - 
",000,False,000,False,False,False,1,19
"### | 36 - 
",000,False,000,False,False,False,1,25
"### | [ص: 19]
",000,False,000,False,False,False,1,16
"### | 37 - 
",000,False,000,False,False,False,1,25
"### | 38 - 
",000,False,000,False,False,False,1,22
"### | 39 - 
",000,False,000,False,False,False,1,20
"### | 40 - 
",000,False,000,False,False,False,1,26
"### | 41 - 
",000,False,000,False,False,False,1,29
"### | 42 - 
",000,False,000,False,False,False,1,34
"### | [ص: 21]
",000,False,000,False,False,False,1,5
"### | 43 - 
",000,False,000,False,False,False,1,13
