string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | نسب ولد نزار بن معد بن عدنان
",000,False,000,False,False,False,1,13013
"### || ولد ربيعة بت نزار بن معد بن عدنان 
",000,False,000,False,False,False,2,37
"### || فولد أسد بن ربيعة: 
",000,False,000,False,False,False,2,45
"### || فولد جديلة بن أسد 
",000,False,000,False,False,False,2,36
"### || فولد أفصى بن دعمي بن جديلة: 
",000,False,000,False,False,False,2,52
"### || فولد هنب بن أفصى بن دعمي بن جديلة: 
",000,False,000,False,False,False,2,25
"### || فولد قاسط بن هنب بن أفصى بن دعمي بن جديلة: 
",000,False,000,False,False,False,2,44
"### || فولد وائل بن قسط بن هنب بن أفصى بن دعمي بن جديلة 
",000,False,000,False,False,False,2,52
"### || فولد بكر بن وضائل بن قسط 
",000,False,000,False,False,False,2,22
"### || فولد علي بن بكر بن وائل: 
",000,False,000,False,False,False,2,18
"### || فولد صعب بن علي بن بكر 
",000,False,000,False,False,False,2,32
"### || فولد عكابة بن صعب بن علي بن بكر بن وائل 
",000,False,000,False,False,False,2,32
"### || وهؤلاء بنو قيس بن عكابة
",000,False,000,False,False,False,2,159
"### ||| فولد قيس بن عكابة بن صغب بن علي بن بكر بن وائل: 
",000,False,000,False,False,False,3,18
"### ||| فولد عمرو بن قيسبن عكابة بن صعب بن علي بن بكر بن وائل 
",000,False,000,False,False,False,3,140
"### || وهؤلاء بنو شيبان بن ثعلبة
",000,False,000,False,False,False,2,775
"### ||| فولد شيبان بن ثعلبة 
",000,False,000,False,False,False,3,48
"### ||| فولد ذهل بن شيبان بن ثعلبة بن عكابة بن صعب بن علي 
",000,False,000,False,False,False,3,79
"### ||| فولد أبو ربيعة بن ذهل 
",000,False,000,False,False,False,3,110
"### ||| فولد عمرو بن ابي ربيعة
",000,False,000,False,False,False,3,141
"### ||| وولد عامر ms003 بن أبي ربيعة: 
",000,False,000,False,False,False,3,13
"### ||| فولد مسعود بن عامر بن عمرو: 
",000,False,000,False,False,False,3,12
"### ||| فولد هانئ بن مسعود بن عامر بن عمرو: 
",000,False,000,False,False,False,3,342
"### ||| ومن بني قيس بن عمرو بن أبي ربيعة 
",000,False,000,False,False,False,3,84
"### || وهؤلاء بنو محلم بن ذهل بن شيبان
",000,False,000,False,False,False,2,209
"### ||| وولد محلم بن ذهل بن شيبان: 
",000,False,000,False,False,False,3,64
