string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة التحقيق
",000,False,000,False,False,False,1,4
"### | فهرس الكتاب
",000,False,000,False,False,False,1,187
"### | تصدير بقلم العلامة الأستاذ أمين الخولي
",000,False,000,False,False,False,1,22
"### | شروق جديد
",000,False,000,False,False,False,1,22
"### | مقدمة
",000,False,000,False,False,False,1,474
"### | مقدمة
",000,False,000,False,False,False,1,2
"### | أبو عبيدة
",000,False,000,False,False,False,1,263
"### | مذهبه
",000,False,000,False,False,False,1,148
"### | شيوخه:
",000,False,000,False,False,False,1,85
"### | منزلته العلمية
",000,False,000,False,False,False,1,188
"### | ثقافة أبى عبيدة:
",000,False,000,False,False,False,1,83
"### | أبو عبيدة في رأى معاصريه
",000,False,000,False,False,False,1,284
"### | الحس الفنى عند أبى عبيدة
",000,False,000,False,False,False,1,55
"### | تصائيفه:
",000,False,000,False,False,False,1,74
"### | مجاز القرآن
",000,False,000,False,False,False,1,337
"### | حول اسم مجاز القرآن
",000,False,000,False,False,False,1,222
"### | معنى «المجاز» عند أبى عبيدة
",000,False,000,False,False,False,1,73
"### | منهج التفسير عند أبى عبيدة
",000,False,000,False,False,False,1,134
"### | رواية كتاب ms009 المجاز
",000,False,000,False,False,False,1,29
"### | 1- 
",000,False,000,False,False,False,1,27
"### | 4- 
",000,False,000,False,False,False,1,231
"### | الأصول الخطية لكتاب المجاز
",000,False,000,False,False,False,1,492
"### | الصلة بين النسخ
",000,False,000,False,False,False,1,581
"### | عملنا فى هذا الكتاب
",000,False,000,False,False,False,1,87
"### | ..... 
",000,False,000,False,False,False,1,220
"### | الرموز المستعملة فى مقدمة الكتاب وحواشيه
",000,False,000,False,False,False,1,40
"### | 1- 
",000,False,000,False,False,False,1,97
"### | بيان تفصيلى بالمصادر كما ذكرت فى الحواشي مختصرة
",000,False,000,False,False,False,1,3025
"### | الجزء الأول
",000,False,000,False,False,False,1,4
"### | مقدمة المؤلف
",000,False,000,False,False,False,1,1227
"### | .... 
",000,False,000,False,False,False,1,935
"### | أم الكتاب (1)
",000,False,000,False,False,False,1,526
"### | سورة البقرة (2)
",000,False,000,False,False,False,1,2138
"### | على قرواء تركع فى الظراب 
",000,False,000,False,False,False,1,2456
