string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | CHECK المقدمة
",000,False,000,False,False,False,1,187
"### | AUTO باب شعر
",000,False,000,False,False,False,1,1540
"### | AUTO باب رجز
",000,False,000,False,False,False,1,6623
"### | AUTO باب رجز
",000,False,000,False,False,False,1,1521
"### | AUTO باب رجز
",000,False,000,False,False,False,1,4012
"### | AUTO باب نوادر
",000,False,000,False,False,False,1,1524
"### | AUTO باب رجز
",000,False,000,False,False,False,1,310
"### | AUTO باب نوادر
",000,False,000,False,False,False,1,1548
"### | AUTO باب رجز
",000,False,000,False,False,False,1,4511
"### | AUTO باب نوادر
",000,False,000,False,False,False,1,1358
"### | AUTO باب شعر
",000,False,000,False,False,False,1,3667
"### | AUTO باب رجز
",000,False,000,False,False,False,1,750
"### | AUTO [باب نوادر]
",000,False,000,False,False,False,1,607
"### | AUTO باب رجز
",000,False,000,False,False,False,1,2146
"### | AUTO باب نوادر
",000,False,000,False,False,False,1,7442
"### | AUTO باب نوادر
",000,False,000,False,False,False,1,4927
