string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | باب فضل الطهور تكون بعده الصلاة
",000,False,000,False,False,False,1,81
"### | 1 - 
",000,False,000,False,False,False,1,42
"### | [ص: 90]
",000,False,000,False,False,False,1,67
"### | 2 - 
",000,False,000,False,False,False,1,116
"### | 3 - 
",000,False,000,False,False,False,1,32
"### | [ص: 94]
",000,False,000,False,False,False,1,47
"### | [ص: 96]
",000,False,000,False,False,False,1,4
"### | 4 - 
",000,False,000,False,False,False,1,43
"### | [ص: 97]
",000,False,000,False,False,False,1,27
"### | 5 - 
",000,False,000,False,False,False,1,54
"### | 6 - 
",000,False,000,False,False,False,1,48
"### | 7 - 
",000,False,000,False,False,False,1,61
"### | 8 - 
",000,False,000,False,False,False,1,40
"### | 9 - 
",000,False,000,False,False,False,1,42
"### | 10 - 
",000,False,000,False,False,False,1,42
"### | [ص: 104]
",000,False,000,False,False,False,1,25
"### | 11 - 
",000,False,000,False,False,False,1,58
"### | [ص: 105]
",000,False,000,False,False,False,1,32
"### | 12 - 
",000,False,000,False,False,False,1,126
"### | 13 - 
",000,False,000,False,False,False,1,123
"### | 14 - 
",000,False,000,False,False,False,1,47
"### | 15 - 
",000,False,000,False,False,False,1,57
"### | [ص: 108]
",000,False,000,False,False,False,1,12
"### | 16 - 
",000,False,000,False,False,False,1,45
"### | [ص: 109]
",000,False,000,False,False,False,1,19
"### | 17 - 
",000,False,000,False,False,False,1,53
"### | [ص: 111]
",000,False,000,False,False,False,1,4
"### | 18 - 
",000,False,000,False,False,False,1,67
"### | 19 - 
",000,False,000,False,False,False,1,47
"### | باب فضل الوضوء من غير ذكر صلاة بعده
",000,False,000,False,False,False,1,10
"### | 20 - 
",000,False,000,False,False,False,1,39
"### | [ص: 114]
",000,False,000,False,False,False,1,62
"### | [ص: 115]
",000,False,000,False,False,False,1,4
"### | 21 - 
",000,False,000,False,False,False,1,46
"### | 22 - 
",000,False,000,False,False,False,1,43
"### | 23 - 
",000,False,000,False,False,False,1,64
"### | [ص: 116]
",000,False,000,False,False,False,1,33
"### | 24 - 
",000,False,000,False,False,False,1,33
"### | 25 - 
",000,False,000,False,False,False,1,40
"### | 26 - 
",000,False,000,False,False,False,1,84
"### | [ص: 118]
",000,False,000,False,False,False,1,13
"### | 27 - 
",000,False,000,False,False,False,1,44
"### | 28 - 
",000,False,000,False,False,False,1,75
"### | 29 - 
",000,False,000,False,False,False,1,43
"### | 30 - 
",000,False,000,False,False,False,1,45
"### | 31 - 
",000,False,000,False,False,False,1,32
"### | 32 - 
",000,False,000,False,False,False,1,39
"### | 33 - 
",000,False,000,False,False,False,1,66
"### | [ص: 122]
",000,False,000,False,False,False,1,59
"### | 34 - 
",000,False,000,False,False,False,1,41
"### | 35 - 
",000,False,000,False,False,False,1,36
"### | 36 - 
",000,False,000,False,False,False,1,37
"### | [ص: 128]
",000,False,000,False,False,False,1,10
"### | 37 - 
",000,False,000,False,False,False,1,35
"### | باب فضل الوضوء في غير حدث والرخصة في تركه
",000,False,000,False,False,False,1,11
"### | 38 - 
",000,False,000,False,False,False,1,57
"### | [ص: 130]
",000,False,000,False,False,False,1,30
"### | 39 - 
",000,False,000,False,False,False,1,64
"### | 40 - 
",000,False,000,False,False,False,1,40
"### | 41 - 
",000,False,000,False,False,False,1,39
"### | 42 - 
",000,False,000,False,False,False,1,42
"### | [ص: 135]
",000,False,000,False,False,False,1,9
"### | 43 - 
",000,False,000,False,False,False,1,34
"### | [ص: 136]
",000,False,000,False,False,False,1,22
"### | 44 - 
",000,False,000,False,False,False,1,43
"### | 45 - 
",000,False,000,False,False,False,1,54
"### | [ص: 137]
",000,False,000,False,False,False,1,10
"### | 46 - 
",000,False,000,False,False,False,1,40
"### | 47 - 
",000,False,000,False,False,False,1,49
"### | 48 - 
",000,False,000,False,False,False,1,26
"### | 49 - 
",000,False,000,False,False,False,1,73
"### | [ص: 139]
",000,False,000,False,False,False,1,18
"### | 50 - 
",000,False,000,False,False,False,1,19
"### | 51 - 
",000,False,000,False,False,False,1,47
"### | باب الفضل في تسمية الله عز وجل عند الوضوء للصلاة ووجوبه والرخصة في تركه
",000,False,000,False,False,False,1,16
"### | 52 - 
",000,False,000,False,False,False,1,35
"### | [ص: 141]
",000,False,000,False,False,False,1,70
"### | [ص: 143]
",000,False,000,False,False,False,1,13
"### | 53 - 
",000,False,000,False,False,False,1,38
"### | [ص: 144]
",000,False,000,False,False,False,1,20
"### | 54 - 
",000,False,000,False,False,False,1,37
"### | [ص: 145]
",000,False,000,False,False,False,1,19
"### | [ص: 146]
",000,False,000,False,False,False,1,4
"### | 55 - 
",000,False,000,False,False,False,1,25
"### | [ص: 147]
",000,False,000,False,False,False,1,26
"### | 56 - 
",000,False,000,False,False,False,1,37
"### | [ص: 148]
",000,False,000,False,False,False,1,4
"### | 57 - 
",000,False,000,False,False,False,1,35
"### | 58 - 
",000,False,000,False,False,False,1,32
"### | [ص: 149]
",000,False,000,False,False,False,1,26
"### | 59 - 
",000,False,000,False,False,False,1,146
"### | [ص: 150]
",000,False,000,False,False,False,1,122
"### | 60 - 
",000,False,000,False,False,False,1,31
"### | [ص: 151]
",000,False,000,False,False,False,1,74
"### | باب فضل ذكر الله جل وعز بعد الوضوء والطهور , وما يستحب من ذلك إن لم يكن هناك صلاة
",000,False,000,False,False,False,1,20
"### | 61 - 
",000,False,000,False,False,False,1,74
"### | [ص: 152]
",000,False,000,False,False,False,1,10
"### | 62 - 
",000,False,000,False,False,False,1,28
"### | [ص: 154]
",000,False,000,False,False,False,1,44
"### | 63 - 
",000,False,000,False,False,False,1,40
"### | 64 - 
",000,False,000,False,False,False,1,47
"### | [ص: 155]
",000,False,000,False,False,False,1,10
"### | 65 - 
",000,False,000,False,False,False,1,42
"### | باب فضل النوم على طهارة وإن كان لم يكن هناك صلاة
",000,False,000,False,False,False,1,13
"### | 66 - 
",000,False,000,False,False,False,1,68
"### | 67 - 
",000,False,000,False,False,False,1,41
"### | 68 - 
",000,False,000,False,False,False,1,33
"### | 69 - 
",000,False,000,False,False,False,1,59
"### | [ص: 157]
",000,False,000,False,False,False,1,17
"### | 70 - 
",000,False,000,False,False,False,1,61
"### | 71 - 
",000,False,000,False,False,False,1,32
"### | 72 - 
",000,False,000,False,False,False,1,24
"### | 73 - 
",000,False,000,False,False,False,1,52
"### | 74 - 
",000,False,000,False,False,False,1,35
"### | ذكر أبواب السنن في عدد الوضوء ومقادير مائه والسنة فيه
",000,year,000,False,False,False,1,12
"### | باب الوضوء ثلاثا ثلاثا والسنة فيه
",000,year,000,False,False,False,1,8
"### | 75 - 
",000,False,000,False,False,False,1,167
"### | [ص: 162]
",000,False,000,False,False,False,1,22
"### | 76 - 
",000,False,000,False,False,False,1,86
"### | 77 - 
",000,False,000,False,False,False,1,86
"### | 78 - 
",000,False,000,False,False,False,1,44
"### | 79 - 
",000,False,000,False,False,False,1,43
"### | [ص: 165]
",000,False,000,False,False,False,1,12
"### | 80 - 
",000,False,000,False,False,False,1,39
