string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | شرح وتلخيص
",000,False,000,False,False,False,1,4
"### | أفي تنزيه الله
",000,False,000,False,False,False,1,154
"### | ب في العقل
",000,False,000,False,False,False,1,133
"### | القسم الأول
",000,False,000,False,False,False,1,30
"### | أفضائل القرآن
",000,False,000,False,False,False,1,116
"### | ب فضائل القراء
",000,False,000,False,False,False,1,143
"### | القسم الثاني
",000,False,000,False,False,False,1,52
"### | القسم الثالث
",000,False,000,False,False,False,1,191
"### | البدوات وحدوث الارادات
",000,False,000,False,False,False,1,213
"### | السمع والبصر
",000,False,000,False,False,False,1,60
"### | العلو
",000,False,000,False,False,False,1,150
"### | الحشوية والنسخ في الأخبار
",000,False,000,False,False,False,1,139
"### | أين يجوز النسخ
",000,False,000,False,False,False,1,147
"### | القول بخلق القرآن
",000,False,000,False,False,False,1,258
"### | القسم الرابع مع المعتزلة دفاع والتزامات
",000,False,000,False,False,False,1,152
"### | في الوعد والوعيد
",000,False,000,False,False,False,1,104
"### | الزام المعتزلة
",000,False,000,False,False,False,1,37
"### | أامتناع الخوف والرجاء
",000,False,000,False,False,False,1,72
"### | ب امتناع العفو
",000,False,000,False,False,False,1,147
"### | القسم الخامس
",000,False,000,False,False,False,1,104
"### | 1 - 
",000,False,000,False,False,False,1,27
"### | 2 - 
",000,False,000,False,False,False,1,25
"### | 3 - 
",000,False,000,False,False,False,1,61
"### | 4 - 
",000,False,000,False,False,False,1,57
"### | 5 - 
",000,False,000,False,False,False,1,26
"### | 6 - 
",000,False,000,False,False,False,1,44
"### | 7 - 
",000,False,000,False,False,False,1,50
"### | 8 - 
",000,False,000,False,False,False,1,38
"### | 9 - 
",000,False,000,False,False,False,1,107
"### | 10 - 
",000,False,000,False,False,False,1,30
"### | 11 - 
",000,False,000,False,False,False,1,36
"### | 12 - 
",000,False,000,False,False,False,1,38
"### | 13 - 
",000,False,000,False,False,False,1,23
"### | 14 - 
",000,False,000,False,False,False,1,61
"### | 15 - 
",000,False,000,False,False,False,1,65
"### | القسم السادس
",000,False,000,False,False,False,1,70
"### | التقديم والتأخير
",000,False,000,False,False,False,1,68
"### | الإضمار
",000,False,000,False,False,False,1,30
"### | الحروف الزوائدة
",000,False,000,False,False,False,1,45
"### | الفصل والوصل
",000,False,000,False,False,False,1,97
"### | فهم القرآن
",000,False,000,False,False,False,1,16
"### | في تنزيه الله
",000,False,000,False,False,False,1,347
"### | في العقل
",000,False,000,False,False,False,1,583
"### | القسم الأول
",000,False,000,False,False,False,1,1967
"### | فضائل القراء
",000,False,000,False,False,False,1,1011
"### | القسم الثاني
",000,False,000,False,False,False,1,3186
"### | القسم الثالث
",000,False,000,False,False,False,1,601
"### | القسم الرابع - باب ما لا يجوز فيه النسخ وما يجوز ذلك فيه
",000,False,000,False,False,False,1,95
"### | أخباره تعالى عما كان ويكون
",000,False,000,False,False,False,1,998
"### | البداوات وحدوث الإرادات
",000,False,000,False,False,False,1,397
"### | السمع والبصر
",000,False,000,False,False,False,1,226
"### | العلو
",000,False,000,False,False,False,1,1192
"### | الحشوية والنسخ في الأخبار
",000,False,000,False,False,False,1,940
"### | القول بخلق القرآن
",000,False,000,False,False,False,1,847
"### | القسم الخامس
",000,False,000,False,False,False,1,10
"### | دفاع عن أهل السنة
",000,year,000,False,False,False,1,252
"### | في الوعد والوعيد
",000,False,000,False,False,False,1,495
"### | وأما قولهم لا يخلو من ثلاث خلال
",000,False,000,False,False,False,1,599
"### | وأحسن الأعمال التوحيد
",000,False,000,False,False,False,1,454
"### | فكل من أقر فقد آمن
",000,False,000,False,False,False,1,81
"### | إمتناع الخوف والرجاء
",000,False,000,False,False,False,1,571
"### | إمتناع العفو
",000,False,000,False,False,False,1,183
"### | امتناع شفاعة النبي
",000,False,000,False,False,False,1,477
"### | القسم السادس
",000,False,000,False,False,False,1,7779
"### | القسم السابع
",000,False,000,False,False,False,1,1180
"### | الحروف الزوائد
",000,False,000,False,False,False,1,286
"### | المفصل والموصول
",000,False,000,False,False,False,1,1071
