string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,732
"### | فصل منه
",000,False,000,False,False,False,1,1758
"### | فصل منه
",000,False,000,False,False,False,1,316
"### | فصل منه
",000,False,000,False,False,False,1,526
"### | فصل منه
",000,False,000,False,False,False,1,1980
"### | فصل منه
",000,False,000,False,False,False,1,108
"### | فصل منه 
",000,False,000,False,False,False,1,85
"### | فصل منه
",000,False,000,False,False,False,1,600
"### | فصل منه
",000,False,000,False,False,False,1,334
"### | فصل منه
",000,False,000,False,False,False,1,282
