string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 213 - 276 
",000,False,000,False,False,False,1,31
"### | مقدمة المؤلف
",000,False,000,False,False,False,1,380
"### | سبب تأليف الرسالة
",000,False,000,False,False,False,1,362
"### | الرد على نفاة القدر
",000,False,000,False,False,False,1,1374
"### | الرد على أهل الجبر
",000,False,000,False,False,False,1,398
"### | الرد على نفاة الصفات والقائلين بالمجاز والزاعمين أن صفات الله كلها معنى واحد
",000,False,000,False,False,False,1,255
"### | الرد على القائلين بخلق القرآن
",000,False,000,False,False,False,1,331
"### | [الرد على متأولي الصفات] (الرد على القائلين أن اليد هي النعمة)
",000,False,000,False,False,False,1,479
"### | الرد على متأول الروح
",000,False,000,False,False,False,1,190
"### | الرد على نفاة النظر لوجه الله يوم القيامة
",000,False,000,False,False,False,1,422
"### | الرد عل نفاة صفة النفس
",000,False,000,False,False,False,1,185
"### | الرد على متأولي العرش
",000,False,000,False,False,False,1,136
"### | الرد على نفاة الخلة لله
",000,False,000,False,False,False,1,164
"### | الرد على متأولي الاستواء
",000,False,000,False,False,False,1,93
"### | الرد على متأولي صفة الأصابع
",000,False,000,False,False,False,1,296
"### | الرد على المشبهة
",000,False,000,False,False,False,1,103
"### | مجمل اعتقاد السلف في الصفات
",000,False,000,False,False,False,1,64
"### | الرد على النواصب والروافض
",000,False,000,False,False,False,1,447
"### | ذكر مسألة اللفظ
",000,False,000,False,False,False,1,917
"### | فصل مسألة اللفظ
",000,False,000,False,False,False,1,521
"### | هل الإيمان مخلوق أم لا؟
",000,False,000,False,False,False,1,410
