string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | أسباب العقوبات وأنواعها
",000,False,000,False,False,False,1,5825
"### | قصة آدم عليه السلام
",000,False,000,False,False,False,1,959
"### | نوح عليه السلام
",000,False,000,False,False,False,1,63
"### | هود ينصح قومه
",000,False,000,False,False,False,1,101
"### | الريح عقوبة عاد
",000,False,000,False,False,False,1,81
"### | آدم عليه السلام
",000,False,000,False,False,False,1,419
"### | عاد قوم هود
",000,False,000,False,False,False,1,581
"### | ثمود قوم صالح
",000,False,000,False,False,False,1,1172
"### | قوم لوط
",000,False,000,False,False,False,1,780
"### | يعقوب ويوسف عليهما السلام
",000,False,000,False,False,False,1,910
"### | أيوب عليه السلام
",000,False,000,False,False,False,1,211
"### | يونس عليه السلام وقومه
",000,False,000,False,False,False,1,1199
"### | قوم شعيب عليه السلام
",000,False,000,False,False,False,1,432
"### | ابنا هارون عليه السلام
",000,False,000,False,False,False,1,210
"### | أول قصة سليمان بن داود عليهما السلام
",000,False,000,False,False,False,1,1082
"### | أول قصة داود عليه السلام
",000,False,000,False,False,False,1,1140
"### | من أخبار بني إسرائيل
",000,False,000,False,False,False,1,178
"### | الملائكة عليهم السلام
",000,False,000,False,False,False,1,596
"### | شعيا وبنو إسرائيل
",000,False,000,False,False,False,1,240
"### | أصحاب السبت
",000,False,000,False,False,False,1,716
"### | مسخ وخسف
",000,False,000,False,False,False,1,286
"### | قارون
",000,False,000,False,False,False,1,129
"### | عقوبة ملكين
",000,False,000,False,False,False,1,109
"### | والد لوط عليه السلام
",000,False,000,False,False,False,1,91
"### | موسى وبنو إسرائيل
",000,False,000,False,False,False,1,68
"### | أصحاب الفيل
",000,False,000,False,False,False,1,130
"### | فرعون
",000,False,000,False,False,False,1,510
"### | الظالم
",000,False,000,False,False,False,1,57
"### | تأخير العقوبة
",000,False,000,False,False,False,1,217
"### | أهل العقوبات
",000,False,000,False,False,False,1,434
"### | الفتن
",000,False,000,False,False,False,1,438
"### | آثار عصيان بني آدم على الحيوانات
",000,False,000,False,False,False,1,242
"### | ولاة الخير وولاة الشر
",000,False,000,False,False,False,1,442
"### | الأرض
",000,False,000,False,False,False,1,228
"### | عقوبات في آخر الزمان
",000,False,000,False,False,False,1,713
"### | قوم موسى عليه السلام
",000,False,000,False,False,False,1,324
"### | في البيت الحرام والدعاء بالعقوبة
",000,False,000,False,False,False,1,530
"### | الوقوع في الصحابة رضي الله عنهم
",000,False,000,False,False,False,1,144
"### | قتل الولد
",000,False,000,False,False,False,1,270
"### | الاستهزاء
",000,False,000,False,False,False,1,67
"### | أنواع المعاصي
",000,False,000,False,False,False,1,120
"### | شكوى يعقوب عليه السلام
",000,False,000,False,False,False,1,76
"### | وقت العذاب
",000,False,000,False,False,False,1,81
"### | الفتنة
",000,False,000,False,False,False,1,93
"### | إسرائيليات
",000,False,000,False,False,False,1,421
"### | المؤمن في الفتن
",000,False,000,False,False,False,1,85
"### | في زمن العقوبة
",000,False,000,False,False,False,1,84
"### | الاعتبار بالآخرين
",000,False,000,False,False,False,1,130
"### | عدم استجابة الدعاء
",000,False,000,False,False,False,1,88
"### | بختنصر
",000,False,000,False,False,False,1,61
"### | جالوت
",000,False,000,False,False,False,1,52
"### | الذين تعرضوا لعثمان رضي الله عنه
",000,False,000,False,False,False,1,89
"### | تلفظه الأرض
",000,False,000,False,False,False,1,322
"### | من علامات الساعة
",000,False,000,False,False,False,1,309
"### | بنو إسرائيل
",000,False,000,False,False,False,1,71
"### | نوح عليه السلام
",000,False,000,False,False,False,1,58
"### | ضلال
",000,False,000,False,False,False,1,179
"### | وتقليد
",000,False,000,False,False,False,1,55
"### | الدعاء على الآخرين
",000,False,000,False,False,False,1,91
"### | الربا
",000,False,000,False,False,False,1,94
"### | من أشراط الساعة
",000,False,000,False,False,False,1,145
"### | الزلزال
",000,False,000,False,False,False,1,90
"### | عقوبة عدم تسبيح الطيور
",000,False,000,False,False,False,1,80
"### | المسخ
",000,False,000,False,False,False,1,78
"### | ابنا هارون عليه السلام
",000,False,000,False,False,False,1,95
"### | الدعاء من سبل النجاة
",000,False,000,False,False,False,1,51
