string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [فضائله، ومقتله، رضي الله عنه]
",000,False,000,False,False,False,1,2880
"### | وصية علي بن أبي طالب رحمه الله
",000,False,000,False,False,False,1,1683
"### | موت علي بن أبي طالب رحمة الله عليه
",000,False,000,False,False,False,1,333
"### | سن علي بن أبي طالب رحمه الله
",000,False,000,False,False,False,1,405
"### | صفة علي رحمة الله عليه
",000,False,000,False,False,False,1,466
"### | غسل علي وتكفينه والصلاة عليه ودفنه رضوان الله عليه
",000,False,000,False,False,False,1,173
"### | موضع دفن علي رحمة الله عليه
",000,False,000,False,False,False,1,419
"### | أمر ابن ملجم وقتله
",000,False,000,False,False,False,1,1935
"### | ندب علي ومراثيه صلوات الله عليه
",000,False,000,False,False,False,1,1293
"### | ولد علي بن أبي طالب عليه وعليهم السلام
",000,False,000,False,False,False,1,1576
"### | ولد علي بن أبي طالب
",000,False,000,False,False,False,1,127
