string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | باب مداراة الناس والصبر على أذاهم
",000,False,000,False,False,False,1,127
"### | 1 - 
",000,False,000,False,False,False,1,50
"### | 2 - 
",000,False,000,False,False,False,1,35
"### | [ص: 23]
",000,False,000,False,False,False,1,16
"### | 3 - 
",000,False,000,False,False,False,1,17
"### | [ص: 24]
",000,False,000,False,False,False,1,28
"### | 4 - 
",000,False,000,False,False,False,1,23
"### | 5 - 
",000,False,000,False,False,False,1,43
"### | [ص: 26]
",000,False,000,False,False,False,1,16
"### | 6 - 
",000,False,000,False,False,False,1,35
"### | 7 - 
",000,False,000,False,False,False,1,19
"### | [ص: 27]
",000,False,000,False,False,False,1,15
"### | 8 - 
",000,False,000,False,False,False,1,35
"### | 9 - 
",000,False,000,False,False,False,1,25
"### | [ص: 28]
",000,False,000,False,False,False,1,63
"### | 10 - 
",000,False,000,False,False,False,1,21
"### | [ص: 29]
",000,False,000,False,False,False,1,103
"### | 11 - 
",000,False,000,False,False,False,1,17
"### | [ص: 30]
",000,False,000,False,False,False,1,73
"### | 12 - 
",000,False,000,False,False,False,1,19
"### | [ص: 31]
",000,False,000,False,False,False,1,38
"### | 13 - 
",000,False,000,False,False,False,1,51
"### | [ص: 32]
",000,False,000,False,False,False,1,10
"### | 14 - 
",000,False,000,False,False,False,1,71
"### | [ص: 33]
",000,False,000,False,False,False,1,10
"### | 15 - 
",000,False,000,False,False,False,1,19
"### | [ص: 34]
",000,False,000,False,False,False,1,51
"### | 16 - 
",000,False,000,False,False,False,1,28
"### | [ص: 35]
",000,False,000,False,False,False,1,29
"### | 17 - 
",000,False,000,False,False,False,1,36
"### | 18 - 
",000,False,000,False,False,False,1,21
"### | [ص: 36]
",000,False,000,False,False,False,1,17
"### | 19 - 
",000,False,000,False,False,False,1,36
"### | 20 - 
",000,False,000,False,False,False,1,30
"### | [ص: 37]
",000,False,000,False,False,False,1,33
"### | 21 - 
",000,False,000,False,False,False,1,23
"### | 22 - 
",000,False,000,False,False,False,1,40
"### | 23 - 
",000,False,000,False,False,False,1,47
