string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | تسمية من لم يرو عنه غير رجل واحد.
",000,False,000,False,False,False,1,240
"### | ذكر من حدث عنه ابن أبي عروبة، ولم يسمع منه:
",000,False,000,False,False,False,1,48
"### | [أسئلة للنسائي في الرجال]
",000,False,000,False,False,False,1,122
"### || أمناء الله - عز وجل - على علم رسول الله صلى الله عليه وسلم ثلاثة:
",000,False,000,False,False,False,2,23
"### || 
",000,False,000,False,False,False,2,24
"### || 
",000,False,000,False,False,False,2,49
"### || والكذابون المعروفون بوضع الحديث على رسول الله صلى الله عليه وسلم أربعة:
",000,False,000,False,False,False,2,31
"### | [أصحاب أبي حنيفة]
",000,False,000,False,False,False,1,90
"### || والضعفاء من أصحابه:
",000,False,000,False,False,False,2,22
"### || والثقات من أصحابه:
",000,False,000,False,False,False,2,53
"### | أحسن الأسانيد التي تروي عن رسول الله صلى الله عليه وسلم أربعة:
",000,False,000,False,False,False,1,100
"### | تسمية فقهاء الأنصار، من أصحاب رسول الله صلى الله عليه وسلم، ومن بعدهم
",000,False,000,False,False,False,1,698
"### || من أهل المدينة:
",000,False,000,False,False,False,2,215
"### ||| 
",000,False,000,False,False,False,3,22
"### ||| ومن التابعين
",000,False,000,False,False,False,3,51
"### ||| ومن بعد التابعين
",000,False,000,False,False,False,3,34
"### ||| وبعد هؤلاء،
",000,False,000,False,False,False,3,63
"### |||| وأصحاب مالك، من أهل المدينة،
",000,False,000,False,False,False,4,17
"### |||| ومن أهل مصر
",000,False,000,False,False,False,4,15
"### |||| وأصحاب عبد الله بن عباس من أهل مكة
",000,False,000,False,False,False,4,38
"### ||| وبعد هؤلاء
",000,False,000,False,False,False,3,8
"### ||| وبعده
",000,False,000,False,False,False,3,9
"### ||| وبعد هؤلاء
",000,False,000,False,False,False,3,18
"### ||| وبعد هؤلاء
",000,False,000,False,False,False,3,45
"### |||| وأصحاب الشافعي
",000,False,000,False,False,False,4,43
"### || والفقهاء من أهل الكوفة
",000,False,000,False,False,False,2,150
"### ||| 
",000,False,000,False,False,False,3,12
"### ||| ومن فقهاء التابعين
",000,False,000,False,False,False,3,29
"### ||| وبعد هؤلاء
",000,False,000,False,False,False,3,10
"### ||| وبعد هؤلاء:
",000,False,000,False,False,False,3,20
"### ||| وبعد هؤلاء:
",000,False,000,False,False,False,3,25
"### ||| وبعد هؤلاء:
",000,False,000,False,False,False,3,71
"### |||| وأصحاب أبي حنيفة:
",000,False,000,False,False,False,4,21
"### |||| أصحاب سفيان الثوري:
",000,False,000,False,False,False,4,25
"### |||| وأصحاب الحسن بن صالح
",000,False,000,False,False,False,4,21
"### || ومن فقهاء البصرة:
",000,False,000,False,False,False,2,118
"### ||| 
",000,False,000,False,False,False,3,9
"### ||| ومن التابعين،
",000,False,000,False,False,False,3,19
"### ||| وبعد هؤلاء:
",000,False,000,False,False,False,3,35
"### ||| وبعد هؤلاء:
",000,False,000,False,False,False,3,14
"### ||| وبعد هؤلاء:
",000,False,000,False,False,False,3,47
"### ||| وبعد هؤلاء:
",000,False,000,False,False,False,3,16
"### ||| وبعد هؤلاء:
",000,False,000,False,False,False,3,9
"### || ومن فقهاء الشام،
",000,False,000,False,False,False,2,29
"### ||| 
",000,False,000,False,False,False,3,9
"### ||| وبعد هؤلاء
",000,False,000,False,False,False,3,4
"### ||| وبعد:
",000,False,000,False,False,False,3,21
"### || ومن فقهاء أهل مصر:
",000,False,000,False,False,False,2,46
"### ||| 
",000,False,000,False,False,False,3,9
"### ||| وبعد هؤلاء:
",000,False,000,False,False,False,3,24
"### ||| وبعد هؤلاء:
",000,False,000,False,False,False,3,26
"### || ومن فقهاء أهل خراسان:
",000,False,000,False,False,False,2,39
"### ||| 
",000,False,000,False,False,False,3,25
"### ||| وبعد هؤلاء:
",000,False,000,False,False,False,3,17
"### || وأثبت أصحاب الأوزاعي:
",000,False,000,False,False,False,2,24
"### || وأثبت أصحاب أيوب:
",000,False,000,False,False,False,2,21
"### || وأثبت أصحاب حماد بن سلمة،
",000,False,000,False,False,False,2,35
"### || وأثبت أصحاب سعيد بن أبي عروبة:
",000,False,000,False,False,False,2,53
"### | [الطبقات]
",000,False,000,False,False,False,1,355
"### || [أصحاب نافع]
",000,False,000,False,False,False,2,209
"### ||| الطبقة الأولى من أصحاب نافع، مولى عبد الله بن عمر:
",000,False,000,False,False,False,3,26
"### ||| الطبقة الثانية:
",000,False,000,False,False,False,3,14
"### ||| الطبقة الثالثة:
",000,False,000,False,False,False,3,16
"### ||| الطبقة الرابعة:
",000,False,000,False,False,False,3,19
"### ||| الطبقة الخامسة:
",000,False,000,False,False,False,3,25
"### ||| الطبقة السادسة:
",000,False,000,False,False,False,3,19
"### ||| الطبقة السابعة:
",000,False,000,False,False,False,3,23
"### ||| الطبقة الثامنة:
",000,False,000,False,False,False,3,25
"### ||| الطبقة التاسعة: وهم الضعفاء:
",000,False,000,False,False,False,3,26
"### ||| الطبقة المتروك حديثهم:
",000,False,000,False,False,False,3,47
"### || [أصحاب الأعمش]
",000,False,000,False,False,False,2,136
"### ||| الطبقة الأولى من أصحاب الأعمش:
",000,False,000,False,False,False,3,17
"### ||| الطبقة الثانية:
",000,False,000,False,False,False,3,11
"### ||| الطبقة الثالثة:
",000,False,000,False,False,False,3,12
"### ||| الطبقة الرابعة:
",000,False,000,False,False,False,3,18
"### ||| الطبقة الخامسة:
",000,False,000,False,False,False,3,30
