string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 216 - 313 
",000,False,000,False,False,False,1,12
"### | 446 - 533 
",000,False,000,False,False,False,1,32
"### | الجزء الأول من حديث أبي العباس محمد بن إسحاق بن إبراهيم بن مهران الثقفي السراج
",000,False,000,False,False,False,1,51
"### | 1- 
",000,False,000,False,False,False,1,99
"### | 2- 
",000,False,000,False,False,False,1,80
"### | 3- 
",000,False,000,False,False,False,1,42
"### | 4- 
",000,False,000,False,False,False,1,54
"### | 5- 
",000,False,000,False,False,False,1,87
"### | 6- 
",000,False,000,False,False,False,1,26
"### | 7- 
",000,False,000,False,False,False,1,56
"### | 8- 
",000,False,000,False,False,False,1,26
"### | 9- 
",000,False,000,False,False,False,1,27
"### | [ص: 11]
",000,False,000,False,False,False,1,53
"### | 10- 
",000,False,000,False,False,False,1,50
"### | 11- 
",000,False,000,False,False,False,1,50
"### | 12- 
",000,False,000,False,False,False,1,40
"### | 13- 
",000,False,000,False,False,False,1,54
"### | 14- 
",000,False,000,False,False,False,1,26
"### | [ص: 12]
",000,False,000,False,False,False,1,49
"### | 15- 
",000,False,000,False,False,False,1,57
"### | 16- 
",000,False,000,False,False,False,1,77
"### | 17- 
",000,False,000,False,False,False,1,58
"### | [ص: 13]
",000,False,000,False,False,False,1,7
"### | 18- 
",000,False,000,False,False,False,1,44
"### | 19- 
",000,False,000,False,False,False,1,42
"### | 20- 
",000,False,000,False,False,False,1,35
"### | 21- 
",000,False,000,False,False,False,1,46
"### | 22- 
",000,False,000,False,False,False,1,44
"### | [ص: 14]
",000,False,000,False,False,False,1,22
"### | 23- 
",000,False,000,False,False,False,1,31
"### | 24- 
",000,False,000,False,False,False,1,76
"### | 25- 
",000,False,000,False,False,False,1,52
"### | 26- 
",000,False,000,False,False,False,1,20
"### | 27- 
",000,False,000,False,False,False,1,43
"### | [ص: 15]
",000,False,000,False,False,False,1,31
"### | 28- 
",000,False,000,False,False,False,1,86
"### | 29- 
",000,False,000,False,False,False,1,52
"### | 30- 
",000,False,000,False,False,False,1,40
"### | [ص: 16]
",000,False,000,False,False,False,1,26
"### | 31- 
",000,False,000,False,False,False,1,57
"### | 32- 
",000,False,000,False,False,False,1,23
"### | 33- 
",000,False,000,False,False,False,1,54
"### | 34- 
",000,False,000,False,False,False,1,54
"### | 35- 
",000,False,000,False,False,False,1,32
"### | [ص: 17]
",000,False,000,False,False,False,1,21
"### | 36- 
",000,False,000,False,False,False,1,53
"### | 37- 
",000,False,000,False,False,False,1,51
"### | 38- 
",000,False,000,False,False,False,1,65
"### | 39- 
",000,False,000,False,False,False,1,13
"### | [ص: 18]
",000,False,000,False,False,False,1,4
"### | 40- 
",000,False,000,False,False,False,1,39
"### | 41- 
",000,False,000,False,False,False,1,44
"### | 42- 
",000,False,000,False,False,False,1,40
"### | 43- 
",000,False,000,False,False,False,1,14
"### | 44- 
",000,False,000,False,False,False,1,38
"### | 45- 
",000,False,000,False,False,False,1,55
"### | [ص: 19]
",000,False,000,False,False,False,1,38
"### | 46- 
",000,False,000,False,False,False,1,44
"### | 47- 
",000,False,000,False,False,False,1,44
"### | 48- 
",000,False,000,False,False,False,1,29
"### | 49- 
",000,False,000,False,False,False,1,41
"### | [ص: 20]
",000,False,000,False,False,False,1,38
"### | 50- 
",000,False,000,False,False,False,1,41
"### | 51- 
",000,False,000,False,False,False,1,54
"### | 52- 
",000,False,000,False,False,False,1,27
"### | 53- 
",000,False,000,False,False,False,1,31
"### | 54- 
",000,False,000,False,False,False,1,27
"### | [ص: 21]
",000,False,000,False,False,False,1,35
"### | 55- 
",000,False,000,False,False,False,1,56
"### | 56- 
",000,False,000,False,False,False,1,39
"### | 57- 
",000,False,000,False,False,False,1,20
"### | 58- 
",000,False,000,False,False,False,1,35
"### | 59- 
",000,False,000,False,False,False,1,23
"### | [ص: 22]
",000,False,000,False,False,False,1,31
"### | 60- 
",000,False,000,False,False,False,1,39
"### | 61- 
",000,False,000,False,False,False,1,16
"### | 62- 
",000,False,000,False,False,False,1,50
"### | 63- 
",000,False,000,False,False,False,1,87
"### | 64- 
",000,False,000,False,False,False,1,25
"### | [ص: 23]
",000,False,000,False,False,False,1,37
"### | 65- 
",000,False,000,False,False,False,1,31
"### | 66- 
",000,False,000,False,False,False,1,28
"### | 67- 
",000,False,000,False,False,False,1,69
"### | 68- 
",000,False,000,False,False,False,1,60
"### | [ص: 24]
",000,False,000,False,False,False,1,74
"### | 69- 
",000,False,000,False,False,False,1,53
"### | 70- 
",000,False,000,False,False,False,1,56
"### | 71- 
",000,False,000,False,False,False,1,68
"### | [ص: 25]
",000,False,000,False,False,False,1,31
"### | 72- 
",000,False,000,False,False,False,1,61
"### | 73- 
",000,False,000,False,False,False,1,33
"### | 74- 
",000,False,000,False,False,False,1,56
"### | 75- 
",000,False,000,False,False,False,1,48
"### | 76- 
",000,False,000,False,False,False,1,42
"### | [ص: 26]
",000,False,000,False,False,False,1,41
"### | 77- 
",000,False,000,False,False,False,1,168
"### | 78- 
",000,False,000,False,False,False,1,41
"### | [ص: 27]
",000,False,000,False,False,False,1,42
"### | 79- 
",000,False,000,False,False,False,1,49
"### | 80- 
",000,False,000,False,False,False,1,26
"### | 81- 
",000,False,000,False,False,False,1,44
"### | 82- 
",000,False,000,False,False,False,1,26
"### | 83- 
",000,False,000,False,False,False,1,57
"### | [ص: 28]
",000,False,000,False,False,False,1,28
"### | 84- 
",000,False,000,False,False,False,1,41
"### | 85- 
",000,False,000,False,False,False,1,39
"### | 86- 
",000,False,000,False,False,False,1,40
"### | 87- 
",000,False,000,False,False,False,1,44
"### | 88- 
",000,False,000,False,False,False,1,21
"### | 89- 
",000,False,000,False,False,False,1,23
"### | 90- 
",000,False,000,False,False,False,1,23
"### | [ص: 29]
",000,False,000,False,False,False,1,38
"### | 91- 
",000,False,000,False,False,False,1,21
"### | 92- 
",000,False,000,False,False,False,1,27
"### | 93- 
",000,False,000,False,False,False,1,42
"### | 94- 
",000,False,000,False,False,False,1,49
"### | 95- 
",000,False,000,False,False,False,1,41
"### | [ص: 30]
",000,False,000,False,False,False,1,38
"### | 96- 
",000,False,000,False,False,False,1,47
"### | 97- 
",000,False,000,False,False,False,1,42
"### | 98- 
",000,False,000,False,False,False,1,14
"### | 99- 
",000,False,000,False,False,False,1,52
"### | 100- 
",000,False,000,False,False,False,1,36
"### | [ص: 31]
",000,False,000,False,False,False,1,4
"### | 101- 
",000,False,000,False,False,False,1,23
"### | 102- 
",000,False,000,False,False,False,1,58
"### | 103- 
",000,False,000,False,False,False,1,67
"### | 104- 
",000,False,000,False,False,False,1,69
"### | 105- 
",000,False,000,False,False,False,1,83
"### | 106- 
",000,False,000,False,False,False,1,74
"### | 107- 
",000,False,000,False,False,False,1,42
"### | 108- 
",000,False,000,False,False,False,1,42
"### | [ص: 33]
",000,False,000,False,False,False,1,33
"### | 109- 
",000,False,000,False,False,False,1,62
"### | 110- 
",000,False,000,False,False,False,1,54
"### | 111- 
",000,False,000,False,False,False,1,52
"### | [ص: 34]
",000,False,000,False,False,False,1,42
"### | 112- 
",000,False,000,False,False,False,1,81
"### | 113- 
",000,False,000,False,False,False,1,37
"### | 114- 
",000,False,000,False,False,False,1,45
"### | 115- 
",000,False,000,False,False,False,1,64
"### | [ص: 35]
",000,False,000,False,False,False,1,29
"### | 116- 
",000,False,000,False,False,False,1,68
"### | 117- 
",000,False,000,False,False,False,1,76
"### | 118- 
",000,False,000,False,False,False,1,25
"### | 119- 
",000,False,000,False,False,False,1,39
"### | [ص: 36]
",000,False,000,False,False,False,1,12
"### | 120- 
",000,False,000,False,False,False,1,23
"### | 121- 
",000,False,000,False,False,False,1,68
"### | 122- 
",000,False,000,False,False,False,1,54
"### | 123- 
",000,False,000,False,False,False,1,37
"### | 124- 
",000,False,000,False,False,False,1,28
"### | [ص: 37]
",000,False,000,False,False,False,1,65
"### | 125- 
",000,False,000,False,False,False,1,211
"### | [ص: 38]
",000,False,000,False,False,False,1,138
"### | 126- 
",000,False,000,False,False,False,1,65
"### | 127- 
",000,False,000,False,False,False,1,42
"### | 128- 
",000,False,000,False,False,False,1,21
"### | 129- 
",000,False,000,False,False,False,1,39
"### | [ص: 39]
",000,False,000,False,False,False,1,20
"### | 130- 
",000,False,000,False,False,False,1,45
"### | 131- 
",000,False,000,False,False,False,1,47
"### | 132- 
",000,False,000,False,False,False,1,63
"### | 133- 
",000,False,000,False,False,False,1,63
"### | 134- 
",000,False,000,False,False,False,1,25
"### | [ص: 40]
",000,False,000,False,False,False,1,53
"### | 135- 
",000,False,000,False,False,False,1,43
"### | 136- 
",000,False,000,False,False,False,1,38
"### | 137- 
",000,False,000,False,False,False,1,63
"### | 138- 
",000,False,000,False,False,False,1,42
"### | [ص: 41]
",000,False,000,False,False,False,1,40
"### | 139- 
",000,False,000,False,False,False,1,26
"### | 140- 
",000,False,000,False,False,False,1,27
"### | 141- 
",000,False,000,False,False,False,1,68
"### | 142- 
",000,False,000,False,False,False,1,47
"### | 143- 
",000,False,000,False,False,False,1,29
"### | [ص: 42]
",000,False,000,False,False,False,1,28
"### | 144- 
",000,False,000,False,False,False,1,57
"### | 145- 
",000,False,000,False,False,False,1,39
"### | 146- 
",000,False,000,False,False,False,1,39
"### | 147- 
",000,False,000,False,False,False,1,60
"### | 148- 
",000,False,000,False,False,False,1,54
"### | 149- 
",000,False,000,False,False,False,1,29
"### | 150- 
",000,False,000,False,False,False,1,61
"### | 151- 
",000,False,000,False,False,False,1,92
"### | 152- 
",000,False,000,False,False,False,1,21
"### | [ص: 44]
",000,False,000,False,False,False,1,84
"### | 153- 
",000,False,000,False,False,False,1,52
"### | 154- 
",000,False,000,False,False,False,1,32
"### | 155- 
",000,False,000,False,False,False,1,22
"### | 156- 
",000,False,000,False,False,False,1,40
"### | [ص: 45]
",000,False,000,False,False,False,1,14
"### | 157- 
",000,False,000,False,False,False,1,25
