string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,11457
"### || باب من روى عن النبي صلى الله عليه وسلم ممن اسمه أبي:
",000,False,000,False,False,False,2,904
"### || باب من اسمه: أنس
",000,False,000,False,False,False,2,2462
"### || باب من اسمه أوس
",000,False,000,False,False,False,2,641
"### || باب من روى عن النبي صلى الله عليه وسلم من اسمه: أسعد أبو أمامة
",000,False,000,False,False,False,2,443
"### || باب من اسمه أيمن
",000,False,000,False,False,False,2,396
"### || باب من اسمه أسيد
",000,False,000,False,False,False,2,767
"### || 
",000,False,000,False,False,False,2,545
"### || باب من اسمه إياس
",000,False,000,False,False,False,2,570
"### || باب من اسمه أمية
",000,False,000,False,False,False,2,242
"### || باب من اسمه أهبان
",000,False,000,False,False,False,2,182
"### || من اسمه أبان
",000,False,000,False,False,False,2,496
"### || 
",000,False,000,False,False,False,2,3306
"### || من اسمه أسامة
",000,False,000,False,False,False,2,516
"### | باب من روى عن النبي صلى الله عليه وسلم، ابتداء اسمه باء
",000,False,000,False,False,False,1,6893
"### || من اسمه البراء
",000,False,000,False,False,False,2,1024
"### || باب من اسمه بلال
",000,False,000,False,False,False,2,1246
"### || 6 - باب من اسمه بشير
",000,False,000,False,False,False,2,1580
"### || من اسمه بشر
",000,False,000,False,False,False,2,976
"### || من اسمه بسر
",000,False,000,False,False,False,2,1146
"### || 
",000,False,000,False,False,False,2,915
"### | باب التاء من روى عن النبي صلى الله عليه وسلم [ممن ابتدأ] اسمه تاء
",000,False,000,False,False,False,1,1319
"### || من اسمه تميم
",000,False,000,False,False,False,2,1185
"### || 
",000,False,000,False,False,False,2,122
"### | باب الثاء
",000,False,000,False,False,False,1,2395
"### || من اسمه ثابت
",000,False,000,False,False,False,2,1626
"### || من اسمه ثعلبة
",000,False,000,False,False,False,2,730
"### || 
",000,False,000,False,False,False,2,40
"### | باب الجيم [من روى عن رسول] الله صلى الله عليه وسلم ابتدأ اسمه جيم
",000,False,000,False,False,False,1,9218
"### || [ممن اسمه جعفر ms082]
",000,False,000,False,False,False,2,236
"### || [من روى عن النبي صلى الله عليه وسلم ممن اسمه جابر]
",000,False,000,False,False,False,2,2691
"### || 
",000,False,000,False,False,False,2,2647
"### || باب من روى عن النبي صلى الله عليه وسلم ممن اسمه جندب
",000,False,000,False,False,False,2,1816
"### || 
",000,False,000,False,False,False,2,1820
"### | باب الحاء من روى عن النبي صلى الله عليه وسلم فمن ابتداء اسمه حاء
",000,False,000,False,False,False,1,17996
"### || [باب من اسمه حارث]
",000,False,000,False,False,False,2,5434
"### || باب من روى عن النبي صلى الله عليه وسلم من اسمه حارثة
",000,False,000,False,False,False,2,485
"### || [من اسمه الحكم]
",000,False,000,False,False,False,2,1292
"### || من روى عن النبي صلى الله عليه وسلم اسمه حبيب
",000,False,000,False,False,False,2,842
"### || 
",000,False,000,False,False,False,2,2174
"### || من اسمه حصين
",000,False,000,False,False,False,2,691
"### || 
",000,False,000,False,False,False,2,194
"### || باب من اسمه حجاج
",000,False,000,False,False,False,2,1018
"### || باب من اسمه حرملة
",000,False,000,False,False,False,2,345
"### || من اسمه حنظلة
",000,False,000,False,False,False,2,646
"### || 
",000,False,000,False,False,False,2,2257
"### | باب من روى عن رسول الله صلى الله عليه وسلم ابتدأ اسمه خاء]
",000,False,000,False,False,False,1,5892
"### || "" من اسمه خالد ""
",000,False,000,False,False,False,2,2328
"### || 
",000,False,000,False,False,False,2,717
"### || [باب من اسمه خارجة]
",000,False,000,False,False,False,2,225
"### || 
",000,False,000,False,False,False,2,2613
"### | باب الدال من روى عن النبي صلى الله عليه وسلم ممن ابتدأ اسمه دال
",000,False,000,False,False,False,1,1041
"### | باب الذال من روى عن النبي صلى الله عليه وسلم ابتداء اسمه ذال
",000,False,000,False,False,False,1,2468
"### | من روى عن النبي صلى الله عليه وسلم ابتداء اسمه الراء
",000,False,000,False,False,False,1,10094
"### | باب الزاي من روى عن النبي صلى الله عليه وسلم ابتداء اسمه الزاي]
",000,False,000,False,False,False,1,11172
"### || وممن اسمه زياد
",000,False,000,False,False,False,2,1015
"### || 
",000,False,000,False,False,False,2,2285
"### | باب السين من روى عن النبي صلى الله عليه وسلم ممن ابتدأ اسمه سين
",000,False,000,False,False,False,1,23778
"### || باب من روى عن النبي صلى الله عليه وسلم اسمه سعيد
",000,False,000,False,False,False,2,1592
"### || [باب من اسمه سهل]
",000,False,000,False,False,False,2,2833
"### || [باب من اسمه سلمة]
",000,False,000,False,False,False,2,2579
"### || [باب من اسمه سالم]
",000,False,000,False,False,False,2,1040
"### || [باب من اسمه سلامة]
",000,False,000,False,False,False,2,292
"### || [باب من اسمه سليمان]
",000,False,000,False,False,False,2,440
"### || [باب من اسمه سلمان]
",000,False,000,False,False,False,2,1432
"### || [باب من اسمه سليم]
",000,False,000,False,False,False,2,529
"### || [باب من اسمه السائب]
",000,False,000,False,False,False,2,1113
"### || [باب من اسمه سفيان]
",000,False,000,False,False,False,2,1012
"### || [باب من اسمه سمرة]
",000,False,000,False,False,False,2,1012
"### || [باب من اسمه سويد].
",000,False,000,False,False,False,2,1637
"### || [من اسمه سوادة]
",000,False,000,False,False,False,2,513
"### || [من اسمه سبرة]
",000,False,000,False,False,False,2,541
"### || 
",000,False,000,False,False,False,2,2710
"### | [باب من روى عن النبي صلى الله عليه وسلم ممن ابتدأ اسمه شين]
",000,False,000,False,False,False,1,4197
"### || [من اسمه شهاب]
",000,False,000,False,False,False,2,193
"### || 
",000,False,000,False,False,False,2,1352
"### | باب الصاد
",000,False,000,False,False,False,1,4702
"### || [من روى عن النبي صلى الله عليه وسلم اسمه صفوان]
",000,False,000,False,False,False,2,993
"### || 
",000,False,000,False,False,False,2,3709
"### | [من ابتدأ اسمه ضاد]
",000,False,000,False,False,False,1,1833
"### | باب الطاء
",000,False,000,False,False,False,1,3196
"### || 
",000,False,000,False,False,False,2,1111
"### || [باب من اسمه طارق]
",000,False,000,False,False,False,2,863
"### || [من اسمه الطفيل]
",000,False,000,False,False,False,2,695
"### || 
",000,False,000,False,False,False,2,529
"### | باب الظاء ].
",000,False,000,False,False,False,1,188
"### | تسمية من روى عن النبي صلى الله عليه وسلم ابتداء اسمه عين من قريش وحلفائهم]
",000,False,000,False,False,False,1,46993
"### || 
",000,False,000,False,False,False,2,32329
"### ||| وممن تقدم موته من أصحاب رسول الله صلى الله عليه وسلم ممن اسمه "" عبد الله "" من أهل بدر وغيرهم ممن لم تنته إلينا له رواية عن النبي صلى الله عليه وسلم
",000,False,000,False,False,False,3,286
"### ||| ومن حلفاء قريش ممن روى عن النبي صلى الله عليه وسلم وسكن المدينة
",000,False,000,False,False,False,3,1856
"### ||| [باب من روى عن النبي صلى الله عليه وسلم من الأنصار وحلفائهم اسمه عبد الله]
",000,False,000,False,False,False,3,4847
"### ||| وممن اسمه عبد الله في أصحاب رسول الله صلى الله عليه وسلم ممن لم يسند عن رسول الله صلى الله عليه وسلم من أهل بدر:
",000,False,000,False,False,False,3,453
"### |||  ومن غير الأنصار ممن اسمه: عبد الله من أصحاب رسول الله صلى الله عليه وسلم
",000,False,000,False,False,False,3,10629
"### ||| ومن أصحاب رسول الله صلى الله عليه وسلم ممن اسمه عبد الله ممن توفي أو قتل على عهده ولم يرو عنه
",000,False,000,False,False,False,3,1229
"### || من روى عن النبي صلى الله عليه وسلم [ممن اسمع عمر]
",000,False,000,False,False,False,2,1333
