string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة
",000,False,000,False,False,False,1,1105
"### | الباب الأول: التعريف بالمؤلف
",000,False,000,False,False,False,1,8
"### | الفصل الأول: عصر المؤلف
",000,False,000,False,False,False,1,8
"### | المبحث الأول: الناحية السياسية
",000,False,000,False,False,False,1,594
"### | المبحث الثاني الناحية الاجتماعية
",000,False,000,False,False,False,1,156
"### | المبحث الثالث: الناحية العلمية
",000,False,000,False,False,False,1,233
"### | … 
",000,False,000,False,False,False,1,47
"### | الفصل الثاني: في سيرة الأشعري
",000,False,000,False,False,False,1,10
"### | المبحث الأول: اسمه ونسبه
",000,False,000,False,False,False,1,203
"### | … 
",000,False,000,False,False,False,1,109
"### | المبحث الثاني موطنه ومولده
",000,False,000,False,False,False,1,180
"### | المبحث الثالث زهده وعبادته
",000,False,000,False,False,False,1,130
"### | المبحث الرابع أسرته وأثرها في تكوين شخصيته
",000,False,000,False,False,False,1,401
"### | المبحث الخامس: مكانته العلمية وثناء الناس عليه
",000,False,000,False,False,False,1,337
"### | المبحث السادس: مؤلفاته
",000,False,000,False,False,False,1,284
"### | 1- 
",000,False,000,False,False,False,1,17
"### | 2- 
",000,False,000,False,False,False,1,27
"### | 3- 
",000,False,000,False,False,False,1,12
"### | 4- 
",000,False,000,False,False,False,1,13
"### | 5- 
",000,False,000,False,False,False,1,25
"### | 6- 
",000,False,000,False,False,False,1,23
"### | 7- 
",000,False,000,False,False,False,1,21
"### | 8- 
",000,False,000,False,False,False,1,11
"### | 9- 
",000,False,000,False,False,False,1,34
"### | 10- 
",000,False,000,False,False,False,1,17
"### | 11- 
",000,False,000,False,False,False,1,28
"### | 12- 
",000,False,000,False,False,False,1,21
"### | 13- 
",000,False,000,False,False,False,1,15
"### | 14- 
",000,False,000,False,False,False,1,25
"### | 15- 
",000,False,000,False,False,False,1,13
"### | 16- 
",000,False,000,False,False,False,1,27
"### | 17- 
",000,False,000,False,False,False,1,22
"### | 18- 
",000,False,000,False,False,False,1,12
"### | 19- 
",000,False,000,False,False,False,1,21
"### | 20- 
",000,False,000,False,False,False,1,55
"### | 21- 
",000,False,000,False,False,False,1,19
"### | 22- 
",000,False,000,False,False,False,1,16
"### | 23- 
",000,False,000,False,False,False,1,32
"### | 24- 
",000,False,000,False,False,False,1,21
"### | 25- 
",000,False,000,False,False,False,1,21
"### | 26- 
",000,False,000,False,False,False,1,21
"### | 27- 
",000,False,000,False,False,False,1,17
"### | 28- 
",000,False,000,False,False,False,1,31
"### | 29- 
",000,False,000,False,False,False,1,34
"### | 32- 
",000,False,000,False,False,False,1,7
"### | 31- 
",000,False,000,False,False,False,1,15
"### | 32- 
",000,False,000,False,False,False,1,5
"### | 33- 
",000,False,000,False,False,False,1,5
"### | 34- 
",000,False,000,False,False,False,1,5
"### | 35- 
",000,False,000,False,False,False,1,5
"### | 36- 
",000,False,000,False,False,False,1,5
"### | 37- 
",000,False,000,False,False,False,1,5
"### | 38- 
",000,False,000,False,False,False,1,5
"### | 39- 
",000,False,000,False,False,False,1,30
"### | 40- 
",000,False,000,False,False,False,1,21
"### | 41- 
",000,False,000,False,False,False,1,11
"### | 42- 
",000,False,000,False,False,False,1,11
"### | 43- 
",000,False,000,False,False,False,1,9
"### | 44- 
",000,False,000,False,False,False,1,13
"### | 45- 
",000,False,000,False,False,False,1,13
"### | 46- 
",000,False,000,False,False,False,1,21
"### | 47- 
",000,False,000,False,False,False,1,15
"### | 48- 
",000,False,000,False,False,False,1,13
"### | 49- 
",000,False,000,False,False,False,1,27
"### | 50- 
",000,False,000,False,False,False,1,9
"### | 51- 
",000,False,000,False,False,False,1,15
"### | 52- 
",000,False,000,False,False,False,1,7
"### | 53- 
",000,False,000,False,False,False,1,9
"### | 54- 
",000,False,000,False,False,False,1,15
"### | 55- 
",000,False,000,False,False,False,1,13
"### | 56- 
",000,False,000,False,False,False,1,17
"### | 57- 
",000,False,000,False,False,False,1,9
"### | 58- 
",000,False,000,False,False,False,1,27
"### | 59- 
",000,False,000,False,False,False,1,7
