string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | باب الآنية
",000,False,000,False,False,False,1,4
"### | 1 - 
",000,False,000,False,False,False,1,151
"### | باب السواك
",000,False,000,False,False,False,1,4
"### | 2 - 
",000,False,000,False,False,False,1,50
"### | باب سنة الوضوء
",000,year,000,False,False,False,1,6
"### | 3 - 
",000,False,000,False,False,False,1,58
"### | 4 - 
",000,False,000,False,False,False,1,49
"### | 5 - 
",000,False,000,False,False,False,1,54
"### | 6 - 
",000,False,000,False,False,False,1,56
"### | باب في الاستطابة
",000,False,000,False,False,False,1,6
"### | 7 - 
",000,False,000,False,False,False,1,76
"### | باب فيما يوجب الغسل
",000,False,000,False,False,False,1,8
"### | 8 - 
",000,False,000,False,False,False,1,44
"### | 9 - 
",000,False,000,False,False,False,1,41
"### | باب من الحيض ms002
",000,False,000,False,False,False,1,6
"### | 10 - 
",000,False,000,False,False,False,1,80
"### | 11 - 
",000,False,000,False,False,False,1,88
"### | 12 - 
",000,False,000,False,False,False,1,67
"### | 13 - 
",000,False,000,False,False,False,1,52
"### | 14 - 
",000,False,000,False,False,False,1,56
"### | باب قدر الماء الذي ينجس والذي لا ينجس
",000,False,000,False,False,False,1,16
"### | 15 - 
",000,False,000,False,False,False,1,73
"### | 16 - 
",000,False,000,False,False,False,1,64
"### | 17 - 
",000,False,000,False,False,False,1,37
"### | 18 - 
",000,False,000,False,False,False,1,31
"### | 19 - 
",000,False,000,False,False,False,1,56
"### | كتاب الصلاة
",000,False,000,False,False,False,1,4
"### | 20 - 
",000,False,000,False,False,False,1,269
"### | 21 - 
",000,False,000,False,False,False,1,229
"### | 22 - 
",000,False,000,False,False,False,1,41
"### | 23- 
",000,False,000,False,False,False,1,18
"### | 24 - 
",000,False,000,False,False,False,1,20
"### | باب استقبال القبلة وسجود القرآن
",000,False,000,False,False,False,1,10
"### | 25 - 
",000,False,000,False,False,False,1,56
"### | 26 - 
",000,False,000,False,False,False,1,73
"### | 27 - 
",000,False,000,False,False,False,1,77
"### | 28 - 
",000,False,000,False,False,False,1,58
"### | 29 - 
",000,False,000,False,False,False,1,88
"### | 30 - 
",000,False,000,False,False,False,1,25
"### | 31 - 
",000,False,000,False,False,False,1,40
"### | 32 - 
",000,False,000,False,False,False,1,33
"### | 33 - 
",000,False,000,False,False,False,1,19
"### | 34 - 
",000,False,000,False,False,False,1,39
"### | 35 - 
",000,False,000,False,False,False,1,26
"### | 36 - 
",000,False,000,False,False,False,1,37
"### | 37 - 
",000,False,000,False,False,False,1,41
"### | 38 - 
",000,False,000,False,False,False,1,56
"### | 39 - 
",000,False,000,False,False,False,1,25
"### | 40 - 
",000,False,000,False,False,False,1,26
"### | 41 - 
",000,False,000,False,False,False,1,56
"### | 42 - 
",000,False,000,False,False,False,1,34
"### | 43 - 
",000,False,000,False,False,False,1,31
"### | 44 - 
",000,False,000,False,False,False,1,47
"### | 45 - 
",000,False,000,False,False,False,1,81
"### | 46 - 
",000,False,000,False,False,False,1,60
"### | 47 - 
",000,False,000,False,False,False,1,63
"### | 48 - 
",000,False,000,False,False,False,1,71
"### | 49 - 
",000,False,000,False,False,False,1,33
"### | 50 - 
",000,False,000,False,False,False,1,28
"### | 51 - 
",000,False,000,False,False,False,1,28
"### | 52 - 
",000,False,000,False,False,False,1,25
"### | 53 - 
",000,False,000,False,False,False,1,47
"### | 54 - 
",000,False,000,False,False,False,1,42
"### | 55 - 
",000,False,000,False,False,False,1,47
"### | باب سجود السهو وسجود الشكر
",000,False,000,False,False,False,1,10
"### | 56 - 
",000,False,000,False,False,False,1,55
"### | 57 - 
",000,False,000,False,False,False,1,79
"### | 58 - 
",000,False,000,False,False,False,1,73
"### | 59 - 
",000,False,000,False,False,False,1,119
"### | 60 - 
",000,False,000,False,False,False,1,85
"### | 61 - 
",000,False,000,False,False,False,1,31
"### | 62 - 
",000,False,000,False,False,False,1,66
"### | 63 - 
",000,False,000,False,False,False,1,47
"### | باب الساعات التي يكره فيها التطوع وتجوز فيها الفريضة والقضاء والجنازة
",000,False,000,False,False,False,1,22
"### | 64 - 
",000,False,000,False,False,False,1,64
"### | 65 - 
",000,False,000,False,False,False,1,59
"### | 66 - 
",000,False,000,False,False,False,1,87
"### | باب صلاة الإمام قاعدا بقيام أو قائما بقعود
",000,False,000,False,False,False,1,16
"### | 67 - 
",000,False,000,False,False,False,1,178
"### | باب اختلاف نية الإمام والمأموم وغير ذلك
",000,False,000,False,False,False,1,14
"### | 68 - 
",000,False,000,False,False,False,1,119
"### | 69 - 
",000,False,000,False,False,False,1,49
"### | باب إمامة المرأة
",000,False,000,False,False,False,1,6
"### | 70 - 
",000,False,000,False,False,False,1,61
"### | 71 - 
",000,False,000,False,False,False,1,48
"### | 72 - 
",000,False,000,False,False,False,1,32
"### | 73 - 
",000,False,000,False,False,False,1,36
"### | 74 - 
",000,False,000,False,False,False,1,39
"### | 75 - 
",000,False,000,False,False,False,1,37
"### | 76 - 
",000,False,000,False,False,False,1,33
"### | 77 - 
",000,False,000,False,False,False,1,41
"### | 78 - 
",000,False,000,False,False,False,1,31
"### | باب صلاة المسافر والجمع بين الصلاتين
",000,False,000,False,False,False,1,12
"### | 79 - 
",000,False,000,False,False,False,1,58
"### | 80 - 
",000,False,000,False,False,False,1,53
"### | 81 - 
",000,False,000,False,False,False,1,61
"### | 82 - 
",000,False,000,False,False,False,1,63
"### | 83 - 
",000,False,000,False,False,False,1,54
"### | 84 - 
",000,False,000,False,False,False,1,71
"### | 85 - 
",000,False,000,False,False,False,1,53
"### | 86 - 
",000,False,000,False,False,False,1,24
"### | 87 - 
",000,False,000,False,False,False,1,44
"### | 88 - 
",000,False,000,False,False,False,1,52
"### | 89 - 
",000,False,000,False,False,False,1,51
"### | 90 - 
",000,False,000,False,False,False,1,55
"### | 91 - 
",000,False,000,False,False,False,1,84
"### | 92 - 
",000,False,000,False,False,False,1,22
"### | 93 - 
",000,False,000,False,False,False,1,42
"### | 94 - 
",000,False,000,False,False,False,1,99
"### | 95 - 
",000,False,000,False,False,False,1,86
"### | 96 - 
",000,False,000,False,False,False,1,39
"### | 97 - 
",000,False,000,False,False,False,1,41
"### | 98 - 
",000,False,000,False,False,False,1,79
"### | 99 - 
",000,False,000,False,False,False,1,77
"### | باب صلاة المسافر والجمع في ms019 السفر
",000,False,000,False,False,False,1,12
"### | 100 - 
",000,False,000,False,False,False,1,101
"### | 101 - 
",000,False,000,False,False,False,1,49
"### | 102 - 
",000,False,000,False,False,False,1,136
"### | 103 - 
",000,False,000,False,False,False,1,51
"### | 104 - 
",000,False,000,False,False,False,1,148
"### | 105 - 
",000,False,000,False,False,False,1,61
"### | باب في وجوب الجمعة وغيره
",000,False,000,False,False,False,1,10
"### | 106 - 
",000,False,000,False,False,False,1,123
"### | باب الغسل للجمعة والخطبة وما يجب في صلاة الجمعة
",000,False,000,False,False,False,1,18
"### | 107 - 
",000,False,000,False,False,False,1,44
"### | 108 - 
",000,False,000,False,False,False,1,56
"### | 109 - 
",000,False,000,False,False,False,1,52
"### | 110 - 
",000,False,000,False,False,False,1,43
"### | 111 - 
",000,False,000,False,False,False,1,87
"### | 112 - 
",000,False,000,False,False,False,1,84
"### | 113 - 
",000,False,000,False,False,False,1,58
"### | 114 - 
",000,False,000,False,False,False,1,52
"### | 115 - 
",000,False,000,False,False,False,1,51
"### | 116 - 
",000,False,000,False,False,False,1,53
"### | 117 - 
",000,False,000,False,False,False,1,52
"### | 118 - 
",000,False,000,False,False,False,1,41
"### | باب التبكير إلى الجمعة
",000,False,000,False,False,False,1,8
"### | 119 - 
",000,False,000,False,False,False,1,78
"### | 120 - 
",000,False,000,False,False,False,1,71
"### | 121 - 
",000,False,000,False,False,False,1,70
"### | 122 - 
",000,False,000,False,False,False,1,39
"### | باب صلاة الخوف
",000,False,000,False,False,False,1,6
"### | 123 - 
",000,False,000,False,False,False,1,89
"### | 124 - 
",000,False,000,False,False,False,1,45
"### | 125 - 
",000,False,000,False,False,False,1,50
"### | 126 - 
",000,False,000,False,False,False,1,84
"### | باب صفة صلاة العيد
",000,False,000,False,False,False,1,8
"### | 127 - 
",000,False,000,False,False,False,1,57
"### | 128 - 
",000,False,000,False,False,False,1,50
"### | 129 - 
",000,False,000,False,False,False,1,22
"### | 130 - 
",000,False,000,False,False,False,1,66
"### | باب خسوف الشمس والقمر
",000,False,000,False,False,False,1,8
"### | 131 - 
",000,False,000,False,False,False,1,250
"### | 132 - 
",000,False,000,False,False,False,1,79
"### | باب الاستسقاء
",000,False,000,False,False,False,1,4
"### | 133 - 
",000,False,000,False,False,False,1,89
"### | 134 - 
",000,False,000,False,False,False,1,68
"### | 135 - 
",000,False,000,False,False,False,1,80
"### | 136 - 
",000,False,000,False,False,False,1,81
"### | باب الدعاء في الاستسقاء
",000,False,000,False,False,False,1,8
"### | 137 - 
",000,False,000,False,False,False,1,116
"### | باب غسل الميت وغسل المرأة زوجها وغسل الرجل امرأته
",000,False,000,False,False,False,1,18
"### | 138 - 
",000,False,000,False,False,False,1,68
"### | 139 - 
",000,False,000,False,False,False,1,51
"### | 140 - 
",000,False,000,False,False,False,1,47
"### | باب عدد الكفن وكيف الحنوط
",000,False,000,False,False,False,1,10
"### | 141 - 
",000,False,000,False,False,False,1,80
"### | باب في الشهيد
",000,False,000,False,False,False,1,6
"### | 142 - 
",000,False,000,False,False,False,1,50
"### | 143 - 
",000,False,000,False,False,False,1,88
"### | 144 - 
",000,False,000,False,False,False,1,75
"### | 145 - 
",000,False,000,False,False,False,1,65
"### | 146 - 
",000,False,000,False,False,False,1,44
"### | باب حمل الجنازة والمشي معها والتكبير عليها
",000,False,000,False,False,False,1,14
"### | 147 - 
",000,False,000,False,False,False,1,52
"### | باب المشي بالجنازة
",000,False,000,False,False,False,1,6
"### | 148 - 
",000,False,000,False,False,False,1,44
"### | باب التكبير على الجنائز وإدخال القبر
",000,False,000,False,False,False,1,12
"### | 149 - 
",000,False,000,False,False,False,1,54
"### | 150 - 
",000,False,000,False,False,False,1,57
"### | 151 - 
",000,False,000,False,False,False,1,46
"### | 152 - 
",000,False,000,False,False,False,1,45
"### | 153 - 
",000,False,000,False,False,False,1,68
"### | 154 - 
",000,False,000,False,False,False,1,56
"### | 155 - 
",000,False,000,False,False,False,1,57
"### | 156 - 
",000,False,000,False,False,False,1,53
"### | 157 - 
",000,False,000,False,False,False,1,45
"### | 158 - 
",000,False,000,False,False,False,1,104
"### | 159 - 
",000,False,000,False,False,False,1,52
"### | 160 - 
",000,False,000,False,False,False,1,66
"### | 161 - 
",000,False,000,False,False,False,1,55
"### | 162 - 
",000,False,000,False,False,False,1,104
"### | باب البكاء على الميت
",000,False,000,False,False,False,1,8
"### | 163 - 
",000,False,000,False,False,False,1,95
"### | 164 - 
",000,False,000,False,False,False,1,210
"### | 165 - 
",000,False,000,False,False,False,1,226
"### | 166 - 
",000,False,000,False,False,False,1,63
"### | كتاب الزكاة
",000,False,000,False,False,False,1,4
"### | 167 - 
",000,False,000,False,False,False,1,432
"### | 168 - 
",000,False,000,False,False,False,1,434
"### | باب صدقة البقر
",000,False,000,False,False,False,1,6
"### | 169 - 
",000,False,000,False,False,False,1,57
