string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO باب
",000,False,000,False,False,False,1,5248
"### | AUTO باب
",000,False,000,False,False,False,1,3166
"### | AUTO باب
",000,False,000,False,False,False,1,165
"### | AUTO باب
",000,False,000,False,False,False,1,788
"### | AUTO باب
",000,False,000,False,False,False,1,1763
"### | AUTO باب
",000,False,000,False,False,False,1,2506
"### | AUTO باب
",000,False,000,False,False,False,1,701
"### | AUTO باب
",000,False,000,False,False,False,1,709
"### | AUTO باب
",000,False,000,False,False,False,1,2592
"### | AUTO باب
",000,False,000,False,False,False,1,932
"### | AUTO باب
",000,False,000,False,False,False,1,2031
"### | AUTO باب
",000,False,000,False,False,False,1,1572
"### | AUTO باب
",000,False,000,False,False,False,1,7069
"### | AUTO باب
",000,False,000,False,False,False,1,1377
"### | AUTO باب
",000,False,000,False,False,False,1,2258
"### | AUTO باب
",000,False,000,False,False,False,1,828
"### | AUTO باب ما يقال بالهاء وبغير الهاء
",000,False,000,False,False,False,1,456
"### | AUTO باب
",000,False,000,False,False,False,1,347
"### | AUTO باب فعيل
",000,False,000,False,False,False,1,118
"### | AUTO باب فعيل
",000,False,000,False,False,False,1,1185
"### | AUTO باب
",000,False,000,False,False,False,1,1697
"### | AUTO باب
",000,False,000,False,False,False,1,2452
"### | AUTO باب
",000,False,000,False,False,False,1,762
"### | AUTO باب ما جاء من النعوت على مثال مفعال
",000,False,000,False,False,False,1,647
"### | AUTO باب
",000,False,000,False,False,False,1,341
"### | AUTO باب
",000,False,000,False,False,False,1,1073
"### | AUTO باب
",000,False,000,False,False,False,1,1795
"### | AUTO باب
",000,False,000,False,False,False,1,2770
"### | AUTO باب
",000,False,000,False,False,False,1,772
"### | AUTO باب
",000,False,000,False,False,False,1,645
"### | AUTO باب
",000,False,000,False,False,False,1,395
"### | AUTO باب
",000,False,000,False,False,False,1,520
"### | AUTO باب
",000,False,000,False,False,False,1,879
"### | AUTO باب
",000,False,000,False,False,False,1,3990
"### | AUTO باب
",000,False,000,False,False,False,1,264
"### | AUTO باب
",000,False,000,False,False,False,1,124
"### | AUTO باب
",000,False,000,False,False,False,1,689
"### | AUTO باب
",000,False,000,False,False,False,1,387
"### | AUTO باب
",000,False,000,False,False,False,1,1527
"### | AUTO باب
",000,False,000,False,False,False,1,418
"### | AUTO باب
",000,False,000,False,False,False,1,423
"### | AUTO باب
",000,False,000,False,False,False,1,649
"### | AUTO باب
",000,False,000,False,False,False,1,684
"### | AUTO باب
",000,False,000,False,False,False,1,1350
"### | AUTO باب
",000,False,000,False,False,False,1,468
"### | AUTO باب
",000,False,000,False,False,False,1,573
"### | AUTO باب
",000,False,000,False,False,False,1,383
"### | AUTO باب
",000,False,000,False,False,False,1,747
"### | AUTO باب
",000,False,000,False,False,False,1,558
"### | AUTO باب
",000,False,000,False,False,False,1,158
"### | AUTO باب
",000,False,000,False,False,False,1,163
