string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1014 - 
",000,False,000,False,False,False,1,39
"### | : "" لا عدوى، ولا طيرة، وأحب الفأل.
",000,False,000,False,False,False,1,18
"### | 1015 - 
",000,False,000,False,False,False,1,36
"### | : نذر أن يمشي.
",000,False,000,False,False,False,1,16
"### | 1016 - 
",000,False,000,False,False,False,1,43
"### | : «من سكن البادية جفا، ومن أتى السلطان افتتن، ومن اتبع الصيد غفل»
",000,False,000,False,False,False,1,20
"### | 1017 - 
",000,False,000,False,False,False,1,33
"### | «نهى أن يبول مستقبل القبلة» ، فخرجت إلى الناس، فأخبرتهم
",000,False,000,False,False,False,1,14
"### | 1018 - 
",000,False,000,False,False,False,1,42
"### | بقدح من لبن من البقيع غير مخمر، فقال: ألا خمرته ولو بعود "" , قال: وقال أبو حميد: «إنما كان 
",000,False,000,False,False,False,1,27
"### | 1019 - 
",000,False,000,False,False,False,1,48
"### | الله يحب السهل القريب»
",000,False,000,False,False,False,1,5
"### | 1020 - 
",000,False,000,False,False,False,1,38
"### | : "" أفعلت كذا وكذا؟ فقال: لا والذي لا إله إلا هو ما فعلت.
",000,False,000,False,False,False,1,38
"### | 1021 - 
",000,False,000,False,False,False,1,35
"### | : "" من لقن عند الموت: لا إله إلا الله دخل الجنة ""
",000,False,000,False,False,False,1,20
"### | 1022 - 
",000,False,000,False,False,False,1,48
"### | «أوصاني بصيام ثلاثة أيام من كل شهر، وأن لا أنام إلا على وتر، وسنة الضحى في الحضر 
",000,False,000,False,False,False,1,16
"### | 1023 - 
",000,False,000,False,False,False,1,32
"### | : «ليبلغن هذا الأمر ما بلغ الليل، ولا يترك الله بيت مدر ولا وبر إلا أدخله الله عز وجل هذا 
",000,False,000,False,False,False,1,42
"### | 1024 - 
",000,False,000,False,False,False,1,41
"### | طوافك بين الصفا والمروة كعتق سبعين رقبة»
",000,False,000,False,False,False,1,12
"### | 1025 - 
",000,False,000,False,False,False,1,31
"### | وقوفك عشية عرفة، فإن الله تبارك وتعالى يهبط إلى سماء الدنيا، فيباهي بكم الملائكة، فيقول: 
",000,False,000,False,False,False,1,41
"### | 1026 - 
",000,False,000,False,False,False,1,43
"### | 1027 - 
",000,False,000,False,False,False,1,37
"### | 1028 - 
",000,False,000,False,False,False,1,90
"### | 1029 - 
",000,False,000,False,False,False,1,60
"### | 1030 - 
",000,False,000,False,False,False,1,37
"### | : «الإمام ضامن، والمؤذن مؤتمن، فأرشد الله الأئمة، وعفا عن المؤذنين»
",000,False,000,False,False,False,1,16
"### | 1031 - 
",000,False,000,False,False,False,1,33
"### | 1032 - 
",000,False,000,False,False,False,1,29
"### | : تقتلك الفئة الباغية ""
",000,False,000,False,False,False,1,6
"### | 1033 - 
",000,False,000,False,False,False,1,39
"### | : «لا يدخل الجنة ولد زانية»
",000,False,000,False,False,False,1,5
"### | 1034 - 
",000,False,000,False,False,False,1,53
"### | : «عليكم بالباءة، فمن لم يجد فعليه بالصوم، فإنه له وجاء»
",000,False,000,False,False,False,1,16
"### | 1035 - 
",000,False,000,False,False,False,1,39
"### | : «من كذب علي متعمدا فليتبوأ مقعده من النار»
",000,False,000,False,False,False,1,12
"### | 1036 - 
",000,False,000,False,False,False,1,29
"### | : «القتيل دون ماله شهيد، والقتيل دون أهله شهيد، والقتيل دون جاره شهيد، وكل قتيل في جنب الله 
",000,False,000,False,False,False,1,16
"### | 1037 - 
",000,False,000,False,False,False,1,33
"### | : «إني لأرجو لكل نبي حوضا وله واردة، وإني لأرجو أن أكون من أكثرهم واردة»
",000,False,000,False,False,False,1,24
"### | 1038 - 
",000,False,000,False,False,False,1,37
"### | : «يجيء صاحب الشجاعة يوم القيامة وهي في وجهه»
",000,False,000,False,False,False,1,8
