string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,547
"### | من نزل الرقة من أصحاب رسول الله صلى الله عليه وسلم
",000,False,000,False,False,False,1,712
"### || [1] وابصة بن معبد الأسدي
",000,False,000,False,False,False,2,452
"### || [2] الوليد بن عقبة بن أبي معيط بن عمرو بن أمية
",000,False,000,False,False,False,2,160
"### || [3] عبد الله بن سيدان السلمي، ثم المطرودي
",000,False,000,False,False,False,2,115
"### | ومن التابعين:
",000,False,000,False,False,False,1,3298
"### || [4] زفر بن الحارث الكلابي
",000,False,000,False,False,False,2,51
"### || [5] يزيد بن الأصم العامري
",000,False,000,False,False,False,2,210
"### || [6] سالم بن وابصة بن معبد
",000,False,000,False,False,False,2,149
"### || [7] أخوه: عمرو بن وابصة بن معبد
",000,False,000,False,False,False,2,235
"### || [8] ميمون بن مهران أبو أيوب
",000,False,000,False,False,False,2,2073
"### || [9] شبيب بن ديسم الباهلي
",000,False,000,False,False,False,2,105
"### || [10] ثابت بن الحجاج الكلابي
",000,False,000,False,False,False,2,154
"### || [11] شداد، مولى عياض بن عامر
",000,False,000,False,False,False,2,16
"### || [12] معاوية بن أبي تحيا القواس
",000,False,000,False,False,False,2,24
"### || [13] الوليد بن زروان
",000,False,000,False,False,False,2,105
"### || [14] يعقوب بن بحير
",000,False,000,False,False,False,2,57
"### || [15] فراس بن خولي الأسدي
",000,False,000,False,False,False,2,168
"### | بعد طبقة التابعين
",000,False,000,False,False,False,1,5757
"### || [16] حبيب بن أبي مرزوق
",000,False,000,False,False,False,2,29
"### || [17] صالح بن مسمار أبو محمد
",000,False,000,False,False,False,2,468
"### || [18] عمرو بن ميمون بن مهران
",000,False,000,False,False,False,2,979
"### || 
",000,False,000,False,False,False,2,138
"### || [19] عبيد الله بن عبد الله بن الأصم
",000,False,000,False,False,False,2,21
"### || [20] وأخوه عبد الله بن عبد الله بن الأصم
",000,False,000,False,False,False,2,24
"### || [21] عمر بن المثنى الأشجعي
",000,False,000,False,False,False,2,118
"### || [22] جعفر بن برقان
",000,False,000,False,False,False,2,503
"### || [عبد الله بن بشر بن التيهان]
",000,False,000,False,False,False,2,331
"### || [23] زكريا بن بشر
",000,False,000,False,False,False,2,154
"### || [24] العلاء بن سليمان الرقي
",000,False,000,False,False,False,2,51
"### || [25] زياد بن بيان
",000,False,000,False,False,False,2,313
"### || [26] الأخنس بن أبي الأخنس
",000,False,000,False,False,False,2,81
"### || [27] أبو المهاجر سالم بن عبد الله الرقي
",000,False,000,False,False,False,2,488
"### || [28] فرات بن سلمان
",000,False,000,False,False,False,2,141
