string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,38
"### | : «الدجال لا يدخل مكة والمدينة، على كل نقب من أنقابها ملك شاهر سيفه»
",000,False,000,False,False,False,1,13
"### | 2 - 
",000,False,000,False,False,False,1,19
"### | [ص: 319]
",000,False,000,False,False,False,1,19
"### | : «نهى أن يسافر بالقرآن إلى أرض العدو؛ مخافة أن يناله العدو»
",000,False,000,False,False,False,1,10
"### | 3 - 
",000,False,000,False,False,False,1,21
"### | [ص: 320]
",000,False,000,False,False,False,1,17
"### | : «من جاء إلى الجمعة فليغتسل»
",000,False,000,False,False,False,1,5
"### | 4 - 
",000,False,000,False,False,False,1,21
"### | [ص: 321]
",000,False,000,False,False,False,1,21
"### | [ص: 322]
",000,False,000,False,False,False,1,4
"### | «لا يدخل الجنة قتات»
",000,False,000,False,False,False,1,4
"### | 5 - 
",000,False,000,False,False,False,1,35
"### | : «من جاء إلى الجمعة فليغتسل»
",000,False,000,False,False,False,1,5
"### | 6 - 
",000,False,000,False,False,False,1,28
"### | [ص: 323]
",000,False,000,False,False,False,1,14
"### | : «عليكم بالسكينة، عليكم بالقصد في المشي في جنائزكم»
",000,False,000,False,False,False,1,8
"### | 7 - 
",000,False,000,False,False,False,1,28
"### | [ص: 324]
",000,False,000,False,False,False,1,28
"### | : «إذا أنفق المسلم على أهله نفقة، وهو يحتسبها كانت له صدقة»
",000,False,000,False,False,False,1,11
"### | 8 - 
",000,False,000,False,False,False,1,21
"### | [ص: 325]
",000,False,000,False,False,False,1,18
"### | : «لا يشكر الله من لا يشكر الناس»
",000,False,000,False,False,False,1,7
"### | 9 - 
",000,False,000,False,False,False,1,19
"### | [ص: 327]
",000,False,000,False,False,False,1,34
"### | : «الخيل معقود في نواصيها الخير إلى يوم القيامة، ومن ارتبط فرسا في سبيل الله كان علفه وروثه 
",000,False,000,False,False,False,1,22
"### | 10 - 
",000,False,000,False,False,False,1,19
"### | [ص: 328]
",000,False,000,False,False,False,1,18
"### | «لم يكن يرفع يديه إلا عند الاستسقاء»
",000,False,000,False,False,False,1,7
