string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,31
"### | : «إخراجها حسنة، وقذفها خطيئة، وكفارتها دفنها»
",000,False,000,False,False,False,1,6
"### | 2 - 
",000,False,000,False,False,False,1,25
"### | : «إذا كان أحدكم في الصلاة، فلا يتفلن أمامه، ولا عن يمينه، ولكن عن يساره، أو تحت قدمه 
",000,False,000,False,False,False,1,23
"### | 3 - 
",000,False,000,False,False,False,1,76
"### | العبد إذا ظلم فلم ينصر، ولم يكن له من يبصره فرفع طرفه إلى السماء، فدعا ربه عز وجل لباه، 
",000,False,000,False,False,False,1,28
"### | 4 - 
",000,False,000,False,False,False,1,25
"### | : «إياك والالتفات في الصلاة، فإن الالتفات في الصلاة هلكة، فإن كان لا بد ففي التطوع لا في 
",000,False,000,False,False,False,1,18
"### | 5 - 
",000,False,000,False,False,False,1,17
"### | في ركوعه: "" رب لك ركعت، وبك آمنت، رب عليك توكلت، وفي سجوده: رب لك سجدت، وبك آمنت، وأنت ربي، 
",000,False,000,False,False,False,1,23
"### | 6 - 
",000,False,000,False,False,False,1,31
"### | في سجوده: «سبوح قدوس، رب الملائكة والروح»
",000,False,000,False,False,False,1,7
"### | 7 - 
",000,False,000,False,False,False,1,17
"### | : «لما فرضت علي الصلاة الفريضة، فرضت علي خمسون صلاة في كل يوم وليلة، فأتيت على موسى» ، فذكر 
",000,False,000,False,False,False,1,18
"### | 8 - 
",000,False,000,False,False,False,1,21
"### | "" إذا غابت الشمس يقسم بالله الذي لا إله إلا هو أن هذه الساعة لوقت هذه الصلاة، ثم يقرأ: {أقم 
",000,False,000,False,False,False,1,30
"### | 9 - 
",000,False,000,False,False,False,1,24
"### | «يصلون المغرب، ثم ينتضلون»
",000,False,000,False,False,False,1,4
"### | 10 - 
",000,False,000,False,False,False,1,27
"### | : «لن تزال أمتي على الفطرة ما لم ينتظروا بالمغرب طلوع النجم»
",000,False,000,False,False,False,1,11
"### | 11 - 
",000,False,000,False,False,False,1,19
"### | : «لن تزال هذه الأمة على الفطرة ما لم تكن الخلافة ملكا، والصدقة مغرما، والأمانة مغنما، ولم 
",000,False,000,False,False,False,1,21
"### | 12 - 
",000,False,000,False,False,False,1,20
"### | : «وقت الظهر إلى العصر، ووقت العصر إلى المغرب، ووقت المغرب إلى العشاء، ووقت العشاء إلى نصف 
",000,False,000,False,False,False,1,22
"### | 13 - 
",000,False,000,False,False,False,1,37
"### | : «سيكون عليكم أمراء يؤخرون الصلاة عن وقتها، فإذا أخروها عن وقتها فصلوا أنتم لوقتها، واجعلوا 
",000,False,000,False,False,False,1,47
"### | 14 - 
",000,False,000,False,False,False,1,15
"### | «النوم قبل العشاء، والحديث بعدها»
",000,False,000,False,False,False,1,5
"### | 15 - 
",000,False,000,False,False,False,1,15
"### | : "" لا تنامي، فإن هذه الآية نزلت في الذين لا ينامون قبل العشاء الآخرة: {تتجافى جنوبهم ms2 عن 
",000,False,000,False,False,False,1,19
"### | 16 - 
",000,False,000,False,False,False,1,49
"### | : «على الفطرة هذا» ، ثم قال: أشهد أن لا إله إلا الله، قال: «بريء هذا من الشرك» ، قال: أشهد أن 
",000,False,000,False,False,False,1,71
"### | 17 - 
",000,False,000,False,False,False,1,23
"### | تستقبل بالغائط القبلة، وقال: «شرقوا أو غربوا» ، قال: فقال أبو أيوب، فقدمنا الشام فوجدنا 
",000,False,000,False,False,False,1,24
"### | 18 - 
",000,False,000,False,False,False,1,35
"### | الله عز وجل قد أحسن عليكم الثناء في الطهر، فما تصنعون؟» ، قالوا: نغسل القبل والدبر، قال: "" 
",000,False,000,False,False,False,1,23
"### | 19 - 
",000,False,000,False,False,False,1,25
"### | : «مرن أزواجكن فليغسلوا عنهم أثر البول والغائط، فإني أستحييهم، وقد رأيت رسول الله صلى الله 
",000,False,000,False,False,False,1,20
