string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | باب الإتباع الذي أوله الألف
",000,False,000,False,False,False,1,268
"### | باب التوكيد الذي أوله ألف
",000,False,000,False,False,False,1,66
"### | باب الإتباع الذي أوله الباء
",000,False,000,False,False,False,1,345
"### | باب التوكيد الذي أوله الباء
",000,False,000,False,False,False,1,340
"### | باب الإتباع الذي أوله التاء
",000,False,000,False,False,False,1,149
"### | باب التوكيد الذي أوله التاء
",000,False,000,False,False,False,1,69
"### | باب الإتباع الذي أوله الثاء
",000,False,000,False,False,False,1,31
"### | باب التوكيد الذي أوله الثاء
",000,False,000,False,False,False,1,60
"### | باب الإتباع الذي أوله الجيم
",000,False,000,False,False,False,1,77
"### | باب التوكيد الذي أوله الجيم
",000,False,000,False,False,False,1,41
"### | باب الإتباع الذي أوله الحاء
",000,False,000,False,False,False,1,25
"### | باب التوكيد الذي أوله الحاء
",000,False,000,False,False,False,1,30
"### | باب الإتباع الذي أوله الخاء
",000,False,000,False,False,False,1,44
"### | باب التوكيد الذي أوله الخاء
",000,False,000,False,False,False,1,48
"### | باب الإتباع الذي أوله الدال
",000,False,000,False,False,False,1,113
"### | باب التوكيد الذي أوله الدال
",000,False,000,False,False,False,1,69
"### | باب الإتباع الذي أوله الذال
",000,False,000,False,False,False,1,23
"### | باب التوكيد الذي أوله الذال
",000,False,000,False,False,False,1,26
"### | باب الإتباع الذي أوله الراء
",000,False,000,False,False,False,1,69
"### | باب التوكيد الذي أوله الراء
",000,False,000,False,False,False,1,86
"### | باب التوكيد الذي أوله الزاي
",000,False,000,False,False,False,1,37
"### | باب الإتباع الذي أوله السين
",000,False,000,False,False,False,1,88
"### | باب التوكيد الذي أوله السين
",000,False,000,False,False,False,1,149
"### | باب الإتباع الذي أوله الشين
",000,False,000,False,False,False,1,212
"### | باب التوكيد الذي أوله الشين
",000,False,000,False,False,False,1,27
"### | باب الإتباع الذي أوله الصاد
",000,False,000,False,False,False,1,40
"### | باب التوكيد الذي أوله الصاد
",000,False,000,False,False,False,1,21
"### | أبواب الضاد والطاء والظاء
",000,False,000,False,False,False,1,20
"### | باب الإتباع الذي أوله العين
",000,False,000,False,False,False,1,75
"### | باب التوكيد الذي أوله العين
",000,False,000,False,False,False,1,163
"### | باب الإتباع الذي أوله الغين
",000,False,000,False,False,False,1,14
"### | باب التوكيد الذي أوله الغين
",000,False,000,False,False,False,1,27
"### | باب الإتباع الذي أوله الفاء
",000,False,000,False,False,False,1,26
"### | باب التوكيد الذي أوله الفاء
",000,False,000,False,False,False,1,48
"### | باب الإتباع الذي أوله القاف
",000,False,000,False,False,False,1,38
"### | باب التوكيد الذي أوله القاف
",000,False,000,False,False,False,1,19
"### | باب الإتباع الذي أوله الكاف
",000,False,000,False,False,False,1,60
"### | باب التوكيد الذي أوله الكاف
",000,False,000,False,False,False,1,27
"### | باب الإتباع الذي أوله اللام
",000,False,000,False,False,False,1,146
"### | باب التوكيد الذي فيه اللام
",000,False,000,False,False,False,1,188
"### | باب الإتباع الذي أوله الميم
",000,False,000,False,False,False,1,131
"### | باب التوكيد الذي أوله الميم
",000,False,000,False,False,False,1,89
"### | باب الإتباع الذي أوله النون
",000,False,000,False,False,False,1,210
"### | باب التوكيد الذي أوله النون
",000,False,000,False,False,False,1,158
"### | باب الإتباع الذي أوله الواو
",000,False,000,False,False,False,1,53
"### | باب التوكيد الذي أوله الواو
",000,False,000,False,False,False,1,142
"### | باب الإتباع الذي أوله الهاء
",000,False,000,False,False,False,1,44
"### | باب التوكيد الذي أوله الهاء
",000,False,000,False,False,False,1,89
"### | باب الإتباع الذي أوله الياء
",000,False,000,False,False,False,1,57
"### | باب التوكيد الذي أوله الياء
",000,False,000,False,False,False,1,52
