string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1- 
",000,False,000,False,False,False,1,181
"### | 2- 
",000,False,000,False,False,False,1,70
"### | 3- 
",000,False,000,False,False,False,1,48
"### | 4- 
",000,False,000,False,False,False,1,60
"### | 5- 
",000,False,000,False,False,False,1,71
"### | 6- 
",000,False,000,False,False,False,1,89
"### | 7- 
",000,False,000,False,False,False,1,57
"### | 8- 
",000,False,000,False,False,False,1,71
"### | 9- 
",000,False,000,False,False,False,1,38
"### | 10- 
",000,False,000,False,False,False,1,29
"### | 11- 
",000,False,000,False,False,False,1,116
"### | 12- 
",000,False,000,False,False,False,1,34
"### | 13- 
",000,False,000,False,False,False,1,72
"### | 14- 
",000,False,000,False,False,False,1,82
"### | 15- 
",000,False,000,False,False,False,1,41
"### | 16- 
",000,False,000,False,False,False,1,28
"### | 17- 
",000,False,000,False,False,False,1,70
"### | 18- 
",000,False,000,False,False,False,1,71
"### | 19- 
",000,False,000,False,False,False,1,47
"### | 20- 
",000,False,000,False,False,False,1,229
"### | 21- 
",000,False,000,False,False,False,1,80
"### | 22- 
",000,False,000,False,False,False,1,74
"### | 23- 
",000,False,000,False,False,False,1,53
"### | 24- 
",000,False,000,False,False,False,1,68
"### | 25- 
",000,False,000,False,False,False,1,73
"### | 26- 
",000,False,000,False,False,False,1,41
"### | 27- 
",000,False,000,False,False,False,1,616
"### | 28- 
",000,False,000,False,False,False,1,45
"### | 29- 
",000,False,000,False,False,False,1,36
"### | 30- 
",000,False,000,False,False,False,1,96
"### | 31- 
",000,False,000,False,False,False,1,93
"### | 32- 
",000,False,000,False,False,False,1,57
"### | 33- 
",000,False,000,False,False,False,1,69
"### | 34- 
",000,False,000,False,False,False,1,48
"### | 35- 
",000,False,000,False,False,False,1,68
"### | 36- 
",000,False,000,False,False,False,1,73
"### | 37- 
",000,False,000,False,False,False,1,60
"### | 38- 
",000,False,000,False,False,False,1,62
"### | 39- 
",000,False,000,False,False,False,1,39
"### | 40- 
",000,False,000,False,False,False,1,49
"### | 41- 
",000,False,000,False,False,False,1,54
"### | 42- 
",000,False,000,False,False,False,1,32
"### | 43- 
",000,False,000,False,False,False,1,45
"### | 44- 
",000,False,000,False,False,False,1,54
"### | 45- 
",000,False,000,False,False,False,1,138
"### | 46- 
",000,False,000,False,False,False,1,61
"### | 47- 
",000,False,000,False,False,False,1,39
"### | 48- 
",000,False,000,False,False,False,1,37
"### | 49- 
",000,False,000,False,False,False,1,45
"### | 50- 
",000,False,000,False,False,False,1,45
"### | 51- 
",000,False,000,False,False,False,1,35
"### | 52- 
",000,False,000,False,False,False,1,129
"### | 53- 
",000,False,000,False,False,False,1,43
"### | 54- 
",000,False,000,False,False,False,1,44
"### | 55- 
",000,False,000,False,False,False,1,50
"### | 56- 
",000,False,000,False,False,False,1,49
"### | 57- 
",000,False,000,False,False,False,1,38
"### | 58- 
",000,False,000,False,False,False,1,37
"### | 59- 
",000,False,000,False,False,False,1,24
"### | 60- 
",000,False,000,False,False,False,1,132
"### | 61- 
",000,False,000,False,False,False,1,47
"### | 62- 
",000,False,000,False,False,False,1,58
"### | 63- 
",000,False,000,False,False,False,1,38
"### | 64- 
",000,False,000,False,False,False,1,43
"### | 65- 
",000,False,000,False,False,False,1,63
"### | 66- 
",000,False,000,False,False,False,1,42
"### | 67- 
",000,False,000,False,False,False,1,44
"### | 68- 
",000,False,000,False,False,False,1,40
"### | 69- 
",000,False,000,False,False,False,1,116
"### | 70- 
",000,False,000,False,False,False,1,63
"### | 71- 
",000,False,000,False,False,False,1,33
"### | 72- 
",000,False,000,False,False,False,1,52
"### | 73- 
",000,False,000,False,False,False,1,37
"### | 74- 
",000,False,000,False,False,False,1,41
"### | 75- 
",000,False,000,False,False,False,1,56
"### | 76- 
",000,False,000,False,False,False,1,38
"### | 77- 
",000,False,000,False,False,False,1,19
"### | 78- 
",000,False,000,False,False,False,1,36
"### | 79- 
",000,False,000,False,False,False,1,18
"### | 80- 
",000,False,000,False,False,False,1,9
"### | 81- 
",000,False,000,False,False,False,1,141
"### | 82- 
",000,False,000,False,False,False,1,62
"### | 83- 
",000,False,000,False,False,False,1,76
"### | 84- 
",000,False,000,False,False,False,1,53
"### | 85- 
",000,False,000,False,False,False,1,47
"### | 86- 
",000,False,000,False,False,False,1,55
"### | 87- 
",000,False,000,False,False,False,1,34
"### | 88- 
",000,False,000,False,False,False,1,37
"### | 89- 
",000,False,000,False,False,False,1,28
"### | 90- 
",000,False,000,False,False,False,1,30
"### | 91- 
",000,False,000,False,False,False,1,81
"### | 92- 
",000,False,000,False,False,False,1,50
"### | 93- 
",000,False,000,False,False,False,1,40
"### | 94- 
",000,False,000,False,False,False,1,74
"### | 95- 
",000,False,000,False,False,False,1,52
"### | 96- 
",000,False,000,False,False,False,1,43
"### | 97- 
",000,False,000,False,False,False,1,59
"### | 98- 
",000,False,000,False,False,False,1,60
"### | 99- 
",000,False,000,False,False,False,1,69
"### | 100- 
",000,False,000,False,False,False,1,32
"### | 101- 
",000,False,000,False,False,False,1,63
"### | 102- 
",000,False,000,False,False,False,1,48
"### | 103- 
",000,False,000,False,False,False,1,68
"### | 104- 
",000,False,000,False,False,False,1,55
"### | 105- 
",000,False,000,False,False,False,1,46
"### | 106- 
",000,False,000,False,False,False,1,58
"### | 107- 
",000,False,000,False,False,False,1,42
"### | 108- 
",000,False,000,False,False,False,1,38
"### | 109- 
",000,False,000,False,False,False,1,53
"### | 110- 
",000,False,000,False,False,False,1,44
"### | 111- 
",000,False,000,False,False,False,1,56
"### | 112- 
",000,False,000,False,False,False,1,45
"### | 113- 
",000,False,000,False,False,False,1,61
"### | 114- 
",000,False,000,False,False,False,1,58
"### | 115- 
",000,False,000,False,False,False,1,65
"### | 116- 
",000,False,000,False,False,False,1,98
"### | 117- 
",000,False,000,False,False,False,1,51
"### | 118- 
",000,False,000,False,False,False,1,68
"### | 119- 
",000,False,000,False,False,False,1,46
"### | 120- 
",000,False,000,False,False,False,1,32
"### | 121- 
",000,False,000,False,False,False,1,68
"### | 122- 
",000,False,000,False,False,False,1,43
"### | 123- 
",000,False,000,False,False,False,1,120
"### | 124- 
",000,False,000,False,False,False,1,39
"### | 125- 
",000,False,000,False,False,False,1,30
"### | 126- 
",000,False,000,False,False,False,1,35
"### | 127- 
",000,False,000,False,False,False,1,30
"### | 128- 
",000,False,000,False,False,False,1,35
"### | 129- 
",000,False,000,False,False,False,1,26
"### | 130- 
",000,False,000,False,False,False,1,30
"### | 131- 
",000,False,000,False,False,False,1,60
"### | 132- 
",000,False,000,False,False,False,1,66
"### | 133- 
",000,False,000,False,False,False,1,41
"### | 134- 
",000,False,000,False,False,False,1,38
"### | 135- 
",000,False,000,False,False,False,1,109
"### | 136- 
",000,False,000,False,False,False,1,66
"### | 137- 
",000,False,000,False,False,False,1,51
"### | 138- 
",000,False,000,False,False,False,1,35
"### | 139- 
",000,False,000,False,False,False,1,65
"### | 140- 
",000,False,000,False,False,False,1,26
"### | 141- 
",000,False,000,False,False,False,1,23
"### | 142- 
",000,False,000,False,False,False,1,38
"### | 143- 
",000,False,000,False,False,False,1,40
"### | 144- 
",000,False,000,False,False,False,1,29
"### | 145- 
",000,False,000,False,False,False,1,47
"### | 146- 
",000,False,000,False,False,False,1,64
"### | 147- 
",000,False,000,False,False,False,1,70
"### | 148- 
",000,False,000,False,False,False,1,63
"### | 149- 
",000,False,000,False,False,False,1,43
"### | 150- 
",000,False,000,False,False,False,1,20
"### | 151- 
",000,False,000,False,False,False,1,31
"### | 152- 
",000,False,000,False,False,False,1,34
"### | 153- 
",000,False,000,False,False,False,1,33
"### | 154- 
",000,False,000,False,False,False,1,28
"### | 155- 
",000,False,000,False,False,False,1,30
"### | 156- 
",000,False,000,False,False,False,1,41
"### | 157- 
",000,False,000,False,False,False,1,49
"### | 158- 
",000,False,000,False,False,False,1,50
"### | 159- 
",000,False,000,False,False,False,1,46
"### | 160- 
",000,False,000,False,False,False,1,39
"### | 161- 
",000,False,000,False,False,False,1,37
"### | 162- 
",000,False,000,False,False,False,1,47
"### | 163- 
",000,False,000,False,False,False,1,56
"### | 164- 
",000,False,000,False,False,False,1,35
"### | 165- 
",000,False,000,False,False,False,1,34
"### | 166- 
",000,False,000,False,False,False,1,48
"### | 167- 
",000,False,000,False,False,False,1,56
"### | 168- 
",000,False,000,False,False,False,1,41
