string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [خطبة الكتاب]
",000,False,000,False,False,False,1,379
"### | [المقدمة]
",000,False,000,False,False,False,1,38235
"### || الباب الأول من أقلل الرواية عنه مخافة الزلة.
",000,False,000,False,False,False,2,606
"### || الباب الثاني وزر الكذب على رسول الله صلى الله عليه وسلم إذا أضل به الناس.
",000,False,000,False,False,False,2,444
"### || الباب الثالث شدة عقوبة من كذب على رسول الله صلى الله عليه وسلم فيحل الحرام ويحرم الحلال.
",000,False,000,False,False,False,2,212
"### || الباب الرابع أعظم الكذب هو الكذب على رسول الله صلى الله عليه وسلم، ليس كالكذب على غيره.
",000,False,000,False,False,False,2,252
"### || الباب الخامس الكاذب على رسول الله صلى الله عليه وسلم لا يريح رائحة الجنة.
",000,False,000,False,False,False,2,157
"### || الباب السادس ما يستوجب الكاذب على رسول الله صلى الله عليه وسلم صلى الله عليه وسلم من لعنة الله والملائكة والناس أجمعين.
",000,False,000,False,False,False,2,156
"### || الباب السابع اتقاء حديث رسول الله صلى الله عليه وسلم إلا ما يعلمه ويعرفه ويتيقنه
",000,False,000,False,False,False,2,233
"### || الباب الثامن ما الذي يستوجب من الإثم من يحدث عن رسول الله صلى الله عليه وسلم صلى الله عليه وسلم حديثا كذبا لم يقله؟.
",000,False,000,False,False,False,2,240
"### || الباب التاسع تحريم الكذب على رسول الله صلى الله عليه وسلم.
",000,False,000,False,False,False,2,207
"### || الباب العاشر الراوي عن رسول الله صلى الله عليه وسلم حديثا كذبا فهو أحدهما، وإن كان الكاذب فيه غيره.
",000,False,000,False,False,False,2,100
"### || الباب الحادي عشر من شدد من الصحابة الرواية عنه فرقا من الكذب فيه، وقال: كبرنا ونسينا.
",000,False,000,False,False,False,2,144
"### || الباب الثاني عشر من كان منهم يقول لأن يخر من السماء أحب إليه من أن يكذب عليه.
",000,False,000,False,False,False,2,186
"### || الباب الثالث عشر من كان منهم إذا حدث عنه فزع، وقال: أو كما قال ، تحرجا من الزيادة.
",000,False,000,False,False,False,2,189
"### || الباب الرابع عشر إنكار من أنكر منهم على من أكثر منهم الرواية عنه لئلا يكذب عليه
",000,False,000,False,False,False,2,498
"### || الباب الخامس عشر من كان يأخذ منهم بالخبر عن رسول الله صلى الله عليه وسلم صلى الله عليه وسلم وغيره حفظا عند قصر الإسناد.
",000,False,000,False,False,False,2,165
"### || الباب السادس عشر استئذانهم رسول الله صلى الله عليه وسلم أن يكتبوا عنه، وإذنه لهم لما كثر، ومن دون بعدهم لما طال الإسناد.
",000,False,000,False,False,False,2,575
"### || الباب السابع عشر من اختار قلة الحديث وذم طلبه وكثرته طلب السلامة من الكذب.
",000,False,000,False,False,False,2,391
"### || الباب الثامن عشر الكاذب يكتب عند الله تعالى كذابا ويهديه كذبه إلى الفجور.
",000,False,000,False,False,False,2,335
"### || الباب التاسع عشر اجتناب الكذب في الجد والهزل وأنه شر الرواية وأن الكاذب مخالف لموعده.
",000,False,000,False,False,False,2,88
"### || الباب العشرون الكذاب يكون مجانبا للإيمان.
",000,False,000,False,False,False,2,443
"### || الباب الحادي والعشرون من قال: التلقين هو الذي يكذب فيه الراوي، وذكر بعض من لقن.
",000,False,000,False,False,False,2,500
"### || الباب الثاني والعشرون من قال: التدليس من الكذب وأخو الكذب.
",000,False,000,False,False,False,2,305
"### || الباب الثالث والعشرون الكاذب يكذب صراحا من مهانة نفسه عليه، والظريف لا يكذب.
",000,False,000,False,False,False,2,262
"### || الباب الرابع والعشرون من أكبر الخيانة أن يحدثك حديثا هو فيه كاذب وأنت له مصدق.
",000,False,000,False,False,False,2,165
"### || الباب الخامس والعشرون الإعانة على الكذابين بالنسيان وأنه آفة العلم.
",000,False,000,False,False,False,2,373
