string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | المجلد الأول
",000,False,000,False,False,False,1,4
"### | باب القول في بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,14
"### | مدخل
",000,False,000,False,False,False,1,49347
"### | باب القول في أنها من القرآن
",000,False,000,False,False,False,1,179
"### | القول في أنها من فاتحة الكتاب
",000,False,000,False,False,False,1,89
"### | القول في هل هي من أوائل السور
",000,False,000,False,False,False,1,263
"### | باب قراءة فاتحة الكتاب في الصلاة
",000,False,000,False,False,False,1,143
"### | ومن سورة البقرة
",000,False,000,False,False,False,1,6
"### | مدخل
",000,False,000,False,False,False,1,244
"### | مطلب في أن عقوبة الدنيا غير موضوعة على مقادير الأجرام، وإنما هي على ما يعلمه الله تعالى من المصالح فيها
",000,False,000,False,False,False,1,217
"### | مطلب في أمر اله تعالى باستعمال الحجج العقلية والاستدلال بها
",000,False,000,False,False,False,1,50
"### | باب السجود لغير الله تعالى
",000,False,000,False,False,False,1,100
"### | مطلب يحتج بقوله تعالى: {فبدل الذين ظلموا} الآية على أن الأذكار توقيفية لا يجوز تغييرها
",000,False,000,False,False,False,1,41
"### | مطلب دل قوله تعالى: {لا فارض ولا بكر عوان بين ذلك} على جواز الاجتهاد
",000,False,000,False,False,False,1,86
"### | باب السحر وحكم الساحر
",000,False,000,False,False,False,1,101
"### | باب اختلاف الفقهاء في ms0188 حكم الساحر وقول السلف فيه
",000,False,000,False,False,False,1,39
"### | مطلب في أن ثبوت السحر يكون إما باقتصاص الأثر وتتبعه وإما بالإخبار
",000,False,000,False,False,False,1,208
"### | باب في نسخ القرآن بالسنة وذكر وجوه النسخ
",000,year,000,False,False,False,1,68
"### | مطلب في الحث على نظافة البدن والثياب
",000,False,000,False,False,False,1,240
"### | باب ذكر ms0190 صفة الطواف
",000,False,000,False,False,False,1,172
"### | باب ميراث الجد
",000,False,000,False,False,False,1,19
"### | باب القول في صحة الإجماع
",000,False,000,False,False,False,1,43
"### | مطلب يستحيل وجود النسخ بعد النبي صلى الله عليه وسلم
",000,False,000,False,False,False,1,331
"### | باب استقبال القبلة
",000,False,000,False,False,False,1,120
"### | باب وجوب ذكر الله تعالى
",000,False,000,False,False,False,1,188
"### | مطلب في أن ذكر الله تعالى بالتفكر في دلائله أفضل أنواع الذكر
",000,False,000,False,False,False,1,64
"### | مطلب في أن الإنسان هو الروح
",000,False,000,False,False,False,1,49
"### | باب السعي بين الصفا والمروة
",000,False,000,False,False,False,1,313
"### | باب طواف الراكب
",000,False,000,False,False,False,1,187
"### | باب في النهي عن كتمان العلم
",000,False,000,False,False,False,1,131
"### | باب لعن الكفار
",000,False,000,False,False,False,1,147
"### | باب إباحة ركوب البحر
",000,False,000,False,False,False,1,29
"### | باب تحريم الميتة
",000,False,000,False,False,False,1,336
"### | باب أكل الجراد
",000,False,000,False,False,False,1,73
"### | باب ذكاة الجنين
",000,False,000,False,False,False,1,179
"### | باب جلود الميتة إذا دبغت
",000,False,000,False,False,False,1,362
"### | باب تحريم الانتفاع بدهن الميتة
",000,False,000,False,False,False,1,145
"### | باب الفأرة تموت في السمن
",000,False,000,False,False,False,1,116
"### | مطلب: الدهن المتنجس يجوز الانتفاع به بغير الأكل ويجوز بيعه بشرط بيان عيبه ms0201
",000,False,000,False,False,False,1,187153
"### | باب القدر يقع فيها الطير فيموت
",000,False,000,False,False,False,1,311
"### | باب منفحة الميتة ولبنها
",000,False,000,False,False,False,1,360
"### | باب شعر الميتة وصوفها والفراء وجلود السباع
",000,False,000,False,False,False,1,195
"### | باب تحريم الدم
",000,False,000,False,False,False,1,287
"### | باب تحريم الخنزير
",000,False,000,False,False,False,1,197
"### | باب ذكر الضرورة المبيحة لأكل الميتة
",000,False,000,False,False,False,1,213
"### | باب المضطر إلى شرب الخمر
",000,False,000,False,False,False,1,43
"### | باب في مقدار ما يأكل المضطر
",000,False,000,False,False,False,1,78
"### | باب هل في المال حق واجب سوى الزكاة
",000,False,000,False,False,False,1,99
"### | باب القصاص
",000,False,000,False,False,False,1,56
"### | مسألة في قتل الحر بالعبد
",000,False,000,False,False,False,1,187
"### | باب قتل المولى لعبده
",000,False,000,False,False,False,1,95
"### | باب القصاص بين الرجال والنساء
",000,False,000,False,False,False,1,52
"### | باب قتل المؤمن بالكافر
",000,False,000,False,False,False,1,70
"### | باب قتل الوالد بولده
",000,False,000,False,False,False,1,115
"### | باب الرجلين يشتركان في قتل رجل
",000,False,000,False,False,False,1,240
"### | مطلب: في أن العلل الشرعية يجب اطرادها ولا ms0906 يجب انعكاسها
",000,False,000,False,False,False,1,160
"### | باب ما يجب لولي قتيل العمد
",000,False,000,False,False,False,1,316
"### | باب العاقلة هل تعقل العمد
",000,False,000,False,False,False,1,61
"### | باب كيفية القصاص
",000,False,000,False,False,False,1,216
"### | باب القول في وجوب الوصية
",000,False,000,False,False,False,1,244
"### | باب الوصية للوارث إذا أجازتها الورثة
",000,False,000,False,False,False,1,39
"### | باب تبديل الوصية.
",000,False,000,False,False,False,1,40
"### | باب الشاهد والوصي إذا علما الجور في الوصية
",000,False,000,False,False,False,1,299
"### | باب فرض الصيام
",000,False,000,False,False,False,1,86
"### | ذكر اختلاف الفقهاء في الشيخ الفاني
",000,False,000,False,False,False,1,71
"### | باب الحامل والمرضع
",000,False,000,False,False,False,1,244
"### | باب ذكر اختلاف الفقهاء فيمن جن رمضان كله أو بعضه
",000,False,000,False,False,False,1,335
"### | باب الغلام يبلغ والكافر يسلم في بعض رمضان
",000,False,000,False,False,False,1,332
"### | باب قضاء رمضان
",000,False,000,False,False,False,1,25
"### | باب في جواز تأخير قضاء رمضان
",000,False,000,False,False,False,1,79
"### | باب الصيام في السفر
",000,False,000,False,False,False,1,292
"### | باب من صام في السفر ثم أفطر
",000,False,000,False,False,False,1,272
"### | باب في المسافر يصوم رمضان عن غيره
",000,False,000,False,False,False,1,22
"### | باب في عدد قضاء رمضان
",000,False,000,False,False,False,1,342
"### | باب الأكل والشرب والجماع ليلة الصيام
",000,False,000,False,False,False,1,165
"### | باب لزوم صوم التطوع بالدخول فيه
",000,False,000,False,False,False,1,46
"### | باب الاعتكاف
",000,False,000,False,False,False,1,333
"### | باب الاعتكاف هل يجوز بغير صوم
",000,False,000,False,False,False,1,122
