string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1- 
",000,False,000,False,False,False,1,49
"### | 2- 
",000,False,000,False,False,False,1,21
"### | [ص: 19]
",000,False,000,False,False,False,1,46
"### | 3- 
",000,False,000,False,False,False,1,18
"### | 4- 
",000,False,000,False,False,False,1,40
"### | 5- 
",000,False,000,False,False,False,1,42
"### | 6- 
",000,False,000,False,False,False,1,46
"### | [ص: 22]
",000,False,000,False,False,False,1,10
"### | 7- 
",000,False,000,False,False,False,1,61
"### | 8- 
",000,False,000,False,False,False,1,27
"### | [ص: 24]
",000,False,000,False,False,False,1,52
"### | 9- 
",000,False,000,False,False,False,1,66
"### | 10- 
",000,False,000,False,False,False,1,31
"### | 11- 
",000,False,000,False,False,False,1,37
"### | 12- 
",000,False,000,False,False,False,1,23
"### | [ص: 28]
",000,False,000,False,False,False,1,38
"### | 13- 
",000,False,000,False,False,False,1,33
"### | 14- 
",000,False,000,False,False,False,1,23
"### | [ص: 31]
",000,False,000,False,False,False,1,24
"### | 15- 
",000,False,000,False,False,False,1,91
"### | 16- 
",000,False,000,False,False,False,1,122
"### | [ص: 33]
",000,False,000,False,False,False,1,139
"### | [ص: 34]
",000,False,000,False,False,False,1,43
"### | 17- 
",000,False,000,False,False,False,1,231
"### | [ص: 36]
",000,False,000,False,False,False,1,162
"### | [ص: 37]
",000,False,000,False,False,False,1,99
"### | 18- 
",000,False,000,False,False,False,1,40
"### | 19- 
",000,False,000,False,False,False,1,30
"### | 20- 
",000,False,000,False,False,False,1,31
"### | 21- 
",000,False,000,False,False,False,1,41
"### | 22- 
",000,False,000,False,False,False,1,44
"### | 23- 
",000,False,000,False,False,False,1,42
"### | 24- 
",000,False,000,False,False,False,1,57
"### | 25- 
",000,False,000,False,False,False,1,40
"### | 26- 
",000,False,000,False,False,False,1,38
"### | 27- 
",000,False,000,False,False,False,1,41
"### | 28- 
",000,False,000,False,False,False,1,55
"### | 29- 
",000,False,000,False,False,False,1,25
"### | 30- 
",000,False,000,False,False,False,1,24
"### | 31- 
",000,False,000,False,False,False,1,31
"### | 32- 
",000,False,000,False,False,False,1,31
"### | 33- 
",000,False,000,False,False,False,1,69
"### | 34- 
",000,False,000,False,False,False,1,34
"### | 35- 
",000,False,000,False,False,False,1,35
"### | 36- 
",000,False,000,False,False,False,1,51
"### | 37- 
",000,False,000,False,False,False,1,49
"### | 38- 
",000,False,000,False,False,False,1,34
"### | 39- 
",000,False,000,False,False,False,1,40
"### | 40- 
",000,False,000,False,False,False,1,65
"### | 41- 
",000,False,000,False,False,False,1,69
"### | 42- 
",000,False,000,False,False,False,1,50
"### | 43- 
",000,False,000,False,False,False,1,25
"### | [ص: 53]
",000,False,000,False,False,False,1,24
"### | 44- 
",000,False,000,False,False,False,1,49
"### | 45- 
",000,False,000,False,False,False,1,27
"### | [ص: 54]
",000,False,000,False,False,False,1,22
"### | 46- 
",000,False,000,False,False,False,1,81
"### | 47- 
",000,False,000,False,False,False,1,25
"### | [ص: 55]
",000,False,000,False,False,False,1,29
"### | 48- 
",000,False,000,False,False,False,1,32
"### | 49- 
",000,False,000,False,False,False,1,23
"### | [ص: 56]
",000,False,000,False,False,False,1,22
"### | 50- 
",000,False,000,False,False,False,1,26
"### | 51- 
",000,False,000,False,False,False,1,32
"### | 52- 
",000,False,000,False,False,False,1,31
"### | 53- 
",000,False,000,False,False,False,1,31
"### | 54- 
",000,False,000,False,False,False,1,40
"### | 55- 
",000,False,000,False,False,False,1,32
"### | 56- 
",000,False,000,False,False,False,1,35
"### | 57- 
",000,False,000,False,False,False,1,30
"### | 58- 
",000,False,000,False,False,False,1,39
"### | 59- 
",000,False,000,False,False,False,1,54
"### | 60- 
",000,False,000,False,False,False,1,32
"### | 61- 
",000,False,000,False,False,False,1,47
"### | 62- 
",000,False,000,False,False,False,1,109
"### | 63- 
",000,False,000,False,False,False,1,49
"### | 64- 
",000,False,000,False,False,False,1,47
"### | 65- 
",000,False,000,False,False,False,1,34
"### | [ص: 64]
",000,False,000,False,False,False,1,19
"### | 66- 
",000,False,000,False,False,False,1,97
