string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 30 - باب فيما جاء عن الرضا عليه السلام من الاخبار المنثورة
",000,False,000,False,False,False,1,5867
"### | 31 - (باب فيما جاء عن الرضا (ع) من الاخبار المجموعة) * 
",000,False,000,False,False,False,1,12883
"### | 32 - باب (في ذكر ما جاء عن الرضا عليه السلام من العلل)
",000,False,000,False,False,False,1,3776
"### | 33 - باب (في ذكر ما كتب به الرضا عليه السلام إلى محمد بن سنان في جواب مسائله في العلل)
",000,False,000,False,False,False,1,2613
"### | 34 - باب العلل التي ذكر الفضل بن شاذان في آخرها أنه سمعها من الرضا علي بن موسى عليه السلام مرة بعده مرة وشيئا بعد شئ فجمعها وأطلق لعلي بن محمد بن قتيبة النيسابوري روايتها عنه عن الرضا عليه السلام
",000,False,000,False,False,False,1,5977
"### | 35 - باب (ما كتبه الرضا عليه السلام للمأمون في محض الاسلام وشرائع الدين)
",000,False,000,False,False,False,1,3156
"### || ومن أخباره عليه السلام
",000,False,000,False,False,False,2,1381
"### | 36 - باب دخول الرضا عليه السلام بنيسابور وذكر الدار التي نزلها والمحلة
",000,False,000,False,False,False,1,327
"### | 37 - باب ما حدث به الرضا عليه السلام في مربعة نيسابور وهو يريد قصد المأمون
",000,False,000,False,False,False,1,675
"### | 38 - باب خبر نادر عن الرضا عليه السلام 
",000,False,000,False,False,False,1,95
"### | 39 - باب خروج الرضا عليه السلام من نيسابور إلى طوس ومنها إلى مرو
",000,False,000,False,False,False,1,592
"### | 40 - باب السبب الذي من أجله قبل علي بن موسى الرضا عليه السلام ولاية العهد من المأمون وذكر ما جرى في ذلك ومن كرهه ومن رضي به وغير ذلك
",000,False,000,False,False,False,1,8123
"### | 41 - باب استسقاء المأمون بالرضا عليه السلام وما أراه الله عز وجل القدرة في الاستجابة له وفي أهلاك من أنكر دلالته ذلك
",000,False,000,False,False,False,1,1344
"### | 42 - باب ذكر ما أتاه المأمون من طرد الناس عن مجلس الرضا عليه السلام والاستخفاف به وما كان من دعائه عليه السلام
",000,False,000,False,False,False,1,497
"### | 43 - باب ذكر ما أنشد الرضا عليه السلام المأمون من الشعر في الحلم والسكوت عن الجاهل وترك عتاب الصديق وفي إستجلاب العدو حتى يكون صديقا وفي كتمان السر
",000,False,000,False,False,False,1,1072
"### | 44 - باب في ذكر أخلاق الرضا عليه السلام الكريمة ووصف عبادته
",000,False,000,False,False,False,1,1887
"### | 45 - باب ذكر ما يتقرب به المأمون إلى الرضا عليه السلام من مجادلة المخالفين في الإمامة والتفضيل
",000,False,000,False,False,False,1,4757
"### | 46 - باب ما جاء عن الرضا عليه السلام في وجه دلائل الأئمة عليهم السلام والرد على الغلاة والمفوضة لعنهم ms188 الله
",000,False,000,False,False,False,1,1254
"### | 47 - باب (دلالات الرضا عليه السلام)
",000,False,000,False,False,False,1,5556
"### || دلالة أخرى
",000,False,000,False,False,False,2,59
"### || دلالة أخرى
",000,False,000,False,False,False,2,54
"### || دلالة أخرى
",000,False,000,False,False,False,2,118
"### || دلالة أخرى
",000,False,000,False,False,False,2,207
"### || دلالة أخرى
",000,False,000,False,False,False,2,143
"### || دلالة أخرى
",000,False,000,False,False,False,2,129
"### || دلالة أخرى
",000,False,000,False,False,False,2,100
"### || دلالة أخرى
",000,False,000,False,False,False,2,173
"### || دلالة أخرى
",000,False,000,False,False,False,2,98
"### || دلالة أخرى.
",000,False,000,False,False,False,2,140
"### || دلالة أخرى
",000,False,000,False,False,False,2,56
"### || دلالة أخرى
",000,False,000,False,False,False,2,202
"### || دلالة أخرى
",000,False,000,False,False,False,2,48
"### || دلالة أخرى
",000,False,000,False,False,False,2,191
"### || دلالة أخرى
",000,False,000,False,False,False,2,407
"### || دلالة أخرى
",000,False,000,False,False,False,2,132
"### || دلالة أخرى
",000,False,000,False,False,False,2,183
"### || دلالة أخرى
",000,False,000,False,False,False,2,262
"### || دلالة أخرى
",000,False,000,False,False,False,2,68
"### || دلالة أخرى
",000,False,000,False,False,False,2,503
"### || دلالة أخرى
",000,False,000,False,False,False,2,115
"### || دلالة أخرى
",000,False,000,False,False,False,2,59
"### || دلالة أخرى
",000,False,000,False,False,False,2,129
"### || دلالة أخرى
",000,False,000,False,False,False,2,84
"### || دلالة أخرى
",000,False,000,False,False,False,2,98
"### || دلالة أخرى
",000,False,000,False,False,False,2,69
"### || دلالة أخرى
",000,False,000,False,False,False,2,145
"### || دلالة أخرى 
",000,False,000,False,False,False,2,118
"### || دلالة أخرى
",000,False,000,False,False,False,2,120
"### || دلالة أخرى
",000,False,000,False,False,False,2,82
"### || دلالة أخرى
",000,False,000,False,False,False,2,79
"### || دلالة أخرى
",000,False,000,False,False,False,2,86
"### || دلالة أخرى
",000,False,000,False,False,False,2,100
"### || دلالة أخرى.
",000,False,000,False,False,False,2,130
"### || دلالة أخرى
",000,False,000,False,False,False,2,73
"### || دلالة أخرى
",000,False,000,False,False,False,2,48
"### || دلالة أخرى
",000,False,000,False,False,False,2,124
"### || دلالة أخرى
",000,False,000,False,False,False,2,92
"### || دلالة أخرى
",000,False,000,False,False,False,2,93
"### || دلالة أخرى
",000,False,000,False,False,False,2,191
"### || دلالة أخرى
",000,False,000,False,False,False,2,61
"### || دلالة أخرى 
",000,False,000,False,False,False,2,303
"### | 48 - باب دلالة الرضا عليه السلام في إجابة الله عز وجل دعائه على بكار بن عبد الله بن مصعب بن الزبير بن بكار لما ظلمه
",000,False,000,False,False,False,1,159
"### | 49 - باب دلالته فيما أخبر به من أمره أنه لا يرى بغداد ولا تراه فكان كما قال عليه السلام
",000,False,000,False,False,False,1,91
"### | 50 - باب دلالته عليه السلام في إجابة الله عز وجل دعائه في آل برمك واخباره بما يجرى عليهم وبأنه لا يصل إليه من الرشيد مكروه
",000,False,000,False,False,False,1,402
"### | 51 - باب دلالته عليه السلام في اخباره بأنه يدفن مع هارون في بيت واحد
",000,False,000,False,False,False,1,121
"### | 52 - باب اخباره عليه السلام بأنه سيقتل مسموما ويقبر إلى جنب هارون الرشيد
",000,False,000,False,False,False,1,127
"### | 53 - باب صحة فراسة الرضا عليه السلام ومعرفته بأهل الايمان وأهل النفاق
",000,False,000,False,False,False,1,64
