string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,23
"### | (الباب الذي من أجله سمينا هذا كتاب معاني الأخبار) *
",000,False,000,False,False,False,1,266
"### | (باب) * (معنى الاسم) *
",000,False,000,False,False,False,1,144
"### | (باب) * (معنى بسم الله الرحمن الرحيم) *
",000,False,000,False,False,False,1,167
"### | (باب آخر) * (في معنى بسم الله) *
",000,False,000,False,False,False,1,73
"### | (باب) * (معنى "" الله "" عز وجل) *
",000,False,000,False,False,False,1,218
"### | (باب) * (معنى الواحد) *
",000,False,000,False,False,False,1,267
"### | (باب) * (معنى الصمد) *
",000,False,000,False,False,False,1,594
"### | (باب) * (معنى قول الأئمة عليهم السلام ان الله تبارك وتعالى شئ) * 
",000,False,000,False,False,False,1,124
"### | (باب) * (معنى سبحان الله) *
",000,False,000,False,False,False,1,232
"### | (باب) * (معنى التوحيد والعدل) *
",000,False,000,False,False,False,1,204
"### | (باب) * (معنى الله أكبر) *
",000,False,000,False,False,False,1,140
"### | (باب) * (معنى الأول والآخر) * 
",000,False,000,False,False,False,1,105
"### | (باب) * (معاني ألفاظ وردت في الكتاب والسنة في التوحيد) * 
",000,year,000,False,False,False,1,1498
"### | (باب) * (معنى رضى الله عز وجل وسخطه) *
",000,False,000,False,False,False,1,406
"### | (باب) * (معنى الهدى والضلال والتوفيق والخذلان من الله تبارك وتعالى) *
",000,False,000,False,False,False,1,234
"### | (باب) * (معنى لا حول ولا قوة الا بالله) * 
",000,False,000,False,False,False,1,94
"### | (باب) * (معنى الحروف المقطعة في أوايل السور من القرآن) *
",000,False,000,False,False,False,1,1969
"### | (باب) * (معنى الاستواء على العرش) * 
",000,False,000,False,False,False,1,61
"### | (باب معنى العرش والكرسي) 
",000,False,000,False,False,False,1,137
"### | (باب معنى اللوح والقلم) 
",000,False,000,False,False,False,1,59
"### | (باب) * (معنى الموازين التي توزن بها أعمال العباد) *
",000,False,000,False,False,False,1,91
"### | (باب معنى الصراط)
",000,False,000,False,False,False,1,1566
"### | (باب) * (معنى حروف الأذان والإقامة) * 
",000,False,000,False,False,False,1,1459
"### | (باب) * (معاني حروف المعجم) *
",000,False,000,False,False,False,1,714
"### | (باب) * (معنى حروف الجمل) *
",000,False,000,False,False,False,1,685
"### | (باب) * (معاني أسماء الأنبياء والرسل عليهم السلام وغير ذلك) *
",000,False,000,False,False,False,1,727
"### | (باب) * (معاني أسماء النبي صلى الله عليه وآله [وأهل بيته عليهم السلام]* 
",000,False,000,False,False,False,1,1017
"### | (باب) * (معاني أسماء محمد وعلى وفاطمة والحسن والحسين) * * (والأئمة عليهم السلام) * 
",000,False,000,False,False,False,1,3279
"### | (باب) * (معنى قول النبي صلى الله عليه وآله "" من كنت مولاه فعلى مولاه "") *
",000,False,000,False,False,False,1,2642
"### | (باب) * (معنى قول النبي صلى الله عليه وآله لعلى عليه السلام أنت ms115) * * (منى بمنزلة هارون من موسى الا أنه لا نبي بعدي) * 
",000,False,000,False,False,False,1,1659
"### | (باب) * (معنى قول النبي صلى الله عليه وآله لعلى والحسن والحسين "" أنتم) * * (المستضعفون بعدي "") *
",000,False,000,False,False,False,1,127
"### | (باب) * (معاني ألفاظ وردت في صفة النبي صلى الله عليه وآله) * 
",000,False,000,False,False,False,1,2533
"### | (باب) * (معنى الثقلين والعترة) * 
",000,False,000,False,False,False,1,1067
"### | (باب) * (معنى الآل والأهل والعترة والأمة) * 
",000,False,000,False,False,False,1,450
"### | (باب) * (معنى الامام المبين) * 
",000,False,000,False,False,False,1,1807
"### | (باب) * (معنى قول النبي صلى الله عليه وآله في علي بن أبي طالب) * * (عليه السلام أنه سيد العرب) * 
",000,False,000,False,False,False,1,194
"### | (باب) * (معنى تزويج النور من النور) * 
",000,False,000,False,False,False,1,149
"### | (باب) * (معنى الظالم لنفسه والمقتصد والسابق) * 
",000,False,000,False,False,False,1,330
"### | (باب) * (معنى ما روى أن فاطمة أحصنت فرجها فحرم الله) * * (ذريتها على النار) * 
",000,False,000,False,False,False,1,499
"### | (باب) * (معنى ما روى في فاطمة عليها السلام أنها سيدة نساء العالمين) *
",000,False,000,False,False,False,1,85
"### | (باب) * (معنى الأمانات التي أمر الله عز وجل عباده بأدائها إلى أهلها) *
",000,False,000,False,False,False,1,128
"### | (باب) * (معنى الأمانة التي عرضت على السماوات والأرض والجبال فأبين) * * (أن يحملنها وأشفقن منها وحملها الانسان) * 
",000,False,000,False,False,False,1,759
"### | (باب) * (معنى البئر المعطلة والقصر المشيد) *
",000,False,000,False,False,False,1,210
"### | (باب) * (معنى طوبى) *
",000,False,000,False,False,False,1,103
"### | (باب) * (إخفاء الله عز وجل أربعة في أربعة) *
",000,False,000,False,False,False,1,152
"### | (باب) * (معنى الأسطوانة التي رآها رسول الله صلى الله عليه وآله في) * * ([ليلة] المعراج أصلها من فضة بيضاء ووسطها من ياقوت‍ [ة]) * * (وزبرجد وأعلاها [من] ذهبة حمراء) * 
",000,False,000,False,False,False,1,144
"### | (باب) * (معنى النبوة) *
",000,False,000,False,False,False,1,98
"### | (باب) * (معنى الشمس والقمر والزهرة والفرقدين) * 
",000,False,000,False,False,False,1,391
"### | (باب) * (معنى الصلاة على النبي صلى الله عليه وآله) * 
",000,False,000,False,False,False,1,98
"### | (باب) * (معنى الوسيلة) *
",000,False,000,False,False,False,1,470
"### | (باب) * (معنى الحرمات الثلاث) *
",000,False,000,False,False,False,1,85
"### | (باب) * (معنى عقوق الأبوين والإباق من الموالي وضلال الغنم عن الراعي) *
",000,False,000,False,False,False,1,254
"### | (باب) * (معنى قول النبي صلى الله عليه وآله "" أنا الفتى، ابن الفتى،) * * (أخو الفتى) * 
",000,False,000,False,False,False,1,148
"### | (باب) * (معنى الفتوة والمروءة) *
",000,False,000,False,False,False,1,73
"### | (باب) * (معنى أبى تراب) *
",000,False,000,False,False,False,1,156
"### | (باب) * (معنى قول أمير المؤمنين عليه السلام "" أنا زيد بن عبد مناف بن عامر) * * (بن عمرو بن المغيرة بن زيد بن كلاب "") *
",000,False,000,False,False,False,1,370
"### | (باب) * (معنى آل ياسين) *
",000,False,000,False,False,False,1,332
"### | (باب) * (معنى الحديث الذي روى عن النبي صلى الله عليه وآله) * * ("" لا تعادوا الأيام فتعاديكم "") *
",000,False,000,False,False,False,1,315
"### | (باب) * (معنى الشجرة التي أكل منها آدم وحواء) *
",000,False,000,False,False,False,1,252
"### | (باب) * (معنى الكلمات التي تلقاها آدم من ربه فتاب عليه) *
",000,False,000,False,False,False,1,138
"### | (باب) * (معنى كلمة التقوى) *
",000,False,000,False,False,False,1,109
"### | (باب) * (معنى الكلمات التي ابتلى إبراهيم ربه بهن فأتمهن) *
",000,False,000,False,False,False,1,1412
"### | (باب) * (معنى الكلمة الباقية في عقب إبراهيم عليه السلام) *
",000,False,000,False,False,False,1,81
"### | (باب) * (معنى عصمة الامام) *
",000,False,000,False,False,False,1,1444
"### | (باب) * (معنى تحريم النار على صلب انزل النبي صلى الله عليه وآله) * * (وبطن حمله وحجر كفله) *
",000,False,000,False,False,False,1,114
"### | (باب) * (معنى الكلمات التي جمع الله عز وجل فيها الخير كله لآدم عليه السلام) *
",000,False,000,False,False,False,1,132
"### | (باب) * (معنى الكفر الذي لا يبلغ الشرك) *
",000,False,000,False,False,False,1,85
"### | (باب) * (معنى الرجس) *
",000,False,000,False,False,False,1,71
"### | (باب) * (معنى إبليس) *
",000,False,000,False,False,False,1,71
"### | (باب) * (معنى كحل إبليس ولعوقه وسعوطه (3)) *
",000,False,000,False,False,False,1,58
"### | (باب) * (معنى الرجيم) *
",000,False,000,False,False,False,1,77
"### | (باب) * (معنى كنز الحديث) *
",000,False,000,False,False,False,1,76
"### | (باب) * (معنى المخبيات (3)) *
",000,False,000,False,False,False,1,160
"### | (باب) * (معنى سيد الاستغفار) *
",000,False,000,False,False,False,1,82
"### | (باب) * (معنى قول الصادق عليه السلام "" إياكم أن تكونوا منانين "") *
",000,False,000,False,False,False,1,78
"### | (باب) * (معنى المكافأة والشكر) *
",000,False,000,False,False,False,1,107
"### | (باب) * (معنى العلم الذي لا يضر من جهله ولا ينفع من علمه) *
",000,False,000,False,False,False,1,98
"### | (باب) * (معنى المنافق) *
",000,False,000,False,False,False,1,96
"### | (باب) * (معنى الشكوى في المرض) *
",000,False,000,False,False,False,1,82
"### | (باب) * (معنى الريح المنسية والمسخية) *
",000,False,000,False,False,False,1,100
"### | (باب) * (معنى قول الصادق عليه السلام: "" الناس اثنان: واحد) * * (أراح، وآخر استراح "") *
",000,False,000,False,False,False,1,79
"### | (باب) * (معنى السر وأخفى) *
",000,False,000,False,False,False,1,71
"### | (باب) * (معنى استعراب النبطي واستنباط العربي) *
",000,False,000,False,False,False,1,104
"### | (باب) * (معنى ما روى أنه ليس لامرأة خطر لا لصالحتهن ولا لطالحتهن) *
",000,False,000,False,False,False,1,83
"### | (باب) * (معنى مشاورة الله عز وجل) *
",000,False,000,False,False,False,1,81
"### | (باب) * (معنى الحرج) *
",000,False,000,False,False,False,1,193
"### | (باب) * (معنى أصدق الأسماء وخيرها) *
",000,False,000,False,False,False,1,61
"### | (باب) * (معنى الغيب والشهادة) *
",000,False,000,False,False,False,1,56
"### | (باب) * (معنى خائنة الأعين) *
",000,False,000,False,False,False,1,73
"### | (باب) * (معنى القنطار) *
",000,False,000,False,False,False,1,195
"### | (باب) * (معنى البحيرة والسائبة والصيلة والحام) *
",000,False,000,False,False,False,1,232
"### | (باب) * (معنى العتل والزنيم) *
",000,False,000,False,False,False,1,63
"### | (باب) * (معنى شرب الهيم) *
",000,False,000,False,False,False,1,235
"### | (باب) * (معنى الأصغرين والأكبرين والهيئتين) *
",000,False,000,False,False,False,1,54
"### | (باب) * (معنى كرامة النعمة) *
",000,False,000,False,False,False,1,53
"### | (باب) * (معنى السياء) *
",000,False,000,False,False,False,1,162
"### | (باب) * (معنى القليل) *
",000,False,000,False,False,False,1,63
"### | (باب) * (معنى آخر للقليل) *
",000,False,000,False,False,False,1,53
"### | (باب) * (معنى الخبر الذي روى أن الشؤم في الثلاثة في المرأة، والدابة، والدار) *
",000,False,000,False,False,False,1,149
"### | (باب) * (معنى قول النبي صلى الله عليه وآله "" أيما رجل ترك دينارين) * * (فهما كي بين عينه) *
",000,False,000,False,False,False,1,157
"### | (باب) * (معنى الزكاة الظاهرة والباطنة) *
",000,False,000,False,False,False,1,80
