string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [منتخب من صحاح الجوهري]
",000,False,000,False,False,False,1,67
"### | حرف الهمزة
",000,False,000,False,False,False,1,4
"### | [آأ]
",000,False,000,False,False,False,1,35
"### | [آمين]
",000,False,000,False,False,False,1,38
"### | [أبب]
",000,False,000,False,False,False,1,40
"### | [أبت]
",000,False,000,False,False,False,1,25
"### | [أبث]
",000,False,000,False,False,False,1,28
"### | [أبد]
",000,False,000,False,False,False,1,85
"### | [أبر]
",000,False,000,False,False,False,1,86
"### | [أبس]
",000,False,000,False,False,False,1,49
"### | [أبض]
",000,False,000,False,False,False,1,58
"### | [أبط]
",000,False,000,False,False,False,1,74
"### | [أبق]
",000,False,000,False,False,False,1,35
"### | [أبل]
",000,False,000,False,False,False,1,229
"### | ابن 
",000,False,000,False,False,False,1,16
"### | [ابن]
",000,False,000,False,False,False,1,96
"### | [أبه]
",000,False,000,False,False,False,1,30
"### | [أبا]
",000,False,000,False,False,False,1,186
"### | [أتب]
",000,False,000,False,False,False,1,34
"### | [أتل]
",000,False,000,False,False,False,1,25
"### | [أتم]
",000,False,000,False,False,False,1,49
"### | [أتن]
",000,False,000,False,False,False,1,76
"### | [أته]
",000,False,000,False,False,False,1,7
"### | [أتو]
",000,False,000,False,False,False,1,58
"### | أتي 
",000,False,000,False,False,False,1,35
"### | [أتي]
",000,False,000,False,False,False,1,143
"### | [أثث]
",000,False,000,False,False,False,1,46
"### | [أثر]
",000,False,000,False,False,False,1,223
"### | [أثف]
",000,False,000,False,False,False,1,37
"### | [أثل]
",000,False,000,False,False,False,1,85
"### | [أثم]
",000,False,000,False,False,False,1,88
"### | أثا
",000,False,000,False,False,False,1,10
"### | [أثا]
",000,False,000,False,False,False,1,13
"### | [أجج]
",000,False,000,False,False,False,1,68
"### | [أجد]
",000,False,000,False,False,False,1,25
"### | [أجر]
",000,False,000,False,False,False,1,65
"### | [أجل]
",000,False,000,False,False,False,1,157
"### | [أجم]
",000,False,000,False,False,False,1,50
"### | [أجن]
",000,False,000,False,False,False,1,50
"### | [أحح]
",000,False,000,False,False,False,1,17
"### | [أحد]
",000,False,000,False,False,False,1,79
"### | [أحن]
",000,False,000,False,False,False,1,30
"### | [أخذ]
",000,False,000,False,False,False,1,178
"### | [أخر]
",000,False,000,False,False,False,1,129
"### | [أخا]
",000,False,000,False,False,False,1,31
"### | اد ب
",000,False,000,False,False,False,1,117
"### | [أدب]
",000,False,000,False,False,False,1,46
"### | [أدد]
",000,False,000,False,False,False,1,56
"### | [أدر]
",000,False,000,False,False,False,1,17
"### | [أدم]
",000,False,000,False,False,False,1,99
"### | إدا
",000,False,000,False,False,False,1,59
"### | [أدا]
",000,False,000,False,False,False,1,19
"### | ، إذ
",000,False,000,False,False,False,1,113
