string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | - باب الألف
",000,False,000,False,False,False,1,1722
"### || أنس بن مالك خمسة
",000,False,000,False,False,False,2,107
"### || أسيد بن أبي أسيد وأسيد بن أبي أسيد
",000,False,000,False,False,False,2,58
"### || إسماعيل بن مسلم أربعة يروون عن التابعين
",000,False,000,False,False,False,2,57
"### || أبو إسحاق إسماعيل بن أبان وإسماعيل بن أبان أبو إسحاق كانا في وقت واحد وكلاهما من أهل الكوفة
",000,False,000,False,False,False,2,104
"### || إسماعيل ms02 بن أبي خالد وإسماعيل بن أبي خالد
",000,False,000,False,False,False,2,113
"### || إسماعيل بن كثير وإسماعيل بن كثير
",000,False,000,False,False,False,2,38
"### || إسماعيل بن عبد الله الأصبهاني وإسماعيل بن عبد الله الأصبهاني
",000,False,000,False,False,False,2,51
"### || أحمد بن يونس أحمد بن يونس
",000,False,000,False,False,False,2,91
"### || أحمد بن المعلى وأحمد بن المعلى
",000,False,000,False,False,False,2,52
"### || أحمد بن محمد بن إبراهيم الأصبهاني وأحمد بن محمد بن إبراهيم الأصبهاني
",000,False,000,False,False,False,2,77
"### || أحمد بن سعيد إثنان
",000,False,000,False,False,False,2,33
"### || أحمد بن منصور إثنان
",000,False,000,False,False,False,2,42
"### || أحمد بن محمد بن زياد وأحمد بن محمد بن زياد
",000,False,000,False,False,False,2,68
"### || أبو الطاهر أحمد بن عمرو بن السرح اثنان
",000,False,000,False,False,False,2,37
"### || إسحاق بن منصور وإسحاق بن منصور
",000,False,000,False,False,False,2,47
"### || آدم بن علي وآدم بن علي
",000,False,000,False,False,False,2,35
"### || إبراهيم بن سويد وإبراهيم بن سويد
",000,False,000,False,False,False,2,28
"### || إبراهيم بن عقيل وإبراهيم بن عقيل
",000,False,000,False,False,False,2,30
"### || إبراهيم بن المهاجر وإبراهيم بن المهاجر
",000,False,000,False,False,False,2,42
"### || إبراهيم بن يزيد سبعة
",000,False,000,False,False,False,2,56
"### || إبراهيم بن مسلم أربعة
",000,False,000,False,False,False,2,32
"### || إبراهيم بن نافع ثلاثة
",000,False,000,False,False,False,2,36
"### || إبراهيم بن زياد أبو إسحاق إثنان
",000,False,000,False,False,False,2,43
"### || إبراهيم عن إبراهيم عن إبراهيم
",000,False,000,False,False,False,2,66
"### || إسحاق بن يزيد وإسحاق بن يزيد
",000,False,000,False,False,False,2,31
"### || أحمد بن سنان وأحمد بن سيار
",000,False,000,False,False,False,2,35
"### || أحمد بن جعفر بن حمدان إثنان
",000,False,000,False,False,False,2,62
"### || ومن الكنى
",000,False,000,False,False,False,2,277
"### ||| أبو الأصبغ عبد العزيز ثلاثة
",000,False,000,False,False,False,3,54
"### ||| أبو إسحاق الذي يروى الثوري وشعبة جميعا عنه عن عبد الله بن أبي أوفى أربعة
",000,False,000,False,False,False,3,157
"### ||| زاد المظفر بن إبراهيم البغوي إبراهيم بن بشار إثنان
",000,False,000,False,False,False,3,29
"### ||| أبو إسحاق إبراهيم بن ميمون إثنان
",000,False,000,False,False,False,3,39
"### | - باب الباء
",000,False,000,False,False,False,1,372
"### || بيان بن بشر إثنان
",000,False,000,False,False,False,2,44
"### || بكير بن شهاب إثنان
",000,False,000,False,False,False,2,26
"### || بشر بن منصور إثنان
",000,False,000,False,False,False,2,55
"### || ومن الكنى
",000,False,000,False,False,False,2,249
"### ||| أبو بردة الأشعري ثلاثة
",000,False,000,False,False,False,3,72
"### ||| شعبة عن أبي بشر
",000,False,000,False,False,False,3,52
"### ||| بريد بن أبي مريم ويزيد بن أبي مريم
",000,False,000,False,False,False,3,61
"### ||| بحر بن نصر ويحيى بن نصر
",000,False,000,False,False,False,3,66
"### | - باب التاء
",000,False,000,False,False,False,1,70
"### || تميم بن عبد الرحمن إثنان
",000,False,000,False,False,False,2,28
"### || تميم بن حذلم وتميم بن حذيم
",000,False,000,False,False,False,2,42
"### | - باب الثاء
",000,False,000,False,False,False,1,131
"### || ثابت بن قيس أربعة
",000,False,000,False,False,False,2,54
"### || ثابت بن سعيد ثلاثة
",000,False,000,False,False,False,2,32
"### || ثابت بن يزيد ثلاثة
",000,False,000,False,False,False,2,46
"### | - باب الجيم
",000,False,000,False,False,False,1,242
"### || جابر ابن يزيد خمسة
",000,False,000,False,False,False,2,121
"### || جابر ابن عبد الله ثلاثة
",000,False,000,False,False,False,2,46
"### || جعفر ابن سليمان إثنان
",000,False,000,False,False,False,2,21
"### || ومن الكنى
",000,False,000,False,False,False,2,56
"### ||| الحكم بن عتيبة عن أبي جعفر عن أبيه إثنان
",000,False,000,False,False,False,3,55
"### | - باب الحاء
",000,False,000,False,False,False,1,697
"### || الحسن بن الحكم خمسة
",000,False,000,False,False,False,2,125
"### || حميد الأعرج إثنان
",000,False,000,False,False,False,2,108
