string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1- 
",000,False,000,False,False,False,1,36
"### | 2- 
",000,False,000,False,False,False,1,27
"### | 3- 
",000,False,000,False,False,False,1,36
"### | 4- 
",000,False,000,False,False,False,1,41
"### | 5- 
",000,False,000,False,False,False,1,68
"### | 6- 
",000,False,000,False,False,False,1,69
"### | 7- 
",000,False,000,False,False,False,1,39
"### | 8- 
",000,False,000,False,False,False,1,18
"### | [ص: 127]
",000,False,000,False,False,False,1,27
"### | 9- 
",000,False,000,False,False,False,1,135
"### | [ص: 128]
",000,False,000,False,False,False,1,148
"### | [ص: 129]
",000,False,000,False,False,False,1,86
"### | 10- 
",000,False,000,False,False,False,1,55
"### | [ص: 130]
",000,False,000,False,False,False,1,57
"### | 11- 
",000,False,000,False,False,False,1,36
"### | [ص: 131]
",000,False,000,False,False,False,1,27
"### | 12- 
",000,False,000,False,False,False,1,157
"### | [ص: 132]
",000,False,000,False,False,False,1,192
"### | [ص: 133]
",000,False,000,False,False,False,1,13
"### | 13- 
",000,False,000,False,False,False,1,35
"### | 14- 
",000,False,000,False,False,False,1,22
"### | [ص: 134]
",000,False,000,False,False,False,1,23
"### | 15- 
",000,False,000,False,False,False,1,35
"### | 16- 
",000,False,000,False,False,False,1,21
"### | 17- 
",000,False,000,False,False,False,1,17
"### | [ص: 135]
",000,False,000,False,False,False,1,22
"### | 18- 
",000,False,000,False,False,False,1,98
"### | 19- 
",000,False,000,False,False,False,1,25
"### | [ص: 136]
",000,False,000,False,False,False,1,45
"### | 20- 
",000,False,000,False,False,False,1,76
"### | [ص: 137]
",000,False,000,False,False,False,1,27
"### | 21- 
",000,False,000,False,False,False,1,74
"### | 22- 
",000,False,000,False,False,False,1,33
"### | 23- 
",000,False,000,False,False,False,1,30
"### | 24- 
",000,False,000,False,False,False,1,42
"### | 25- 
",000,False,000,False,False,False,1,61
"### | [ص: 139]
",000,False,000,False,False,False,1,28
"### | 26- 
",000,False,000,False,False,False,1,27
"### | 27- 
",000,False,000,False,False,False,1,30
"### | 28- 
",000,False,000,False,False,False,1,19
"### | [ص: 140]
",000,False,000,False,False,False,1,29
"### | 29- 
",000,False,000,False,False,False,1,23
"### | 30- 
",000,False,000,False,False,False,1,56
"### | 31- 
",000,False,000,False,False,False,1,33
"### | [ص: 141]
",000,False,000,False,False,False,1,30
"### | 32- 
",000,False,000,False,False,False,1,36
"### | 33- 
",000,False,000,False,False,False,1,51
"### | [ص: 142]
",000,False,000,False,False,False,1,24
"### | 34- 
",000,False,000,False,False,False,1,76
"### | [ص: 143]
",000,False,000,False,False,False,1,60
"### | 35- 
",000,False,000,False,False,False,1,48
"### | 36- 
",000,False,000,False,False,False,1,39
"### | [ص: 144]
",000,False,000,False,False,False,1,15
"### | 37- 
",000,False,000,False,False,False,1,32
"### | 38- 
",000,False,000,False,False,False,1,31
"### | 39- 
",000,False,000,False,False,False,1,14
"### | [ص: 145]
",000,False,000,False,False,False,1,18
"### | 40- 
",000,False,000,False,False,False,1,35
"### | 41- 
",000,False,000,False,False,False,1,45
"### | 42- 
",000,False,000,False,False,False,1,19
"### | 43- 
",000,False,000,False,False,False,1,20
"### | 44- 
",000,False,000,False,False,False,1,57
"### | [ص: 147]
",000,False,000,False,False,False,1,46
"### | 45- 
",000,False,000,False,False,False,1,47
"### | 46- 
",000,False,000,False,False,False,1,13
"### | 47- 
",000,False,000,False,False,False,1,21
"### | 48- 
",000,False,000,False,False,False,1,57
"### | 49- 
",000,False,000,False,False,False,1,22
"### | 50- 
",000,False,000,False,False,False,1,15
"### | 51- 
",000,False,000,False,False,False,1,19
"### | 52- 
",000,False,000,False,False,False,1,20
"### | 53- 
",000,False,000,False,False,False,1,26
"### | 54- 
",000,False,000,False,False,False,1,37
"### | 55- 
",000,False,000,False,False,False,1,27
"### | [ص: 150]
",000,False,000,False,False,False,1,74
"### | 56- 
",000,False,000,False,False,False,1,57
"### | 57- 
",000,False,000,False,False,False,1,64
"### | 58- 
",000,False,000,False,False,False,1,38
"### | 59- 
",000,False,000,False,False,False,1,27
"### | [ص: 152]
",000,False,000,False,False,False,1,14
"### | 60- 
",000,False,000,False,False,False,1,41
"### | 61- 
",000,False,000,False,False,False,1,37
"### | 62- 
",000,False,000,False,False,False,1,17
