string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,81
"### | : «كان النبي صلى الله عليه وسلم، إذا فاتته الأربع من قبل الظهر صلاهن بعد الظهر بعد الركعتين 
",000,False,000,False,False,False,1,19
"### | 2 - 
",000,False,000,False,False,False,1,55
"### | : «نضر الله عبدا سمع مقالتي فوعاها وحفظها وبلغها إلى من هو أوعى منه، فرب رجل يحمل علما إلى 
",000,False,000,False,False,False,1,37
"### | 3 - 
",000,False,000,False,False,False,1,56
"### | : «ما من ساعة تمر بابن آدم لا يذكر الله فيها إلا حسر عندها يوم القيامة»
",000,False,000,False,False,False,1,15
"### | 4 - 
",000,False,000,False,False,False,1,19
"### | : "" ما من نفس إلا تلوم نفسها يوم القيامة إن كانت محسنة ودت لو أنها أفادت إيمانا، وإن كانت 
",000,False,000,False,False,False,1,32
"### | 5 - 
",000,False,000,False,False,False,1,46
"### | : «أنزلت صحف إبراهيم أول ليلة من رمضان، وأنزلت التوراة لست مضين من رمضان، وأنزل الإنجيل 
",000,False,000,False,False,False,1,34
"### | 6 - 
",000,False,000,False,False,False,1,49
"### | : «لا يزال صيام العبد معلقا بين السماء والأرض حتى يؤدي زكاة فطره»
",000,False,000,False,False,False,1,12
"### | 7 - 
",000,False,000,False,False,False,1,156
"### | : «أفضل الصيام صيام أخي داود، وكان يصوم يوما ويفطر يوما» .
",000,False,000,False,False,False,1,139
"### | 8 - 
",000,False,000,False,False,False,1,71
"### | : "" خلقت الكعبة قبل الأرض بألفي سنة، قال: كيف قبل وهي من الأرض؟ قال: كانت حشفة أو حشوة على 
",000,year,000,False,False,False,1,412
"### | 9 - 
",000,False,000,False,False,False,1,35
"### | : "" خمر الله طينة آدم أربعين ليلة، أو أربعين يوما، ثم خلط بينها.
",000,False,000,False,False,False,1,40
"### | 10 - 
",000,False,000,False,False,False,1,35
"### | 11 - 
",000,False,000,False,False,False,1,11
"### | : أقبل إبراهيم من أرمينية ومعه السكينة تدله، ثم تبوأ البيت كما تبوأ العنكبوت بيتا، فكان 
",000,False,000,False,False,False,1,41
"### | 12 - 
",000,False,000,False,False,False,1,185
"### | 13 - 
",000,False,000,False,False,False,1,25
"### | أحرم عام الحكمين من بيت المقدس
",000,False,000,False,False,False,1,8
"### | 14 - 
",000,False,000,False,False,False,1,80
"### | : «أول من اختتن إبراهيم عليه السلام»
",000,False,000,False,False,False,1,6
"### | 15 - 
",000,False,000,False,False,False,1,41
"### | : «صلى رسول الله صلى الله عليه وسلم نحو بيت المقدس تسعة عشر شهرا ثم حولت القبلة بعد ذلك قبل 
",000,False,000,False,False,False,1,40
"### | 16 - 
",000,False,000,False,False,False,1,48
"### | 17 - 
",000,False,000,False,False,False,1,59
"### | 18 - 
",000,False,000,False,False,False,1,75
"### | 19 - 
",000,False,000,False,False,False,1,47
"### | : «عسقلان أحد العروسين يحشر الله منها سبعين ألفا لا حساب عليهم» .
",000,False,000,False,False,False,1,65
"### | 20 - 
",000,False,000,False,False,False,1,39
"### | : «خلق الله آدم من تراب الجابية وعجنه بماء الجنة»
",000,False,000,False,False,False,1,9
"### | 21 - 
",000,False,000,False,False,False,1,147
"### | 22 - 
",000,False,000,False,False,False,1,38
"### | 23 - 
",000,False,000,False,False,False,1,15
"### | 24 - 
",000,False,000,False,False,False,1,38
"### | 25 - 
",000,False,000,False,False,False,1,34
"### | 26 - 
",000,False,000,False,False,False,1,26
"### | 27 - 
",000,False,000,False,False,False,1,96
"### | 28 - 
",000,False,000,False,False,False,1,90
"### | : «يا عباس» ، قال: لبيك يا رسول الله، قال: "" إن الله، يعني: فتح بي هذا الأمر وسيختمه بغلام من 
",000,False,000,False,False,False,1,31
"### | 29 - 
",000,False,000,False,False,False,1,100
"### | : «إن الله عز وجل يعذب يوم القيامة الذين يعذبون الناس في الدنيا» .
",000,False,000,False,False,False,1,25
"### | 30 - 
",000,False,000,False,False,False,1,83
"### | 31 - 
",000,False,000,False,False,False,1,46
"### | : "" لا تشد الرحال إلا إلى ثلاثة مساجد: المسجد الحرام، ومسجدي هذا، والمسجد 
",000,False,000,False,False,False,1,15
"### | 32 - 
",000,False,000,False,False,False,1,63
"### | : «من أهل بحجة ms10 أو عمرة من المسجد الأقصى إلى المسجد الحرام غفر له ما تقدم من ذنبه وما تأخر أو 
",000,False,000,False,False,False,1,28
