string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,144
"### | 2 - 
",000,False,000,False,False,False,1,111
"### | 3 - 
",000,False,000,False,False,False,1,104
"### | 4 - 
",000,False,000,False,False,False,1,19
"### | ..... 
",000,False,000,False,False,False,1,74
"### | 5 - 
",000,False,000,False,False,False,1,179
"### | الحديث الأول
",000,False,000,False,False,False,1,4
"### | 6 - 
",000,False,000,False,False,False,1,161
"### | الحديث الثاني
",000,False,000,False,False,False,1,4
"### | 7 - 
",000,False,000,False,False,False,1,110
"### | الحديث الثالث
",000,False,000,False,False,False,1,4
"### | 8 - 
",000,False,000,False,False,False,1,5
"### | ....... 
",000,False,000,False,False,False,1,56
"### | الحديث الرابع
",000,False,000,False,False,False,1,4
"### | 9 - 
",000,False,000,False,False,False,1,55
"### | الحديث الخامس
",000,False,000,False,False,False,1,4
"### | 10 - 
",000,False,000,False,False,False,1,91
"### | الحديث السادس
",000,False,000,False,False,False,1,4
"### | 11 - 
",000,False,000,False,False,False,1,110
"### | الحديث السابع
",000,False,000,False,False,False,1,4
"### | 12 - 
",000,False,000,False,False,False,1,86
"### | الحديث الثامن
",000,False,000,False,False,False,1,4
"### | 13 - 
",000,False,000,False,False,False,1,75
"### | الحديث التاسع
",000,False,000,False,False,False,1,4
"### | 14 - 
",000,False,000,False,False,False,1,5
"### | ..... 
",000,False,000,False,False,False,1,50
"### | الحديث العاشر
",000,False,000,False,False,False,1,4
"### | 15 - 
",000,False,000,False,False,False,1,110
"### | الحديث الحادي عشر
",000,False,000,False,False,False,1,5
"### | 16 - 
",000,False,000,False,False,False,1,54
"### | الحديث الثاني عشر
",000,False,000,False,False,False,1,5
"### | 17 - 
",000,False,000,False,False,False,1,52
"### | الحديث الثالث عشر
",000,False,000,False,False,False,1,5
"### | 18 - 
",000,False,000,False,False,False,1,57
"### | الحديث الرابع عشر
",000,False,000,False,False,False,1,5
"### | 19 - 
",000,False,000,False,False,False,1,62
"### | الحديث الخامس عشر
",000,False,000,False,False,False,1,5
"### | 20 - 
",000,False,000,False,False,False,1,48
"### | الحديث السادس عشر
",000,False,000,False,False,False,1,5
"### | 21 - 
",000,False,000,False,False,False,1,54
"### | الحديث السابع عشر
",000,False,000,False,False,False,1,5
"### | 22 - 
",000,False,000,False,False,False,1,55
"### | الحديث الثامن عشر
",000,False,000,False,False,False,1,5
"### | 23 - 
",000,False,000,False,False,False,1,44
"### | الحديث التاسع ms08 عشر
",000,False,000,False,False,False,1,5
"### | 24 - 
",000,False,000,False,False,False,1,90
"### | الحديث العشرون
",000,False,000,False,False,False,1,4
"### | 25 - 
",000,False,000,False,False,False,1,82
"### | الحديث الحادي والعشرون
",000,False,000,False,False,False,1,5
"### | 26 - 
",000,False,000,False,False,False,1,72
"### | الحديث الثاني والعشرون
",000,False,000,False,False,False,1,5
"### | 27 - 
",000,False,000,False,False,False,1,59
"### | الحديث الثالث والعشرون
",000,False,000,False,False,False,1,5
"### | 28 - 
",000,False,000,False,False,False,1,57
"### | الحديث الرابع والعشرون
",000,False,000,False,False,False,1,5
"### | 29 - 
",000,False,000,False,False,False,1,58
"### | الحديث الخامس والعشرون
",000,False,000,False,False,False,1,5
"### | 30 - 
",000,False,000,False,False,False,1,43
"### | الحديث السادس والعشرون
",000,False,000,False,False,False,1,5
"### | 31 - 
",000,False,000,False,False,False,1,46
"### | الحديث السابع والعشرون
",000,False,000,False,False,False,1,5
"### | 32 - 
",000,False,000,False,False,False,1,45
"### | الحديث الثامن والعشرون
",000,False,000,False,False,False,1,5
"### | 33 - 
",000,False,000,False,False,False,1,55
"### | الحديث التاسع والعشرون
",000,False,000,False,False,False,1,5
"### | 34 - 
",000,False,000,False,False,False,1,53
"### | الحديث الثلاثون
",000,False,000,False,False,False,1,4
"### | 35 - 
",000,False,000,False,False,False,1,56
"### | الحديث الحادي والثلاثون
",000,False,000,False,False,False,1,5
"### | 36 - 
",000,False,000,False,False,False,1,54
"### | الحديث الثاني والثلاثون
",000,False,000,False,False,False,1,61
"### | الحديث الثالث والثلاثون
",000,False,000,False,False,False,1,65
"### | الحديث الرابع والثلاثون
",000,False,000,False,False,False,1,75
"### | الحديث الخامس والثلاثون
",000,False,000,False,False,False,1,62
"### | الحديث السادس والثلاثون
",000,False,000,False,False,False,1,69
"### | الحديث السابع والثلاثون
",000,False,000,False,False,False,1,54
"### | الحديث الثامن والثلاثون
",000,False,000,False,False,False,1,73
"### | الحديث التاسع والثلاثون
",000,False,000,False,False,False,1,69
"### | الحديث الأربعون
",000,False,000,False,False,False,1,192
