string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1- 
",000,False,000,False,False,False,1,117
"### | [ص: 44]
",000,False,000,False,False,False,1,33
"### | 2- 
",000,False,000,False,False,False,1,27
"### | [ص: 45]
",000,False,000,False,False,False,1,75
"### | 3- 
",000,False,000,False,False,False,1,36
"### | [ص: 46]
",000,False,000,False,False,False,1,18
"### | [ص: 47]
",000,False,000,False,False,False,1,17
"### | 4- 
",000,False,000,False,False,False,1,56
"### | [ص: 48]
",000,False,000,False,False,False,1,16
"### | 5- 
",000,False,000,False,False,False,1,60
"### | [ص: 49]
",000,False,000,False,False,False,1,27
"### | 6- 
",000,False,000,False,False,False,1,66
"### | [ص: 50]
",000,False,000,False,False,False,1,16
"### | 7- 
",000,False,000,False,False,False,1,131
"### | 8- 
",000,False,000,False,False,False,1,47
"### | 9- 
",000,False,000,False,False,False,1,52
"### | [ص: 52]
",000,False,000,False,False,False,1,36
"### | 10- 
",000,False,000,False,False,False,1,83
"### | [ص: 53]
",000,False,000,False,False,False,1,12
"### | 11- 
",000,False,000,False,False,False,1,88
"### | 12- 
",000,False,000,False,False,False,1,32
"### | [ص: 55]
",000,False,000,False,False,False,1,63
"### | [ص: 56]
",000,False,000,False,False,False,1,17
"### | 13- 
",000,False,000,False,False,False,1,63
"### | [ص: 57]
",000,False,000,False,False,False,1,21
"### | 14- 
",000,False,000,False,False,False,1,77
"### | [ص: 58]
",000,False,000,False,False,False,1,15
"### | 15- 
",000,False,000,False,False,False,1,46
"### | 16- 
",000,False,000,False,False,False,1,76
"### | [ص: 59]
",000,False,000,False,False,False,1,23
"### | 17- 
",000,False,000,False,False,False,1,60
"### | [ص: 61]
",000,False,000,False,False,False,1,34
"### | 18- 
",000,False,000,False,False,False,1,53
"### | [ص: 62]
",000,False,000,False,False,False,1,76
"### | [ص: 63]
",000,False,000,False,False,False,1,100
"### | [ص: 64]
",000,False,000,False,False,False,1,33
"### | 19- 
",000,False,000,False,False,False,1,74
"### | [ص: 65]
",000,False,000,False,False,False,1,45
"### | 20- 
",000,False,000,False,False,False,1,37
"### | [ص: 66]
",000,False,000,False,False,False,1,71
"### | 21- 
",000,False,000,False,False,False,1,48
"### | [ص: 67]
",000,False,000,False,False,False,1,20
"### | 22- 
",000,False,000,False,False,False,1,93
"### | [ص: 68]
",000,False,000,False,False,False,1,86
"### | [ص: 69]
",000,False,000,False,False,False,1,27
"### | 23- 
",000,False,000,False,False,False,1,104
"### | 24- 
",000,False,000,False,False,False,1,44
"### | [ص: 70]
",000,False,000,False,False,False,1,78
"### | 25- 
",000,False,000,False,False,False,1,35
"### | [ص: 71]
",000,False,000,False,False,False,1,65
"### | 26- 
",000,False,000,False,False,False,1,48
