string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | المدخل
",000,False,000,False,False,False,1,20696
"### || المقالة الأولى من الفن الأول من الجملة الأولى وهي في علم المنطق
",000,False,000,False,False,False,2,9191
"### ||| الفصل الأول في الإشارة إلى ما يشتمل عليه الكتاب
",000,False,000,False,False,False,3,525
"### ||| الفصل الثاني في التنبيه على العلوم والمنطق
",000,False,000,False,False,False,3,902
"### ||| الفصل الثالث فصل في منفعة المنطق
",000,False,000,False,False,False,3,896
"### ||| الفصل الرابع فصل في موضوع المنطق
",000,False,000,False,False,False,3,693
"### ||| الفصل الخامس في تعريف اللفظ المفرد والمؤلف وتعريف الكلي والجزئي، والذاتي والعرضي، والذي يقال في جواب ما هو والذى لا يقال ms0011 
",000,False,000,False,False,False,3,1791
"### ||| الفصل السادس في تعقب ما قاله الناس في الذاتي والعرضي 
",000,False,000,False,False,False,3,865
"### ||| الفصل السابع في تعقب ما قاله الناس في الدال على الماهية
",000,False,000,False,False,False,3,907
"### ||| الفصل الثامن في قسمة اللفظ المفرد الكلى إلى أقسامه الخمسة
",000,False,000,False,False,False,3,1158
"### ||| الفصل التاسع في الجنس
",000,False,000,False,False,False,3,1490
"### || المقالة الثانية من الفن الثاني
",000,False,000,False,False,False,2,6984
"### ||| الفصل الأول فصل (1) في حال مناسبة الأجناس وفصولها المقسمة والمقومة، وتفهيم هذه الأجناس العشرة العالية، وحال قسمة الموجود إليها، وابتداء القول فى أنها عشرة لا تدخل تحت جنس ولا يدخل بعصها فى بعض ولا جنس خارج عنها.
",000,False,000,False,False,False,3,1697
"### ||| الفصل الثاني فصل (ب) في أن العرض ليس بجنس للتسعة وتعقب ما قيل في ذلك
",000,False,000,False,False,False,3,399
"### ||| فصل في الطبيعي والعقلي والمنطقي وما قبل الكثرة وفي الكثرة وبعد الكثرة من هذه المعانى الخمسة
",000,False,000,False,False,False,3,255
"### ||| الفصل الثالث فصل (ج) في تعقب أقوال من أوجب فيها نقصانا أو مداخلة
",000,False,000,False,False,False,3,3586
"### |||| الفصل الثالث عشر ( يج ) فصل في الفصل
",000,False,000,False,False,False,4,2285
"### ||| الفصل الرابع عشر (يد) في الخاصة والعرض العام 
",000,False,000,False,False,False,3,1052
"### || المقالة الثالثة من الفن الأول من الجملة الأولى
",000,False,000,False,False,False,2,4532
"### ||| الفصل الأول في المشاركات والمباينات بين هذه الخمسة وأولها بعد العامة ما بين الجنس والفصل 
",000,False,000,False,False,False,3,1527
"### ||| الفصل الثاني (ب) فصل في المشاركة والمباينة بين الجنس والنوع
",000,False,000,False,False,False,3,1007
"### ||| الفصل الثالث (ج) فصل في المشاركات والمباينات الباقية
",000,False,000,False,False,False,3,1300
"### ||| الفصل الرابع ms0073 (د) فصل في مناسبة بعض هذه الخمسة مع بعض
",000,False,000,False,False,False,3,722
"### | المقولات
",000,False,000,False,False,False,1,56657
"### || المقالة الأولى من الفن الثاني من الجملة الأولى
",000,False,000,False,False,False,2,11048
"### ||| الفصل الأول فصل (أ) في غرض المقولات
",000,False,000,False,False,False,3,1175
"### ||| الفصل الثاني فصل (ب) في الألفاظ المتفقة والمتواطئة والمتباينة والمشتقة وما يجرى مجراها
",000,False,000,False,False,False,3,1934
"### ||| الفصل الثالث فصل ( ج ) في بيان ما يقال على موضوع أو لا يقال ويوجد في موضوع ms0087 أو لا يوجد
",000,False,000,False,False,False,3,2452
"### ||| الفصل الرابع فصل ( د ) في شرح حد العرض وهو أنه موجود في موضوع
",000,False,000,False,False,False,3,2364
"### ||| الفصل الخامس فصل (ه) في مزاجات تقع بين "" قول على "" و "" وجود في "" وأنها إلى أى شئ تتأدى 
",000,False,000,False,False,False,3,1683
"### ||| الفصل السادس فصل (و) كون الشيء عرضا ووجها في إفساد قول من قال: إن شيئا واحدا يكون عرضا وجوهرا من وجهين
",000,False,000,False,False,False,3,1450
"### || المقالة الثانية من الفن الثانى من الجملة الأولى
",000,False,000,False,False,False,2,7673
"### ||| الفصل العاشر (ى) فصل في النوع ووجه انقسام الكلي إليه 
",000,False,000,False,False,False,3,1109
"### ||| الفصل الحادى عشر (يا) فصل في تعقب رسوم النوع
",000,False,000,False,False,False,3,2348
"### ||| الفصل الرابع فصل (د) في ذكر أمور أوهمت أنها إما عامة أو خارجة في ذكر أمور أوهمت أنها إما عامة لشئ من العشرة عموم الجنس أو خارجة عن العشرة وتتميم القول فى ذلك 
",000,False,000,False,False,False,3,2699
"### ||| الفصل الخامس فصل (ه) في تعريف حال عدد المقولات
",000,False,000,False,False,False,3,1480
"### || المقالة الثالثة من الفن الثانى من الجملة الأولى من كتاب الشفاء وهي أربعة فصول
",000,False,000,False,False,False,2,7329
"### ||| الفصل الأول فصل (أ) في الجواهر الأول والثانية والثالثة وبالجملة حال مراتب الجواهر الكلية والجزئية فى الجوهرية
",000,False,000,False,False,False,3,938
"### ||| الفصل الثانى فصل (ب) فى الجوهر الأول والثاني والثالث
",000,False,000,False,False,False,3,1521
"### ||| الفصل الثالث فصل (ج ) فى رسوم الجوهر وخواصه
",000,False,000,False,False,False,3,1995
"### ||| الفصل الرابع فصل (د) في ابتداء القول فى الكمية
",000,False,000,False,False,False,3,2882
"### || المقالة الرابعة من الفن الثاني من ms0172 الجملة الأولى من كتاب الشفاء
",000,False,000,False,False,False,2,8595
"### ||| الفصل الأول فصل (أ) فى بيان القسمة الأخرى للكم وبيان الكم بالعرض
",000,False,000,False,False,False,3,1643
"### ||| الفصل الثاني فصل (ب) في خواص الكم
",000,False,000,False,False,False,3,1983
"### ||| الفصل الثالث فصل (ج) فى ابتداء الكلام فى المضاف وتعريف الحد الاقدم له وشرح ذلك الحد والإشارة المجملة إلى أقسام المضاف 
",000,False,000,False,False,False,3,1685
"### ||| الفصل الرابع فصل (د) فى خواص المضاف 
",000,False,000,False,False,False,3,1175
"### ||| الفصل الخامس فصل فى تحقيق المضاف الذى هو المقولة والفرق بين ما هو مضاف بالذات وما هو عارض له الإضافة أو لازم ms0196 وخواص المضاف الذى هو المقولة 
",000,False,000,False,False,False,3,2117
"### || المقالة الخامسة من الفن الثانى من الجملة الأولى من كتاب الشفاء فى المنطق فى الكيفية
",000,False,000,False,False,False,2,7485
