string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الباب الأول من القسم الثاني
",000,False,000,False,False,False,1,17
"### | غرر التحاميد
",000,False,000,False,False,False,1,114
"### | ذكر الله تعالى وجميل صنعه وحسن عاداته
",000,False,000,False,False,False,1,76
"### | الصلاة على محمد
",000,False,000,False,False,False,1,77
"### | ذكر الآل
",000,False,000,False,False,False,1,50
"### | ذكر القرآن
",000,False,000,False,False,False,1,64
"### | ذكر الخليفة
",000,False,000,False,False,False,1,61
"### | ذكر السلطان
",000,False,000,False,False,False,1,82
"### | محاسن أوصاف الملوك وممادحهم
",000,False,000,False,False,False,1,212
"### | ذكر الحضرة
",000,False,000,False,False,False,1,73
"### | حسن آثار الوزراء وأولياء الدولة
",000,False,000,False,False,False,1,65
"### | ذكر البطر وكفران النعمة
",000,False,000,False,False,False,1,44
"### | ذكر العصاة والمخالفين
",000,False,000,False,False,False,1,133
"### | التعرض للهلاك واستجلاب سوء العاقبة
",000,False,000,False,False,False,1,80
"### | الظلم والظلمة وسوء آثارهم
",000,False,000,False,False,False,1,90
"### | التعدي وثقل الوطآة
",000,False,000,False,False,False,1,57
"### | الهرج والفتنة
",000,False,000,False,False,False,1,87
"### | الإبراق والإرعاد
",000,False,000,False,False,False,1,67
"### | أحشاد العدو
",000,False,000,False,False,False,1,54
"### | استهانة الأعداء والاستحقار بهم
",000,False,000,False,False,False,1,56
"### | فيمن يسعى بقدمه إلى مراق دمه
",000,False,000,False,False,False,1,64
"### | انخذال الأعداء واستيلاء الرعب عليهم
",000,False,000,False,False,False,1,77
"### | مسير الملك في جنوده والتفاؤل له
",000,False,000,False,False,False,1,99
"### | وصف الجيش بالكثرة والشولة
",000,False,000,False,False,False,1,59
"### | وصف الأبطال وأبناء الحروب
",000,False,000,False,False,False,1,97
"### | تعبئة الجيوش وحسن ترتيبها
",000,False,000,False,False,False,1,66
"### | اشتداد الحرب وحمي وطيسها
",000,False,000,False,False,False,1,79
"### | تلاقي الجيش وكشف الحرب ساقها
",000,False,000,False,False,False,1,56
"### | أعمال الأسلحة
",000,False,000,False,False,False,1,62
"### | شدة النكاية في الأعداء
",000,False,000,False,False,False,1,63
"### | هبوب رياح النصر
",000,False,000,False,False,False,1,71
"### | انجلاء المعركة عن القتلى والأسرى والهزمى
",000,False,000,False,False,False,1,104
"### | طيران المنهزمين بأجنحة وسوء حالهم
",000,False,000,False,False,False,1,91
"### | ركوب الأولياء أكتاف المنهزمين
",000,False,000,False,False,False,1,58
"### | ذكر الغنائم
",000,False,000,False,False,False,1,45
"### | جلالة شأن الفتح وعظم موقعه وحسن إنشاده
",000,False,000,False,False,False,1,147
"### | حسن حال البلدة المفتوحة والتخفيف عن رعيتها
",000,False,000,False,False,False,1,74
"### | الأدعية السلطانية عند الفتوح وغيرها
",000,False,000,False,False,False,1,113
"### | استقرار الدار بالسلطان
",000,False,000,False,False,False,1,74
"### | الباب الثاني
",000,False,000,False,False,False,1,80
"### | حسن المخالطة
",000,False,000,False,False,False,1,86
"### | التودد والإفصاح عن صدق المحبة
",000,False,000,False,False,False,1,140
"### | التفدية
",000,False,000,False,False,False,1,30
"### | ذكر العهد والعمدة والعدة
",000,False,000,False,False,False,1,65
"### | المناسبة بالعلم والأدب والمذاهب
",000,False,000,False,False,False,1,43
"### | تقارب الضمائر والاستشهاد بالقلوب
",000,False,000,False,False,False,1,61
"### | وصف ms012 الشوق والحنين
",000,False,000,False,False,False,1,114
"### | سوء أثر الفراق والاشتياق
",000,False,000,False,False,False,1,83
"### | ذكر الوداع
",000,False,000,False,False,False,1,36
"### | ذكر أيام اللقاء ووصفها
",000,False,000,False,False,False,1,60
"### | الدعاء بتيسير اللقاء
",000,False,000,False,False,False,1,50
"### | الجواب عن وصف الشوق
",000,False,000,False,False,False,1,58
"### | إهداء السلام
",000,False,000,False,False,False,1,69
"### | حسن الخط
",000,False,000,False,False,False,1,89
"### | وصف النثر
",000,False,000,False,False,False,1,108
"### | وصف البلغاء
",000,False,000,False,False,False,1,88
"### | وصف النظم والنثر معا
",000,False,000,False,False,False,1,65
"### | وصف الشعر
",000,False,000,False,False,False,1,61
"### | وصف الشعراء
",000,False,000,False,False,False,1,67
"### | وصف الكتب الغريبة البليغة وحسن مواقعها
",000,False,000,False,False,False,1,140
"### | ألفاظ العيادة
",000,False,000,False,False,False,1,136
"### | أدعية العيادة
",000,False,000,False,False,False,1,45
"### | ذكر الإقبال وحمد الله عليه والدعاء عنده
",000,False,000,False,False,False,1,58
"### | الجواب عن العيادة
",000,False,000,False,False,False,1,72
"### | ألفاظ المعاتبات
",000,False,000,False,False,False,1,155
"### | العتاب على قطع الكتاب
",000,False,000,False,False,False,1,76
"### | تحريش القول عند العتاب
",000,False,000,False,False,False,1,74
"### | وصف العتاب عند الجواب عنه
",000,False,000,False,False,False,1,66
"### | الاعتذار والاستصفاح
",000,False,000,False,False,False,1,102
"### | الباب الثالث
",000,False,000,False,False,False,1,13
"### | ألفاظ التهنئة بالمولود
",000,False,000,False,False,False,1,83
"### | ما يختص بهناء الملوك
",000,False,000,False,False,False,1,78
"### | الأدعية للمولود والولاد في هذه التهنئة
",000,False,000,False,False,False,1,100
"### | أدعية التهنئة بالملاك
",000,False,000,False,False,False,1,104
"### | ألفاظ التهاني بالولايات والأعمال
",000,False,000,False,False,False,1,127
"### | التهنئة بالخلع والأحبية ووصفها
",000,False,000,False,False,False,1,93
"### | التهنئة بإقبال شهر رمضان
",000,False,000,False,False,False,1,93
"### | التهنئة بالعيدين
",000,False,000,False,False,False,1,90
"### | التهنئة بالنيروز وفصل الربيع
",000,False,000,False,False,False,1,92
"### | التهنئة بالمهرجان
",000,False,000,False,False,False,1,45
"### | إقامة رسم الهدية في النوروز والمهرجان
",000,False,000,False,False,False,1,106
"### | ذكر وصول الهدية
",000,False,000,False,False,False,1,43
"### | الباب الرابع
",000,False,000,False,False,False,1,64
"### | النكاية عند موت الرؤساء والأعزة
",000,False,000,False,False,False,1,64
