string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 371 - 444 
",000,False,000,False,False,False,1,21
"### | كتاب فيه الرسالة الوافية لمذهب أهل السنة في الاعتقادات وأصول الديانات
",000,year,000,False,False,False,1,35
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,14
"### | 1- 
",000,False,000,False,False,False,1,142
"### | فصل: (أول واجب على المكلف)
",000,False,000,False,False,False,1,10
"### | 2- 
",000,False,000,False,False,False,1,147
"### | 3- 
",000,False,000,False,False,False,1,58
"### | 4- 
",000,False,000,False,False,False,1,101
"### | 5- 
",000,False,000,False,False,False,1,201
"### | 6- 
",000,False,000,False,False,False,1,34
"### | 7- 
",000,False,000,False,False,False,1,64
"### | 8- 
",000,False,000,False,False,False,1,48
"### | فصل (في ذكر بعض الصفات لله)
",000,False,000,False,False,False,1,12
"### | 9- 
",000,False,000,False,False,False,1,125
"### | فصل: (في الاسم والمسمى)
",000,False,000,False,False,False,1,6
"### | 10- 
",000,False,000,False,False,False,1,47
"### | 11- 
",000,False,000,False,False,False,1,106
"### | فصل: (في استواء الله على عرشه وعلوه على خلقه)
",000,False,000,False,False,False,1,18
"### | 12- 
",000,False,000,False,False,False,1,57
"### | 13- 
",000,False,000,False,False,False,1,115
"### | 14- 
",000,False,000,False,False,False,1,60
"### | 15- 
",000,False,000,False,False,False,1,104
"### | 16- 
",000,False,000,False,False,False,1,59
"### | فصل: (في نزوله سبحانه إلى السماء الدنيا)
",000,False,000,False,False,False,1,14
"### | 17- 
",000,False,000,False,False,False,1,67
"### | 18- 
",000,False,000,False,False,False,1,50
"### | 19- 
",000,False,000,False,False,False,1,101
"### | فصل: (في العرض والكرسي)
",000,False,000,False,False,False,1,8
"### | 20- 
",000,False,000,False,False,False,1,71
"### | 21- 
",000,False,000,False,False,False,1,39
"### | 22- 
",000,False,000,False,False,False,1,40
"### | 23- 
",000,False,000,False,False,False,1,67
"### | فصل: (في اللوح والقلم)
",000,False,000,False,False,False,1,8
"### | 24- 
",000,False,000,False,False,False,1,61
"### | 25- 
",000,False,000,False,False,False,1,35
"### | فصل: (في الملائكة)
",000,False,000,False,False,False,1,6
"### | 26- 
",000,False,000,False,False,False,1,46
"### | 27- 
",000,False,000,False,False,False,1,41
"### | 28- 
",000,False,000,False,False,False,1,22
"### | فصل: (في ملك الموت)
",000,False,000,False,False,False,1,8
"### | 29- 
",000,False,000,False,False,False,1,67
"### | فصل: (في القدر)
",000,False,000,False,False,False,1,6
"### | 30- 
",000,False,000,False,False,False,1,81
"### | 31- 
",000,False,000,False,False,False,1,106
"### | 32- 
",000,False,000,False,False,False,1,131
"### | 33- 
",000,False,000,False,False,False,1,118
"### | 34- 
",000,False,000,False,False,False,1,44
"### | 35- 
",000,False,000,False,False,False,1,50
"### | 36- 
",000,False,000,False,False,False,1,87
"### | 37- 
",000,False,000,False,False,False,1,45
"### | فصل: (في خلق أفعال العباد وتقدير الأرزاق والآجال)
",000,False,000,False,False,False,1,16
"### | 38- 
",000,False,000,False,False,False,1,116
"### | فصل: (في إثبات صفة الكلام لله)
",000,False,000,False,False,False,1,12
"### | 39- 
",000,False,000,False,False,False,1,54
"### | 40- 
",000,False,000,False,False,False,1,82
"### | فصل: (في أن القرآن كلام الله غير مخلوق)
",000,False,000,False,False,False,1,16
"### | 41- 
",000,False,000,False,False,False,1,59
"### | 42- 
",000,False,000,False,False,False,1,50
"### | 4- 
",000,False,000,False,False,False,1,26
"### | 44- 
",000,False,000,False,False,False,1,24
"### | 45- 
",000,False,000,False,False,False,1,62
"### | 46- 
",000,False,000,False,False,False,1,52
