string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | -[سليم بن أيوب الرازي (ت 449ه)]-
",000,False,000,False,False,False,1,51
"### | [ص: 271]
",000,False,000,False,False,False,1,114
"### | 301 - 
",000,False,000,False,False,False,1,64
"### | 302 - 
",000,False,000,False,False,False,1,43
"### | 303 - 
",000,False,000,False,False,False,1,15
"### | [ص: 274]
",000,False,000,False,False,False,1,19
"### | 304 - 
",000,False,000,False,False,False,1,39
"### | 305 - 
",000,False,000,False,False,False,1,102
"### | 306 - 
",000,False,000,False,False,False,1,35
"### | 307 - 
",000,False,000,False,False,False,1,129
"### | 308 - 
",000,False,000,False,False,False,1,53
"### | 309 - 
",000,False,000,False,False,False,1,37
"### | 310 - 
",000,False,000,False,False,False,1,26
"### | 311 - 
",000,False,000,False,False,False,1,51
"### | 312 - 
",000,False,000,False,False,False,1,136
"### | 313 - 
",000,False,000,False,False,False,1,30
"### | 314 - 
",000,False,000,False,False,False,1,91
"### | 315 - 
",000,False,000,False,False,False,1,30
"### | [ص: 289]
",000,False,000,False,False,False,1,80
"### | 316 - 
",000,False,000,False,False,False,1,57
"### | 317 - 
",000,False,000,False,False,False,1,83
"### | [ص: 291]
",000,False,000,False,False,False,1,93
"### | 318 - 
",000,False,000,False,False,False,1,108
"### | 319 - 
",000,False,000,False,False,False,1,29
"### | [ص: 293]
",000,False,000,False,False,False,1,73
"### | 320 - 
",000,False,000,False,False,False,1,48
"### | 321 - 
",000,False,000,False,False,False,1,53
"### | 322 - 
",000,False,000,False,False,False,1,72
"### | 323 - 
",000,False,000,False,False,False,1,17
"### | [ص: 295]
",000,False,000,False,False,False,1,74
"### | 324 - 
",000,False,000,False,False,False,1,83
"### | 325 - 
",000,False,000,False,False,False,1,46
"### | 326 - 
",000,False,000,False,False,False,1,32
"### | 327 - 
",000,False,000,False,False,False,1,36
"### | 328 - 
",000,False,000,False,False,False,1,26
"### | 329 - 
",000,False,000,False,False,False,1,21
"### | 330 - 
",000,False,000,False,False,False,1,57
"### | 331 - 
",000,False,000,False,False,False,1,84
"### | 332 - 
",000,False,000,False,False,False,1,44
"### | 333 - 
",000,False,000,False,False,False,1,96
"### | 334 - 
",000,False,000,False,False,False,1,37
"### | 335 - 
",000,False,000,False,False,False,1,65
"### | 336 - 
",000,False,000,False,False,False,1,48
"### | 337 - 
",000,False,000,False,False,False,1,63
