string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | I
",000,False,000,False,False,False,1,2103
"### || باب في الكلام في وجوب إثباته تعالى
",000,False,000,False,False,False,2,674
"### || باب في إثبات فاعل تنتهي إليه الحوادث
",000,False,000,False,False,False,2,1107
"### | II
",000,False,000,False,False,False,1,285
"### || باب في إثباته تعالى حيا
",000,False,000,False,False,False,2,58
"### | III
",000,False,000,False,False,False,1,278
"### || باب في إثباته تعالى مريد وكاره
",000,False,000,False,False,False,2,110
"### | IV
",000,False,000,False,False,False,1,257
"### | V
",000,False,000,False,False,False,1,262
"### | VI
",000,False,000,False,False,False,1,247
"### | VII
",000,False,000,False,False,False,1,247
"### || باب في نفي الرؤية عنه تعالى
",000,False,000,False,False,False,2,78
"### | VIII
",000,False,000,False,False,False,1,1066
"### || باب في أنه تعالى لا يشبه المحدثات
",000,False,000,False,False,False,2,166
"### || باب في استحالة كونه تعالى محلا وحالا في جهة
",000,False,000,False,False,False,2,439
"### || باب في استحالة الحاجة عليه تعالى
",000,False,000,False,False,False,2,310
"### | IX
",000,False,000,False,False,False,1,281
"### | X
",000,False,000,False,False,False,1,257
"### | XI
",000,False,000,False,False,False,1,2749
"### || باب في النقل وما يتبعه
",000,False,000,False,False,False,2,845
"### || باب الكلام في الكلام
",000,False,000,False,False,False,2,1824
"### | XII
",000,False,000,False,False,False,1,3404
"### || باب في التولد
",000,False,000,False,False,False,2,235
"### || باب في الكلام على المنجمين ومن يجري مجراهم
",000,False,000,False,False,False,2,1555
"### || باب في القضاء والقدر
",000,False,000,False,False,False,2,256
"### || باب في الآجال
",000,False,000,False,False,False,2,307
"### || باب في الأرزاق والأسعار
",000,False,000,False,False,False,2,1164
