string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,69
"### | 2 - 
",000,False,000,False,False,False,1,61
"### | 3 - 
",000,False,000,False,False,False,1,71
"### | 4 - 
",000,False,000,False,False,False,1,52
"### | 5 - 
",000,False,000,False,False,False,1,1294
"### | وهذا باب في عرض رسول الله صلى الله عليه ms09 وسلم القرآن مشافهة
",000,False,000,False,False,False,1,24
"### | 6 - 
",000,False,000,False,False,False,1,67
"### | باب في عرضه عليه السلام في شهر رمضان خاصة
",000,False,000,False,False,False,1,18
"### | 7 - 
",000,False,000,False,False,False,1,69
"### | باب في عرض القرآن على النبي عليه الصلاة والسلام
",000,False,000,False,False,False,1,18
"### | 8 - 
",000,False,000,False,False,False,1,64
"### | باب فيما روي من عرض رسول الله صلى الله عليه وسلم القرآن على أبي رحمة الله عليه كل سنة إن صح الحديث
",000,year,000,False,False,False,1,44
"### | 10 - 
",000,False,000,False,False,False,1,65
"### | باب فيما صح من قراءته عليه السلام على أبي رضي الله عنه
",000,False,000,False,False,False,1,24
"### | 11 - 
",000,False,000,False,False,False,1,53
"### | باب في قراءته عليه الصلاة والسلام على عمر بن الخطاب رضي الله عنه
",000,False,000,False,False,False,1,26
"### | 12 - 
",000,False,000,False,False,False,1,112
"### | باب في قراءته عليه الصلة والسلام على ابن مسعود رضي الله عنه
",000,False,000,False,False,False,1,24
"### | 13 - 
",000,False,000,False,False,False,1,76
"### | باب في عرض ms11 معاذ رحمة الله عليه القرآن على النبي صلى الله عليه وسلم
",000,False,000,False,False,False,1,28
"### | 14 - 
",000,False,000,False,False,False,1,60
"### | باب في عرض الأكبر من الصحابة سنا وسابقة على الأصغر منهم
",000,False,000,False,False,False,1,22
"### | 15 - 
",000,False,000,False,False,False,1,54
"### | باب في قراءة الصحابة بعضهم على بعض رضي الله عنهم
",000,False,000,False,False,False,1,20
"### | 16 - 
",000,False,000,False,False,False,1,56
"### | 17 - 
",000,False,000,False,False,False,1,47
"### | باب في صفة قراءة النبي صلى الله عليه وسلم
",000,False,000,False,False,False,1,18
"### | 18 - 
",000,False,000,False,False,False,1,79
"### | 20 - 
",000,False,000,False,False,False,1,46
"### | 21 - 
",000,False,000,False,False,False,1,56
"### | باب في أمره عليه الصلاة والسلام بتزيين القرآن
",000,False,000,False,False,False,1,16
"### | 22 - 
",000,False,000,False,False,False,1,39
"### | باب في محبة الله حسن الصوت بالقرآن
",000,False,000,False,False,False,1,14
"### | 23 - 
",000,False,000,False,False,False,1,65
"### | باب في أن من يخشى الله هو أحسن الناس صوتا بالقرآن
",000,False,000,False,False,False,1,22
"### | 24 - 
",000,False,000,False,False,False,1,46
"### | باب في ذم من يريد بالقرآن ما عند الناس
",000,False,000,False,False,False,1,18
"### | 25 - 
",000,False,000,False,False,False,1,117
"### | أبواب فضائل القرآن وأهله وأحوالهم في قرآنهم
",000,False,000,False,False,False,1,14
"### | باب في فضل القرآن على غيره من الكلام
",000,False,000,False,False,False,1,16
"### | 26 - 
",000,False,000,False,False,False,1,72
"### | 27 - 
",000,False,000,False,False,False,1,49
"### | باب في أن القرآن أحب إلى الله من السموات والأرض ومن فيهن
",000,False,000,False,False,False,1,24
"### | 28 - 
",000,False,000,False,False,False,1,72
"### | باب في أن القرآن حبل الله
",000,False,000,False,False,False,1,12
"### | 29 - 
",000,False,000,False,False,False,1,38
"### | باب في أن القرآن مأدبة الله عز وجل
",000,False,000,False,False,False,1,16
"### | 30 - 
",000,False,000,False,False,False,1,99
"### | باب في أن القرآن عصمة لمن تمسك به
",000,False,000,False,False,False,1,16
"### | 31 - 
",000,False,000,False,False,False,1,96
"### | باب في أنه سبب طرفه بيد الله عز وجل
",000,False,000,False,False,False,1,18
"### | 33 - 
",000,False,000,False,False,False,1,75
"### | باب في أنه نور من الظلمة
",000,False,000,False,False,False,1,12
"### | 34 - 
",000,False,000,False,False,False,1,59
"### | باب في أنه الصراط المستقيم
",000,False,000,False,False,False,1,10
"### | 35 - 
",000,False,000,False,False,False,1,143
"### | باب في أن أهل القرآن أهل الله
",000,False,000,False,False,False,1,14
"### | 36 - 
",000,False,000,False,False,False,1,105
"### | باب في أنهم خير الأمة
",000,False,000,False,False,False,1,10
"### | 38 - 
",000,False,000,False,False,False,1,72
"### | 39 - 
",000,False,000,False,False,False,1,57
"### | 40 - 
",000,False,000,False,False,False,1,42
"### | 41 - 
",000,False,000,False,False,False,1,64
"### | 42 - 
",000,False,000,False,False,False,1,66
"### | باب في أنهم أفضل الأمة
",000,False,000,False,False,False,1,10
"### | 43 - 
",000,False,000,False,False,False,1,56
"### | 44 - 
",000,False,000,False,False,False,1,50
"### | باب في أن خيركم من قرأ القرآن وأقرأه
",000,False,000,False,False,False,1,16
"### | 45 - 
",000,False,000,False,False,False,1,58
"### | باب في أنهم خيار الأمة
",000,False,000,False,False,False,1,10
"### | 46 - 
",000,False,000,False,False,False,1,51
"### | باب في أنهم أشراف الأمة
",000,False,000,False,False,False,1,10
"### | 47 - 
",000,False,000,False,False,False,1,58
"### | باب في أنهم يؤخذون بما يؤخذ به الأنبياء إلا الوحي
",000,False,000,False,False,False,1,20
"### | 48 - 
",000,False,000,False,False,False,1,77
"### | باب في أن من أوتي بعض القرآن فقد أوتي بعض النبوة، ومن أوتي القرآن كله فقد أوتي النبوة كلها
",000,False,000,False,False,False,1,38
"### | 49 - 
",000,False,000,False,False,False,1,74
"### | باب آخر منه
",000,False,000,False,False,False,1,6
"### | 50 - 
",000,False,000,False,False,False,1,62
"### | باب في استدراج النبوة في أهل القرآن
",000,False,000,False,False,False,1,14
"### | 51 - 
",000,False,000,False,False,False,1,52
"### | 52 - 
",000,False,000,False,False,False,1,78
"### | باب في أنهم أوغلوا علم الله عز وجل
",000,False,000,False,False,False,1,16
"### | 53 - 
",000,False,000,False,False,False,1,58
"### | باب في أن أهل القرآن غبطهم الأنبياء قبل أن أظهروا
",000,False,000,False,False,False,1,20
"### | 54 - 
",000,False,000,False,False,False,1,95
"### | 55 - 
",000,False,000,False,False,False,1,87
"### | باب في جواز الحسد على حفظ القرآن وحفاظه
",000,False,000,False,False,False,1,16
"### | 57 - 
",000,False,000,False,False,False,1,104
"### | باب في كون الأقرأ لكتاب الله أحق بالإمامة
",000,False,000,False,False,False,1,16
"### | 60 - 
",000,False,000,False,False,False,1,58
"### | باب في كونهم أحق الناس بالإمارة لزيادة حفظ القرآن
",000,False,000,False,False,False,1,18
"### | 61 - 
",000,False,000,False,False,False,1,147
"### | باب فيمن ولي حرم الله لقراءة القرآن
",000,False,000,False,False,False,1,14
"### | 63 - 
",000,False,000,False,False,False,1,88
"### | باب في قطع رسول الله عليه السلام لمن حفظ القرآن بحق معلوم مؤقت ms22 لم يقطعه كذلك لغيرهم
",000,False,000,False,False,False,1,34
"### | 64 - 
",000,False,000,False,False,False,1,73
"### | 65 - 
",000,False,000,False,False,False,1,87
"### | باب في فضل من علم أخاه القرآن
",000,False,000,False,False,False,1,14
"### | 66 - 
",000,False,000,False,False,False,1,45
"### | باب في أجر من علم ولده القرآن
",000,False,000,False,False,False,1,14
"### | 67 - 
",000,False,000,False,False,False,1,230
"### | باب في أجر من يتعلم ولده القرآن
",000,False,000,False,False,False,1,14
"### | 68 - 
",000,False,000,False,False,False,1,60
"### | باب في فضل من حفظ القرآن في صباه
",000,False,000,False,False,False,1,16
"### | 69 - 
",000,False,000,False,False,False,1,60
"### | باب في أن حرمة حملة القرآن كحرمة الأمهات مبرة واحتراما
",000,False,000,False,False,False,1,20
"### | 70 - 
",000,False,000,False,False,False,1,172
"### | باب في أن الله عز وجل يحب من يتلو كتابه
",000,False,000,False,False,False,1,20
