string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### |  باب الحديث الذي يرو خلافه عن رسول الله صلى الله عليه وسلم
",000,False,000,False,False,False,1,694
"### |  باب أقاويل الصحابة رضي الله عنهم إذا تفرقوا فيها ويستدل به على معرفة الصحابة والتابعين ومن بعدهم من أكابر فقهاء الأمصار
",000,False,000,False,False,False,1,9756
"### |  باب من له الفتوى والحكم
",000,False,000,False,False,False,1,1457
"### |  باب ما يذكر من ذم الرأي وتكلف القياس في موضع النص
",000,False,000,False,False,False,1,2812
"### |  باب ترك الحكم بتقليد أمثاله من اهل العلم حتى يعلم مثل علمهم
",000,False,000,False,False,False,1,633
"### |  باب تقليد العامي للعالم
",000,False,000,False,False,False,1,631
"### |  باب من كره المسألة عما لم يكن ولم ينزل به وحي
",000,False,000,False,False,False,1,1813
"### |  باب العلم العام الذي لا يسع البالغ ms066 العاقل جهله
",000,False,000,False,False,False,1,1573
"### |  باب العلم الخاص الذي لم تكلفه العامة وكلف على ذلك من فيه الكفاية للقيام به
",000,False,000,False,False,False,1,497
"### |  باب فضل العلم
",000,False,000,False,False,False,1,4742
"### |  باب مذكرة العلم والجلوس مع أهله
",000,False,000,False,False,False,1,1769
"### |  باب فضل العلم خير من فضل العبادة
",000,False,000,False,False,False,1,1115
"### |  باب كراهية طلب العلم لغير الله وما جاء في الترغيب في العمل بالعلم
",000,False,000,False,False,False,1,3006
"### |  باب ما يكره لأهل العلم وغيرهم من التكبر والتجبر وإلزام الناس مخاطبتهم بما يخاطب به الجبابرة والسكوت إليه والسرور به أعاذنا الله من شرور أنفسنا ومن سيئات أعمالنا
",000,False,000,False,False,False,1,596
"### |  باب ما يستحب للعالم من توقي المشتبهات لئلا يغتر به الجاهل فيقع في الحرام
",000,False,000,False,False,False,1,1614
"### |  باب كراهية منع العلم وهو علم الكتاب والسنة
",000,year,000,False,False,False,1,841
"### |  باب أداء النصيحة في تنبيه العامة على ما جهلوه
",000,False,000,False,False,False,1,251
"### |  باب تبيين الحديث وترتيله ليفهم عنه
",000,False,000,False,False,False,1,339
"### |  باب من أعاد الحديث ثلاثا ليفهم عنه
",000,False,000,False,False,False,1,140
"### |  باب التخول بالموعظة والعلم مخافة الملال
",000,False,000,False,False,False,1,730
"### |  باب لا تحدث قوما حديثا لا تبلغه عقولهم
",000,False,000,False,False,False,1,192
"### |  باب من قال من إضاعة العلم أن تحدث به غير أهله
",000,False,000,False,False,False,1,465
"### |  باب تقريب الفتيان من طلاب العلم وترغيبهم في التعلم
",000,False,000,False,False,False,1,1557
"### |  باب توقير العالم والعلم
",000,False,000,False,False,False,1,3190
"### |  باب ما يذكر في القيام لأهل العلم وغيرهم على وجه الإكرام
",000,False,000,False,False,False,1,750
"### |  باب من كره أن يقام على وجه التعظيم مخافة الكبر
",000,False,000,False,False,False,1,344
"### |  باب من كره كتابة العلم وأمر بحفظه
",000,False,000,False,False,False,1,1060
"### |  باب من رخص في كتابة العلم وأحسبه حين أمن من اختلاطه بكتاب الله جل ثناؤه
",000,False,000,False,False,False,1,1937
"### |  باب ms158 استعمال الصدق في العلم وفي كل شيء
",000,False,000,False,False,False,1,631
"### |  باب التوقي عن الفتيا والتثبت فيها
",000,False,000,False,False,False,1,2320
"### |  باب ما يخشى من زلة العالم في العلم أو العمل
",000,False,000,False,False,False,1,1032
"### |  باب ما يخشى من رفع العلم وظهورالجهل
",000,False,000,False,False,False,1,1456
