string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [خطبة الكتاب] 1.
",000,False,000,False,False,False,1,137
"### | باب من خبر مبعثه صلى الله عليه وسلم 1
",000,False,000,False,False,False,1,1355
"### | باب [ذكر] 1 دعاء الرسول صلى الله عليه وسلم قومه وغيرهم إلى دين الله والدخول في الإسلام، وذكر بعض ما لقي [منهم] 2 من الأذى وصبره في ذلك على البلوى صلى الله عليه وسلم
",000,False,000,False,False,False,1,2247
"### || [دعوة الرسول قومه وغيرهم إلى الإسلام] 3.
",000,False,000,False,False,False,2,287
"### || [أول الناس إيمانا بالله ورسوله] 1
",000,False,000,False,False,False,2,373
"### || تتمة السابقين إلى الإيمان برسول الله صلى الله عليه وسلم
",000,False,000,False,False,False,2,320
"### || [ذكر بعض ما لقي الرسول وأصحابه من أذى قومه وصبرهم على ذلك] 3
",000,False,000,False,False,False,2,603
"### || [المجاهرون بالظلم لرسول الله صلى الله عليه وسلم ولكل من آمن به]
",000,False,000,False,False,False,2,497
"### || المستهزئون
",000,False,000,False,False,False,2,181
"### | باب ذكر الهجرة إلى أرض الحبشة 1
",000,False,000,False,False,False,1,1116
"### | باب ذكر دخول بني هاشم بن عبد مناف وبني المطلب بن عبد مناف ms039 في الشعب 1 وما لقوا من سائر قريش في ذلك 2
",000,False,000,False,False,False,1,4327
"### || ذكر من انصرف من أرض الحبشة إلى مكة 1
",000,False,000,False,False,False,2,339
"### || ذكر إسلام الجن 1
",000,False,000,False,False,False,2,560
"### || [ذكر خروج الرسول إلى الطائف وعودته إلى مكة] 1
",000,False,000,False,False,False,2,536
"### || [إسلام الطفيل بن عمرو الدوسي] 5
",000,False,000,False,False,False,2,125
"### || حديث الإسراء [والمعراج] مختصرا 1
",000,False,000,False,False,False,2,66
"### || [عرض الرسول الإسلام على قبائل العرب] 1
",000,False,000,False,False,False,2,118
"### || العقبة الأولى 1
",000,False,000,False,False,False,2,163
"### || العقبة الثانية 2
",000,False,000,False,False,False,2,366
"### || العقبة الثالثة 3
",000,False,000,False,False,False,2,338
"### || وهذه تسمية من شهد العقبة من الأنصار 1 مع 2 الاثني عشر النقباء
",000,False,000,False,False,False,2,753
"### | باب ذكر الهجرة 1 إلى المدينة *
",000,False,000,False,False,False,1,3455
"### || خروج رسول الله صلى الله عليه وسلم للهجرة 1
",000,False,000,False,False,False,2,1091
"### || [بناء مسجد رسول الله] 1
",000,False,000,False,False,False,2,93
"### || مؤاخاة رسول الله بين المهاجرين والأنصار رضي الله عنهم أجمعين 7
",000,False,000,False,False,False,2,923
"### || فرض الزكاة 6
",000,False,000,False,False,False,2,27
"### || [كفار اليهود والمنافقون] 1
",000,False,000,False,False,False,2,305
"### || [مغازي رسول الله صلى الله عليه وسلم وبعوثه] 1
",000,False,000,False,False,False,2,18
"### || غزوة ودان 2 ويقال لها غزوة الأبواء
",000,False,000,False,False,False,2,103
"### | باب بعث حمزة وبعث عبيدة 1
",000,False,000,False,False,False,1,7207
"### || فرض صوم رمضان
",000,False,000,False,False,False,2,23
"### || غزوة بواط 4
",000,False,000,False,False,False,2,49
"### || غزوة العشيرة 5
",000,False,000,False,False,False,2,60
"### || غزوة بدر الأولى 1
",000,False,000,False,False,False,2,57
"### || بعث سعد بن أبي وقاص 4
",000,False,000,False,False,False,2,61
"### || بعث عبد الله بن جحش [وسريته] 1
",000,False,000,False,False,False,2,450
"### || صرف القبلة 1
",000,False,000,False,False,False,2,96
"### || غزوة بدر الثانية وهي أعظم المشاهد فضلا لمن شهدها 1
",000,False,000,False,False,False,2,6208
"### ||| تسمية من استشهد ببدر من المسلمين 1
",000,False,000,False,False,False,3,198
"### ||| تسمية من قتل ببدر من كفار قريش 1
",000,False,000,False,False,False,3,254
"### ||| تسمية من أسر ببدر من كفار قريش 1
",000,False,000,False,False,False,3,404
"### ||| تسمية من شهد بدرا من المهاجرين 3
",000,False,000,False,False,False,3,838
"### ||| تسمية من شهد بدرا من الأنصار 1
",000,False,000,False,False,False,3,2813
"### |||| [ذكر من شهد بدرا من الأوس]
",000,False,000,False,False,False,4,686
"### |||| ذكر من شهد بدرا من الخزرج
",000,False,000,False,False,False,4,2124
"### | فصل 
",000,False,000,False,False,False,1,21870
"### || بعث مشركي قريش عمرو بن العاص وابن أبي ربيعة إلى النجاشي
",000,False,000,False,False,False,2,1920
"### || غزوة بني سليم 1
",000,False,000,False,False,False,2,53
"### || غزوة السويق 3
",000,False,000,False,False,False,2,193
"### || غزوة ذي أمر 4
",000,False,000,False,False,False,2,46
"### || غزوة بحران 1
",000,False,000,False,False,False,2,42
"### || غزوة بني قينقاع 2
",000,False,000,False,False,False,2,217
"### || البعث 2 إلى كعب بن الأشرف
",000,False,000,False,False,False,2,611
"### || غزوة أحد 1
",000,False,000,False,False,False,2,3050
"### ||| ذكر من استشهد1 من المهاجرين يوم أحد
",000,False,000,False,False,False,3,123
"### ||| تسمية من استشهد 6 من الأنصار يوم أحد
",000,False,000,False,False,False,3,567
"### ||| [تسمية من قتل من كفار قريش يوم أحد]
",000,False,000,False,False,False,3,317
"### || غزوة 1 حمراء الأسد
",000,False,000,False,False,False,2,204
"### || بعث 1 الرجيع
",000,False,000,False,False,False,2,418
"### || بعث 2 بئر معونة
",000,False,000,False,False,False,2,775
"### || غزوة [بني] النضير 1
",000,False,000,False,False,False,2,428
"### || غزوة 4 ذات الرقاع
",000,False,000,False,False,False,2,275
"### || غزوة 1 بدر الثالثة
",000,False,000,False,False,False,2,101
"### || غزوة 4 دومة الجندل
",000,False,000,False,False,False,2,64
"### || غزوة الخندق 
",000,False,000,False,False,False,2,1844
"### || غزوة 1 بني قريظة
",000,False,000,False,False,False,2,1216
"### ||| ذكر من استشهد من المسلمين يوم الخندق
",000,False,000,False,False,False,3,50
"### ||| ذكر من قتل من المشركين يوم الخندق
",000,False,000,False,False,False,3,62
"### ||| [شهداء يوم قريظة]
",000,False,000,False,False,False,3,68
"### || بعث 4 عبد الله بن عتيك إلى قتل 5 أبي رافع سلام بن أبي الحقيق اليهودي
",000,False,000,False,False,False,2,388
"### || غزوة بني لحيان6
",000,False,000,False,False,False,2,181
"### || غزوة 6 ذي قرد 7
",000,False,000,False,False,False,2,405
"### || غزوة 2 بني المصطلق من خزاعة
",000,False,000,False,False,False,2,786
"### || عمرة 3 الحديبية
",000,False,000,False,False,False,2,1013
"### || غزوة 1 خيبر
",000,False,000,False,False,False,2,2168
"### ||| [مقاسم خيبر وأموالها]
",000,False,000,False,False,False,3,859
"### ||| تسمية من استشهد من المسلمين يوم خيبر
",000,False,000,False,False,False,3,192
"### || [قدوم 1 بقية المهاجرين إلى الحبشة]
",000,False,000,False,False,False,2,208
"### || فتح 1 فدك
",000,False,000,False,False,False,2,97
"### || فتح 4 وادي القرى
",000,False,000,False,False,False,2,58
"### || عمرة 1 القضاء
",000,False,000,False,False,False,2,183
"### || [إسلام عمرو بن العاص وخالد بن الوليد وعثمان بن طلحة]
",000,False,000,False,False,False,2,29
"### || غزوة 1 مؤتة
",000,False,000,False,False,False,2,427
"### ||| تسمية من 4 استشهد بمؤتة
",000,False,000,False,False,False,3,95
"### || غزوة 1 فتح مكة
",000,False,000,False,False,False,2,3066
"### || غزوة 1 حنين
",000,False,000,False,False,False,2,1206
"### ||| تسمية من استشهد من المسلمين يوم حنين
",000,False,000,False,False,False,3,89
"### || غزوة 2 الطائف
",000,False,000,False,False,False,2,358
"### ||| تسمية من استشهد من المسلمين في حصار الطائف
",000,False,000,False,False,False,3,119
"### | باب في قسمة غنائم 1 حنين وما جرى فيها
",000,False,000,False,False,False,1,5187
"### || [أعطيات المؤلفة قلوبهم]
",000,False,000,False,False,False,2,357
"### || تسمية 1 المؤلفة قلوبهم
",000,False,000,False,False,False,2,370
"### || موقف 1 بعض الأنصار
",000,False,000,False,False,False,2,370
"### || عمرة رسول الله من الجعرانة
",000,False,000,False,False,False,2,346
"### || غزوة تبوك، 
",000,False,000,False,False,False,2,771
"### || [بعث5 خالد بن الوليد إلى أكيدر دومة6]
",000,False,000,False,False,False,2,83
"### || [العودة من تبوك]
",000,False,000,False,False,False,2,101
"### || مسجد الضرار
",000,False,000,False,False,False,2,216
"### || [حديث 3 كعب بن مالك وأصحابه المتخلفين]
",000,False,000,False,False,False,2,930
"### || إسلام 1 ثقيف
",000,False,000,False,False,False,2,779
"### || حجة 1 أبي بكر الصديق رضي الله عنه سنة تسع
",009,year,000,False,009,454,2,619
"### | باب وفود 1 العرب على رسول الله صلى الله عليه وسلم من بلادها للدخول في الإسلام
",000,False,000,False,False,False,1,3587
"### || [حجة 1 الوداع]
",000,False,000,False,False,False,2,271
"### || [حديث 1 جابر في حجة الوداع]
",000,False,000,False,False,False,2,1744
"### | باب ذكر وفاة 1 النبي صلى الله عليه وسلم
",000,False,000,False,False,False,1,14018
