string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | باب أقسام الكلام
",000,False,000,False,False,False,1,68
"### | باب الأسماء واشتقاقها
",000,False,000,False,False,False,1,127
"### | فصل
",000,False,000,False,False,False,1,60
"### | باب موانع الصرف
",000,False,000,False,False,False,1,95
"### | (باب الإعراب والبناء)
",000,False,000,False,False,False,1,62
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,53
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,136
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,60
"### | باب البدل
",000,False,000,False,False,False,1,87
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,126
