string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الباب الثاني
",000,False,000,False,False,False,1,412
"### | الباب الثالث
",000,False,000,False,False,False,1,504
"### | الباب الرابع
",000,False,000,False,False,False,1,319
"### | الباب الخامس
",000,False,000,False,False,False,1,492
"### | الباب السادس
",000,False,000,False,False,False,1,285
"### | الباب السابع
",000,False,000,False,False,False,1,323
"### | الباب الثامن
",000,False,000,False,False,False,1,177
"### | الباب التاسع
",000,False,000,False,False,False,1,1005
"### | الباب العاشر
",000,False,000,False,False,False,1,351
"### | الباب الحادي عشر
",000,False,000,False,False,False,1,877
"### | الباب الثاني عشر
",000,False,000,False,False,False,1,314
"### | الباب الثالث عشر
",000,False,000,False,False,False,1,570
"### | الباب الرابع عشر
",000,False,000,False,False,False,1,357
"### | الباب الخامس عشر
",000,False,000,False,False,False,1,416
"### | الباب السادس عشر
",000,False,000,False,False,False,1,113
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,762
"### | الباب السابع عشر
",000,False,000,False,False,False,1,727
"### | الباب الثامن عشر
",000,False,000,False,False,False,1,361
"### | الباب التاسع عشر
",000,False,000,False,False,False,1,217
"### | فصل
",000,False,000,False,False,False,1,242
"### | الباب العشرون
",000,False,000,False,False,False,1,725
"### | الباب الحادي والعشرون
",000,False,000,False,False,False,1,310
"### | الباب الثاني والعشرون
",000,False,000,False,False,False,1,148
"### | الباب الثالث والعشرون
",000,False,000,False,False,False,1,403
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,280
"### | فصل
",000,False,000,False,False,False,1,111
"### | الباب الرابع والعشرون
",000,False,000,False,False,False,1,269
"### | الباب الخامس والعشرون
",000,False,000,False,False,False,1,556
"### | الباب السادس والعشرون
",000,False,000,False,False,False,1,210
"### | الباب السابع والعشرون
",000,False,000,False,False,False,1,291
"### | الباب الثامن والعشرون
",000,False,000,False,False,False,1,266
"### | الباب التاسع والعشرون
",000,False,000,False,False,False,1,241
"### | فصل
",000,False,000,False,False,False,1,198
"### | الباب الثلاثون
",000,False,000,False,False,False,1,867
"### | الباب الحادي والثلاثون
",000,False,000,False,False,False,1,611
"### | فصل
",000,False,000,False,False,False,1,375
"### | الباب الثاني والثلاثون
",000,False,000,False,False,False,1,346
"### | فصل
",000,False,000,False,False,False,1,583
"### | الباب الثالث والثلاثون
",000,False,000,False,False,False,1,208
