string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,126
"### | "" أي الأعمال أفضل؟ قال: إيمان بالله ورسوله.
",000,False,000,False,False,False,1,38
"### | 2 - 
",000,False,000,False,False,False,1,68
"### | : "" أهل الجنة ثلاثة: ذو سلطان ms1 مقسط متصدق , ورجل رحيم رقيق القلب بكل ذي قربى , ومسلم عفيف 
",000,False,000,False,False,False,1,21
"### | 3 - 
",000,False,000,False,False,False,1,52
"### | : "" هل تدرون على من تحرم النار؟ قلنا: الله ورسوله أعلم , قال: على الهين اللين القريب 
",000,False,000,False,False,False,1,18
"### | 4 - 
",000,False,000,False,False,False,1,72
"### | : «إذا خرج الحاج من بيته كان في حرز الله , فإن مات قبل أن يقضي نسكه وقع أجره على الله , وإن 
",000,False,000,False,False,False,1,52
"### | 5 - 
",000,False,000,False,False,False,1,66
"### | دعا النبي صلى الله عليه وسلم إلى طعام فرأى على الباب سترا , قال: فرجع.
",000,False,000,False,False,False,1,31
"### | 6 - 
",000,False,000,False,False,False,1,59
"### | : «إن أردت أن يلين قلبك فأطعم المسكين وامسح رأس اليتيم , وبشر من يكون بيته المسجد بالروح 
",000,False,000,False,False,False,1,24
"### | 7 - 
",000,False,000,False,False,False,1,82
"### | : «رأس العلم مخافة الله عز وجل» .
",000,False,000,False,False,False,1,227
"### | 8 - 
",000,False,000,False,False,False,1,72
"### | : «ما أحب أن أحدا ذاك عندي ذهبا أمسي ثالثة وعندي منه دينار إلا أن أرصده لدين , إلا أن أقول 
",000,False,000,False,False,False,1,61
"### | 9 - 
",000,False,000,False,False,False,1,54
"### | تقاضى ابن أبي حدرد دينا كان له عليه في المسجد، فارتفعت أصواتهما حتى سمعها رسول الله صلى 
",000,False,000,False,False,False,1,51
"### | 10 - 
",000,False,000,False,False,False,1,57
"### | إني قد بعثتك إلى أهل الله أهل مكة فانههم عن بيع ما لم يقبضوا وعن ربح ما لم يضمنوا وعن قرض 
",000,False,000,False,False,False,1,27
"### | 11 - 
",000,False,000,False,False,False,1,43
"### | : «انطلق معي إلى المنزل فأسقيك في قدح شرب فيه رسول الله صلى الله عليه وسلم , وتصلي في مسجد 
",000,False,000,False,False,False,1,63
"### | 12 - 
",000,False,000,False,False,False,1,62
"### | : «من زار مسجدي هذا لا يزوره إلا ويصلي فيه ركعتين أو أربع ركعات كان له عند الله عدل حجة 
",000,False,000,False,False,False,1,20
"### | 13 - 
",000,False,000,False,False,False,1,61
"### | إذا قفل من الغزو أو من الحج والعمرة بدأ فكبر ثلاث مرات , ثم يقول: «لا إله إلا الله وحده لا 
",000,False,000,False,False,False,1,398
