string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,373
"### | باب في وجوب طلب علم الحديث والسنن وإتقان ذلك وضبطه وحفظه ووعيه
",000,False,000,False,False,False,1,1021
"### | باب في شرف علم الحديث وشرف أهله
",000,False,000,False,False,False,1,2156
"### | باب في آداب طالب السماع وما يجب أن يتخلق به
",000,False,000,False,False,False,1,835
"### | باب ما يلزم من إخلاص النية في طلب الحديث وانتقاد من يؤخذ عنه
",000,False,000,False,False,False,1,798
"### | باب متى يستحب سماع الطالب ومتى يصح سماع الصغير
",000,False,000,False,False,False,1,496
"### | باب أنواع الأخذ وأصول الرواية
",000,False,000,False,False,False,1,5322
"### || 1 - الضرب الأول السماع من لفظ ms20 الشيخ
",000,False,000,False,False,False,2,190
"### || 2 - الضرب الثانى القراءة على الشيخ
",000,False,000,False,False,False,2,862
"### || 3 - الضرب الثالث المناولة
",000,False,000,False,False,False,2,640
"### ||| 
",000,False,000,False,False,False,3,456
"### ||| نوع آخر
",000,False,000,False,False,False,3,188
"### || 4 - الضرب الرابع الكتابة
",000,False,000,False,False,False,2,376
"### || 5 - الضرب الخامس الإجازة
",000,False,000,False,False,False,2,1875
"### ||| 
",000,False,000,False,False,False,3,272
"### ||| الوجه الثانى
",000,False,000,False,False,False,3,577
"### ||| الوجه الثالث
",000,False,000,False,False,False,3,341
"### ||| الوجه الرابع
",000,False,000,False,False,False,3,281
"### ||| الوجه الخامس
",000,False,000,False,False,False,3,201
"### ||| الوجه السادس
",000,False,000,False,False,False,3,210
"### || 6 - الضرب السادس
",000,False,000,False,False,False,2,786
"### || 7 - الضرب السابع الوصية بالكتب
",000,False,000,False,False,False,2,126
"### || 8 - الضرب الثامن الخط
",000,False,000,False,False,False,2,422
"### | باب في العبارة عن النقل بوجوه السماع والأخذ والمتفق في ذلك والمختلف فيه والمختار منه عند المحققين وعند المحدثين
",000,False,000,False,False,False,1,1403
"### | باب في تحقيق التقييد والضبط والسماع ومن سهل في ذلك وشدد
",000,False,000,False,False,False,1,582
"### | باب من سهل في ذلك
",000,False,000,False,False,False,1,514
"### | باب في التقييد بالكتاب والمقابلة والشكل والنقط والضبط
",000,False,000,False,False,False,1,1502
"### | باب التخريج والإلحاق للنقص
",000,False,000,False,False,False,1,574
"### | باب في التصحيح والتمريض والتضبيب
",000,False,000,False,False,False,1,378
"### | باب في الضرب والحك والشق والمحو
",000,False,000,False,False,False,1,517
"### | باب تحرى الرواية والمجىء باللفظ ومن رخص للعلماء في المعنى ومن منع
",000,False,000,False,False,False,1,725
"### | باب في إصلاح الخطأ وتقويم اللحن والاختلاف في ذلك
",000,False,000,False,False,False,1,703
"### | باب ضبط اختلاف الروايات والعمل في ذلك
",000,False,000,False,False,False,1,393
"### | باب رفع الإسناد في القراءة والتخريج والعمل فيه
",000,False,000,False,False,False,1,508
"### | باب متى يستحب الجلوس للإسماع وسن المحدث ومتى يمتنع
",000,False,000,False,False,False,1,899
"### | باب جامع لآثار مفيدة وآداب حميدة
",000,False,000,False,False,False,1,4744
