string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,110
"### | : «الصيام جنة من النار كجنة أحدكم من القتال» , وسمعت رسول الله صلى الله عليه وسلم , يقول: "" 
",000,False,000,False,False,False,1,46
"### | 2 - 
",000,False,000,False,False,False,1,77
"### | : صيام ثلاثة أيام من كل شهر , والغسل يوم الجمعة , وأن أوتر قبل أن أنام "" , الحسن هو ابن يسار 
",000,False,000,False,False,False,1,30
"### | 3 - 
",000,False,000,False,False,False,1,101
"### | : أوصاني بالوتر قبل النوم، وأوصاني بالغسل في كل جمعة، وأوصاني بصيام ثلاثة أيام في كل شهر "" 
",000,False,000,False,False,False,1,22
"### | 4 - 
",000,False,000,False,False,False,1,114
"### | : «صوم شهر الصبر وصوم ثلاثة أيام من كل شهر صوم الدهر» ، فقد صمت ثلاثة أيام من أول الشهر، فأنا 
",000,False,000,False,False,False,1,55
"### | 5 - 
",000,False,000,False,False,False,1,128
"### | : «صوم شهر الصبر وثلاثة أيام من كل شهر صوم الدهر، ويذهب بمغلة الصدر» , قلت: وما مغلة الصدر؟ 
",000,False,000,False,False,False,1,31
"### | 6 - 
",000,False,000,False,False,False,1,74
"### | يصوم من غرة كل شهر ثلاثة أيام , وقل ما رأيته يفطر يوم الجمعة»
",000,False,000,False,False,False,1,14
"### | 7 - 
",000,False,000,False,False,False,1,66
"### | يصوم ثلاثة أيام من كل شهر: الخميس من أول الشهر، والاثنين الذي يليه ms3، والاثنين الذي 
",000,False,000,False,False,False,1,18
"### | 8 - 
",000,False,000,False,False,False,1,80
"### | يأمرني أن أصوم ثلاثة أيام من كل شهر أولها الاثنين والخميس والاثنين» , رواه أبو داود , في 
",000,False,000,False,False,False,1,24
"### | 9 - 
",000,False,000,False,False,False,1,64
"### | يصوم تسع ذي الحجة ويوم عاشوراء وثلاثة أيام من كل شهر: أول اثنين من الشهر، وخميسين "" , وجاء 
",000,False,000,False,False,False,1,24
"### | 10 - 
",000,False,000,False,False,False,1,94
"### | "" ما صومك؟ قال: ثلاث عشرة وأربع عشرة وخمس عشرة ""
",000,False,000,False,False,False,1,11
"### | 11 - 
",000,False,000,False,False,False,1,75
"### | ، إذا صمت من الشهر ثلاثة أيام فصم ثلاثة عشر وأربعة عشر وخمسة عشر» , تابعه فطر بن خليفة، عن 
",000,False,000,False,False,False,1,31
"### | 12 - 
",000,False,000,False,False,False,1,93
"### | : «أمره بصيام ثلاث عشرة وأربع عشرة وخمس عشرة» , تابعهما عثمان بن عبد الله بن موهب، عن 
",000,False,000,False,False,False,1,31
"### | 13 - 
",000,False,000,False,False,False,1,109
"### | : «إن كنت صائما فصم أيام الغر» , والصواب: حديث موسى , عن ابن الحوتكية
",000,False,000,False,False,False,1,12
"### | 14 - 
",000,False,000,False,False,False,1,101
"### | : «من صام أيام البيض الثلاث عشرة والأربع عشرة والخمس عشرة، أعطاه الله عز وجل في أول يوم منها 
",000,False,000,False,False,False,1,48
"### | 15 - 
",000,False,000,False,False,False,1,104
"### | : إن آدم صلى الله عليه وسلم لما عصى وأكل من الشجرة أوحى الله تبارك وتعالى إليه: «يا آدم، 
",000,False,000,False,False,False,1,107
"### | 16 - 
",000,False,000,False,False,False,1,43
"### | يأمر بصوم ثلاث عشرة وأربع عشرة وخمس عشرة، ثلاثة أيام من كل شهر ويسميهن أيام البيض؛ لأن 
",000,False,000,False,False,False,1,90
