string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | -[الأحاديث العيدية المسلسلة]-
",000,False,000,False,False,False,1,180
"### | 1- 
",000,False,000,False,False,False,1,72
"### | [ص: 20]
",000,False,000,False,False,False,1,4
"### | 2- 
",000,False,000,False,False,False,1,40
"### | 3- 
",000,False,000,False,False,False,1,54
"### | [ص: 21]
",000,False,000,False,False,False,1,135
"### | 4- 
",000,False,000,False,False,False,1,106
"### | [ص: 27]
",000,False,000,False,False,False,1,67
"### | 5- 
",000,False,000,False,False,False,1,91
"### | [ص: 28]
",000,False,000,False,False,False,1,120
"### | 6- 
",000,False,000,False,False,False,1,103
"### | [ص: 29]
",000,False,000,False,False,False,1,87
"### | 7- 
",000,False,000,False,False,False,1,113
"### | 8- 
",000,False,000,False,False,False,1,219
"### | 9- 
",000,False,000,False,False,False,1,200
"### | 10- 
",000,False,000,False,False,False,1,216
"### | 11- 
",000,False,000,False,False,False,1,199
"### | 12- 
",000,False,000,False,False,False,1,212
"### | [ص: 37]
",000,False,000,False,False,False,1,26
"### | 13- 
",000,False,000,False,False,False,1,172
"### | [ص: 38]
",000,False,000,False,False,False,1,38
