string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [خطبة الكتاب للمصنف]
",000,False,000,False,False,False,1,399
"### | [كتاب الطهارة]
",000,False,000,False,False,False,1,4
"### | [تفسير الطهارة]
",000,False,000,False,False,False,1,74
"### | [فصل بيان أنواع الطهارة]
",000,False,000,False,False,False,1,35
"### | [بيان أركان الوضوء]
",000,False,000,False,False,False,1,2458
"### | [فصل المسح على الخفين]
",000,False,000,False,False,False,1,664
"### | [بيان مدة المسح]
",000,False,000,False,False,False,1,1397
"### | [المسح على الجورب]
",000,False,000,False,False,False,1,1231
"### | [فصل مقدار المسح]
",000,False,000,False,False,False,1,198
"### | [فصل بيان ما ينقض المسح]
",000,False,000,False,False,False,1,495
"### | [شرط جواز المسح]
",000,False,000,False,False,False,1,1025
"### | [فصل شرائط أركان الوضوء]
",000,False,000,False,False,False,1,1982
"### | [فصل سنن الوضوء]
",000,False,000,False,False,False,1,1361
"### | [التسمية في الوضوء]
",000,False,000,False,False,False,1,993
"### | [الترتيب في الوضوء]
",000,False,000,False,False,False,1,167
"### | [الموالاة في الوضوء]
",000,False,000,False,False,False,1,1006
"### | [فصل آداب الوضوء]
",000,False,000,False,False,False,1,200
"### | [فصل بيان ما ينقض الوضوء]
",000,False,000,False,False,False,1,5002
"### | [القهقهة في الصلاة]
",000,False,000,False,False,False,1,1482
"### | [فصل الغسل]
",000,False,000,False,False,False,1,2949
"### | [فصل الحيض وأحكامه]
",000,False,000,False,False,False,1,1420
"### | [النفاس وأحكامه]
",000,False,000,False,False,False,1,216
"### | [الاستحاضة وأحكامها]
",000,False,000,False,False,False,1,1959
"### | [فصل في التيمم]
",000,False,000,False,False,False,1,510
"### | [فصل أركان التيمم]
",000,False,000,False,False,False,1,362
"### | [فصل في كيفية التيمم]
",000,False,000,False,False,False,1,367
"### | [فصل في شرائط ركن التيمم]
",000,False,000,False,False,False,1,4301
"### | [فصل بيان ما يتيمم به]
",000,False,000,False,False,False,1,740
"### | [فصل في بيان ما يتيمم منه]
",000,False,000,False,False,False,1,73
"### | [فصل في بيان وقت التيمم]
",000,False,000,False,False,False,1,524
"### | [فصل في صفة التيمم]
",000,False,000,False,False,False,1,895
"### | [فصل في بيان ما ينقض التيمم]
",000,False,000,False,False,False,1,2190
"### | [فصل في الطهارة الحقيقية]
",000,False,000,False,False,False,1,6587
"### | [فصل في بيان المقدار الذي يصير به المحل نجسا]
",000,False,000,False,False,False,1,7946
"### | [فصل بيان ما يقع به التطهير]
",000,False,000,False,False,False,1,2221
"### | [فصل طريق التطهير بالغسل]
",000,False,000,False,False,False,1,342
"### | [فصل في شرائط التطهير بالماء]
",000,False,000,False,False,False,1,985
"### | [كتاب الصلاة]
",000,False,000,False,False,False,1,1047
"### | [فصل عدد فروض الصلاة]
",000,False,000,False,False,False,1,218
"### | [فصل عدد ركعات هذه الصلوات]
",000,False,000,False,False,False,1,103
"### | [فصل في صلاة المسافر]
",000,False,000,False,False,False,1,1262
"### | [فصل بيان ما يصير به المقيم مسافرا]
",000,False,000,False,False,False,1,2260
"### | [فصل بيان ما يصير المسافر به مقيما]
",000,False,000,False,False,False,1,4997
"### | [فصل أركان الصلاة]
",000,False,000,False,False,False,1,5769
"### | [فصل شرائط أركان الصلاة]
",000,False,000,False,False,False,1,20424
"### | [فصل واجبات الصلاة]
",000,False,000,False,False,False,1,518
"### | [فصل بيان كيفية الأذان]
",000,False,000,False,False,False,1,901
"### | [فصل بيان سنن الأذان]
",000,False,000,False,False,False,1,1950
"### | [فصل بيان محل وجوب الأذان]
",000,False,000,False,False,False,1,1593
"### | [فصل بيان وقت الأذان والإقامة]
",000,False,000,False,False,False,1,295
"### | [فصل بيان ما يجب على السامعين عند الأذان]
",000,False,000,False,False,False,1,389
"### | [فصل بيان من تجب عليه الجماعة]
",000,False,000,False,False,False,1,125
"### | [فصل بيان من تنعقد به الجماعة]
",000,False,000,False,False,False,1,94
"### | [فصل بيان ما يفعل بعد فوات الجماعة]
",000,False,000,False,False,False,1,192
"### | [فصل بيان من يصلح للإمامة في الجملة]
",000,False,000,False,False,False,1,666
"### | [فصل بيان من يصلح للإمامة على التفصيل]
",000,False,000,False,False,False,1,37
"### | [فصل بيان من هو أحق بالإمامة وأولى بها]
",000,False,000,False,False,False,1,564
"### | [فصل بيان مقام الإمام والمأموم]
",000,False,000,False,False,False,1,794
"### | [فصل بيان ما يستحب للإمام أن يفعله عقيب الفراغ من الصلاة]
",000,False,000,False,False,False,1,439
"### | [فصل الواجبات الأصلية في الصلاة]
",000,False,000,False,False,False,1,2268
"### | [فصل بيان سبب وجوب سجود السهو]
",000,False,000,False,False,False,1,2438
"### | [فصل بيان المتروك ساهيا هل يقضى أم لا]
",000,False,000,False,False,False,1,3154
"### | [فصل بيان محل السجود للسهو]
",000,False,000,False,False,False,1,791
"### | [فصل قدر سلام السهو وصفته]
",000,False,000,False,False,False,1,85
"### | [فصل عمل سلام السهو هل يبطل التحريمة أم لا]
",000,False,000,False,False,False,1,581
"### | [فصل بيان من يجب عليه سجود السهو ومن لا يجب عليه سجود السهو]
",000,False,000,False,False,False,1,3113
"### | [فصل سجدة التلاوة]
",000,False,000,False,False,False,1,323
"### | [فصل بيان كيفية وجوب سجدة التلاوة]
",000,False,000,False,False,False,1,210
"### | [فصل في سبب وجوب السجدة]
",000,False,000,False,False,False,1,3539
"### | [فصل بيان من تجب عليه سجدة التلاوة]
",000,False,000,False,False,False,1,134
"### | [فصل شرائط جواز السجدة]
",000,False,000,False,False,False,1,510
"### | [فصل في بيان محل أداء سجدة التلاوة]
",000,False,000,False,False,False,1,802
"### | [فصل في كيفية أداء سجدة التلاوة]
",000,False,000,False,False,False,1,2025
"### | [فصل في بيان وقت أداء سجدة التلاوة]
",000,False,000,False,False,False,1,74
"### | [فصل في سنن السجود]
",000,False,000,False,False,False,1,629
"### | [فصل بيان مواضع السجدة في القرآن]
",000,False,000,False,False,False,1,787
"### | [فصل لفظ الخروج من الصلاة]
",000,False,000,False,False,False,1,695
"### | [فصل حكم التكبير في أيام التشريق]
",000,False,000,False,False,False,1,141
"### | [فصل بيان وجوب تكبير التشريق]
",000,False,000,False,False,False,1,133
"### | [فصل وقت تكبير التشريق]
",000,False,000,False,False,False,1,630
"### | [فصل محل أداء تكبير التشريق]
",000,False,000,False,False,False,1,612
"### | [فصل بيان من يجب عليه تكبير التشريق]
",000,False,000,False,False,False,1,543
"### | [فصل بيان حكم التكبير أيام التشريق]
",000,False,000,False,False,False,1,219
"### | [فصل في سنن حكم التكبير أيام التشريق]
",000,False,000,False,False,False,1,10303
"### | [فصل بيان ما يستحب في الصلاة وما يكره]
",000,False,000,False,False,False,1,3422
"### | [فصل بيان ما يفسد الصلاة]
",000,False,000,False,False,False,1,269
"### | [فصل شرائط جواز البناء في الصلاة]
",000,False,000,False,False,False,1,1830
"### | [فصل الكلام في محل البناء وكيفيته في الصلاة]
",000,False,000,False,False,False,1,440
"### | [فصل الكلام في الاستخلاف في الصلاة]
",000,False,000,False,False,False,1,1293
"### | [فصل شرائط جواز الاستخلاف]
",000,False,000,False,False,False,1,4053
"### | [فصل بيان حكم الاستخلاف]
",000,False,000,False,False,False,1,6443
"### | [فصل الكلام في صلاة الخوف]
",000,False,000,False,False,False,1,299
"### | [فصل مقدارها صلاة الخوف]
",000,False,000,False,False,False,1,132
"### | [فصل كيفية صلاة الخوف]
",000,False,000,False,False,False,1,824
"### | [فصل شرائط جواز صلاة الخوف]
",000,False,000,False,False,False,1,549
"### | [فصل حكم صلوات الخوف إذا فسدت أو فاتت عن أوقاتها]
",000,False,000,False,False,False,1,2683
"### | [فصل الكلام في مسائل السجدات يدور على أصول]
",000,False,000,False,False,False,1,4032
"### | [فصل صلاة الجمعة]
",000,False,000,False,False,False,1,242
"### | [فصل كيفية فرضية صلاة الجمعة]
",000,False,000,False,False,False,1,1161
"### | [فصل بيان شرائط الجمعة]
",000,False,000,False,False,False,1,2306
"### | [حكم الخطبة]
",000,False,000,False,False,False,1,3772
"### | [مقدار الجماعة في صلاة الجمعة]
",000,False,000,False,False,False,1,470
"### | [وقت صلاة الجمعة]
",000,False,000,False,False,False,1,251
"### | [فصل بيان مقدار صلاة الجمعة]
",000,False,000,False,False,False,1,180
"### | [فصل بيان ما يفسد صلاة الجمعة]
",000,False,000,False,False,False,1,199
"### | [فصل بيان ما يستحب في يوم الجمعة وما يكره فيه]
",000,False,000,False,False,False,1,393
"### | [فصل في أنواع الصلاة الواجبة ومنها صلاة الوتر]
",000,False,000,False,False,False,1,781
"### | [فصل بيان من تجب عليه صلاة الوتر]
",000,False,000,False,False,False,1,47
"### | [فصل الكلام في مقدار صلاة الوتر]
",000,False,000,False,False,False,1,143
"### | [فصل بيان وقت الوتر]
",000,False,000,False,False,False,1,531
"### | [فصل صفة القراءة في صلاة الوتر]
",000,False,000,False,False,False,1,236
"### | [فصل في القنوت]
",000,False,000,False,False,False,1,1040
"### | [فصل بيان ما يفسد الوتر وبيان حكمه إذا فسد]
",000,False,000,False,False,False,1,56
"### | [فصل صلاة العيدين]
",000,False,000,False,False,False,1,255
"### | [فصل شرائط وجوب وجواز صلاة العيدين]
",000,False,000,False,False,False,1,834
"### | [فصل بيان وقت أداء صلاة العيدين]
",000,False,000,False,False,False,1,224
"### | [فصل بيان قدر صلاة العيدين وكيفية أدائها]
",000,False,000,False,False,False,1,1529
"### | [فصل بيان ما يفسد صلاة العيدين وبيان حكمها إذا فسدت]
",000,False,000,False,False,False,1,177
"### | [فصل بيان ما يستحب في يوم العيد]
",000,False,000,False,False,False,1,453
"### | [فصل صلاة الكسوف والخسوف]
",000,False,000,False,False,False,1,295
"### | [فصل قدر وكيفية صلاة الكسوف]
",000,False,000,False,False,False,1,1137
"### | [فصل صلاة الاستسقاء]
",000,False,000,False,False,False,1,1092
"### | [فصل الصلاة المسنونة]
",000,False,000,False,False,False,1,789
"### | [فصل صفة القراءة في سنن الصلاة]
",000,False,000,False,False,False,1,61
"### | [فصل بيان ما يكره من سنن الصلاة]
",000,False,000,False,False,False,1,1044
"### | [فصل السنة إذا فاتت عن وقتها هل تقضى أم لا]
",000,year,000,False,False,False,1,500
"### | [فصل في قدر صلاة التراويح]
",000,False,000,False,False,False,1,190
"### | [فصل في سنن صلاة التراويح]
",000,False,000,False,False,False,1,1062
"### | [فصل صلاة التراويح إذا فاتت عن وقتها هل تقضى أم لا]
",000,False,000,False,False,False,1,42
"### | [فصل صلاة التطوع]
",000,False,000,False,False,False,1,1004
"### | [فصل في بيان مقدار ما يلزم منه بالشروع في صلاة التطوع]
",000,False,000,False,False,False,1,1779
"### | [فصل بيان أفضل التطوع]
",000,False,000,False,False,False,1,423
"### | [فصل بيان ما يكره من التطوع]
",000,False,000,False,False,False,1,1429
"### | [فصل بيان ما يفارق التطوع الفرض فيه]
",000,False,000,False,False,False,1,1005
"### | [فصل صلاة الجنازة]
",000,False,000,False,False,False,1,251
"### | [فصل الغسل]
",000,False,000,False,False,False,1,324
"### | [فصل بيان كيفية وجوب غسل الميت]
",000,False,000,False,False,False,1,121
"### | [فصل بيان كيفية الغسل للميت]
",000,False,000,False,False,False,1,1179
"### | [فصل شرائط وجوب الغسل]
",000,False,000,False,False,False,1,1538
"### | [فصل بيان الكلام فيمن يغسل]
",000,False,000,False,False,False,1,1208
"### | [فصل بيان وجوب التكفين]
",000,False,000,False,False,False,1,126
"### | [فصل كيفية وجوب التكفين]
",000,False,000,False,False,False,1,736
"### | [فصل في صفة الكفن]
",000,False,000,False,False,False,1,143
"### | [فصل كيفية التكفين]
",000,False,000,False,False,False,1,642
"### | [فصل بيان من يجب عليه الكفن]
",000,False,000,False,False,False,1,215
"### | [فصل بيان عدد من يحمل الجنازة وكيفية حملها]
",000,False,000,False,False,False,1,1071
"### | [فصل بيان فريضة صلاة الجنازة وكيفية فرضيتها]
",000,False,000,False,False,False,1,1042
"### | [فصل بيان كيفية الصلاة على الجنازة]
",000,False,000,False,False,False,1,1575
