string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [مقدمة الكتاب]
",000,False,000,False,False,False,1,152
"### | [الباب الأول فيما يجب على المحتسب من شروط الحسبة ولزوم مستحباتها]
",000,False,000,False,False,False,1,90
"### | [فصل في أول ما يجب على المحتسب]
",000,False,000,False,False,False,1,148
"### | [فصل يجب على المحتسب أن يقصد بقوله وفعله وجه الله تعالى]
",000,False,000,False,False,False,1,188
"### | [فصل وينبغي للمحتسب أن يكون مواظبا على سنن رسول الله]
",000,False,000,False,False,False,1,91
"### | [فصل ليكن شيمة المحتسب الرفق ولين القول وطلاقة الوجه وسهولة الأخلاق]
",000,False,000,False,False,False,1,252
"### | [فصل من الشروط اللوازم للمحتسب]
",000,False,000,False,False,False,1,78
"### | [الباب الثاني في النظر في الأسواق والطرقات]
",000,False,000,False,False,False,1,110
"### | [فصل للمحتسب أن يجعل لأهل كل صنعة عريفا من صالح أهلها]
",000,False,000,False,False,False,1,84
"### | [فصل هل يجوز للمحتسب تسعير البضائع على أربابها]
",000,False,000,False,False,False,1,226
"### | [فصل في الطرقات ودروب المحلات]
",000,False,000,False,False,False,1,132
"### | [الباب الثالث في معرفة القناطير والأرطال والمثاقيل والدراهم]
",000,False,000,False,False,False,1,283
"### | [الباب الرابع في معرفة الموازين والمكاييل وعيار الأرطال والمثاقيل]
",000,False,000,False,False,False,1,234
"### | [فصل ينبغي للبائع أن يتخذ الأرطال والأواقي من الحديد]
",000,False,000,False,False,False,1,152
"### | [فصل في المكيال الصحيح]
",000,False,000,False,False,False,1,143
"### | [الباب الخامس في الحسبة على الحبوبيين والدقاقين]
",000,False,000,False,False,False,1,121
"### | [الباب السادس في الحسبة على الخبازين]
",000,False,000,False,False,False,1,149
"### | [فصل فيما يعتبره المحتسب على الخبازين]
",000,False,000,False,False,False,1,141
"### | [الباب السابع في الحسبة على الفرانين]
",000,False,000,False,False,False,1,165
"### | [الباب الثامن في الحسبة على صناع الزلابية]
",000,False,000,False,False,False,1,192
"### | [الباب التاسع في الحسبة على الجزارين والقصابين]
",000,False,000,False,False,False,1,415
"### | [الباب العاشر في الحسبة على الشوائين]
",000,False,000,False,False,False,1,265
"### | [الباب الحادي عشر في الحسبة على الرواسين]
",000,False,000,False,False,False,1,160
"### | [الباب الثاني عشر الحسبة على قلائي السمك]
",000,False,000,False,False,False,1,170
"### | [الباب الثالث عشر في الحسبة على الطباخين]
",000,False,000,False,False,False,1,204
"### | [الباب الرابع عشر في الحسبة على الهرائسيين]
",000,False,000,False,False,False,1,242
"### | [الباب الخامس عشر في الحسبة على النقانقيين]
",000,False,000,False,False,False,1,175
"### | [الباب السادس عشر في الحسبة على الحلوانيين]
",000,False,000,False,False,False,1,103
"### | -[وهو الذي يسمونه القطارة]-
",000,False,000,False,False,False,1,150
"### | [الباب السابع عشر في الحسبة على الصيادلة]
",000,False,000,False,False,False,1,792
"### | [الباب الثامن عشر في الحسبة على العطارين]
",000,False,000,False,False,False,1,1082
"### | [الباب التاسع عشر في الحسبة على الشرابيين]
",000,False,000,False,False,False,1,248
"### | [الباب العشرون في الحسبة على السمانين]
",000,False,000,False,False,False,1,460
"### | [الباب الحادي والعشرون في الحسبة على البزازين]
",000,False,000,False,False,False,1,625
"### | [الباب الثاني والعشرون في ms29 الحسبة على الدلالين]
",000,False,000,False,False,False,1,182
"### | [الباب الثالث والعشرون في الحسبة على الحاكة]
",000,False,000,False,False,False,1,196
"### | [الباب الرابع والعشرون في الحسبة على الخياطين]
",000,False,000,False,False,False,1,201
"### | [الباب الخامس والعشرون في الحسبة على القطانين]
",000,False,000,False,False,False,1,121
"### | [الباب السادس والعشرون في الحسبة على الكتانين]
",000,False,000,False,False,False,1,65
"### | [الباب السابع والعشرون في الحسبة على الحريريين]
",000,False,000,False,False,False,1,54
"### | [الباب الثامن والعشرون في الحسبة على الصباغين]
",000,False,000,False,False,False,1,125
"### | [الباب التاسع والعشرون في الحسبة على الأساكفة]
",000,False,000,False,False,False,1,124
"### | [الباب الثلاثون في الحسبة على الصيارف]
",000,False,000,False,False,False,1,304
"### | [الباب الحادي والثلاثون في الحسبة على الصاغة]
",000,False,000,False,False,False,1,363
"### | [الباب الثاني والثلاثون في الحسبة على النحاسين والحدادين]
",000,False,000,False,False,False,1,104
"### | [الباب الثالث والثلاثون في الحسبة على البياطرة]
",000,False,000,False,False,False,1,365
"### | [الباب الرابع والثلاثون في الحسبة على نخاسي العبيد والدواب]
",000,False,000,False,False,False,1,247
"### | [الباب الخامس والثلاثون في الحسبة على الحمامات وقومتها]
",000,False,000,False,False,False,1,492
"### | [الباب السادس والثلاثون في الحسبة على الفصادين والحجامين]
",000,False,000,False,False,False,1,287
"### | [فصل فيما ينبغي أن يكون مع الفاصد]
",000,False,000,False,False,False,1,281
"### | [فصل العروق المفصودة كثيرة]
",000,False,000,False,False,False,1,367
"### | [فصل في الحجامة عظيمة المنفعة]
",000,False,000,False,False,False,1,72
"### | [فصل في الحجامة في أول الشهر]
",000,False,000,False,False,False,1,189
"### | [الباب السابع والثلاثون في الحسبة على الأطباء والكحالين والمجبرين والجرائحيين]
",000,False,000,False,False,False,1,333
"### | [فصل وينبغي للطبيب أن يكون عنده جميع آلات الطب على الكمال]
",000,False,000,False,False,False,1,97
"### | [فصل فيما يمتحن المحتسب به الكحالين والمجبرون والجرائحيون]
",000,False,000,False,False,False,1,180
"### | [فصل لا يحل لأحد أن يتصدى للجبر]
",000,False,000,False,False,False,1,64
"### | [فصل الجرائحيون يجب عليهم معرفة كتاب جالينوس]
",000,False,000,False,False,False,1,115
"### | [الباب الثامن والثلاثون في الحسبة على مؤدبي الصبيان]
",000,False,000,False,False,False,1,62
"### | [فصل في أول ما ينبغي للمؤدب أن يعلمه الصبيان]
",000,False,000,False,False,False,1,154
"### | [فصل في استخدام المؤدب أحد الصبيان في حوائجه]
",000,False,000,False,False,False,1,149
"### | [الباب التاسع والثلاثون في الحسبة على أهل الذمة]
",000,False,000,False,False,False,1,89
"### | [فصل فيما يشترطه المحتسب على أهل الذمة]
",000,False,000,False,False,False,1,166
