string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,22
"### | 2 - 
",000,False,000,False,False,False,1,28
"### | 3 - 
",000,False,000,False,False,False,1,14
"### | 4 - 
",000,False,000,False,False,False,1,28
"### | 5 - 
",000,False,000,False,False,False,1,20
"### | 6 - 
",000,False,000,False,False,False,1,47
"### | 7 - 
",000,False,000,False,False,False,1,25
"### | 8 - 
",000,False,000,False,False,False,1,55
"### | الباب الأول
",000,False,000,False,False,False,1,4
"### | فيما ذكر عن الرجال
",000,False,000,False,False,False,1,41
"### | القسم الأول
",000,False,000,False,False,False,1,4
"### | فيما يروى عن الأنبياء عليهم السلام
",000,False,000,False,False,False,1,12
"### | 22 - 
",000,False,000,False,False,False,1,55
"### | 23 - 
",000,False,000,False,False,False,1,65
"### | 24 - 
",000,False,000,False,False,False,1,60
"### | 25 - 
",000,False,000,False,False,False,1,110
"### | 26 - 
",000,False,000,False,False,False,1,71
"### | 27 - 
",000,False,000,False,False,False,1,201
"### | 28 - 
",000,False,000,False,False,False,1,90
"### | القسم الثاني
",000,False,000,False,False,False,1,4
"### | فيما يروى عن الصحابة
",000,False,000,False,False,False,1,8
"### | 29 - 
",000,False,000,False,False,False,1,46
"### | 30 - 
",000,False,000,False,False,False,1,51
"### | 31 - 
",000,False,000,False,False,False,1,126
"### | 32 - 
",000,False,000,False,False,False,1,119
"### | 33 - 
",000,False,000,False,False,False,1,57
"### | 34 - 
",000,False,000,False,False,False,1,170
"### | 35 - 
",000,False,000,False,False,False,1,27
"### | 36 - 
",000,False,000,False,False,False,1,39
"### | 37 - 
",000,False,000,False,False,False,1,29
"### | 38 - 
",000,False,000,False,False,False,1,47
"### | 39 - 
",000,False,000,False,False,False,1,29
"### | 40 - 
",000,False,000,False,False,False,1,118
"### | 41 - 
",000,False,000,False,False,False,1,131
"### | 42 - 
",000,False,000,False,False,False,1,91
"### | 43 - 
",000,False,000,False,False,False,1,33
"### | 44 - 
",000,False,000,False,False,False,1,81
"### | 45 - 
",000,False,000,False,False,False,1,28
"### | 46 - 
",000,False,000,False,False,False,1,46
"### | 47 - 
",000,False,000,False,False,False,1,20
"### | 48 - 
",000,False,000,False,False,False,1,38
"### | 49 - 
",000,False,000,False,False,False,1,40
"### | 50 - 
",000,False,000,False,False,False,1,13
"### | 51 - 
",000,False,000,False,False,False,1,39
"### | القسم الثالث
",000,False,000,False,False,False,1,4
"### | فيما يروى عن العلماء والحكماء
",000,False,000,False,False,False,1,10
"### | 52 - 
",000,False,000,False,False,False,1,63
"### | 53 - 
",000,False,000,False,False,False,1,44
"### | 54 - 
",000,False,000,False,False,False,1,83
"### | 55 - 
",000,False,000,False,False,False,1,45
"### | 56 - 
",000,False,000,False,False,False,1,16
"### | 57 - 
",000,False,000,False,False,False,1,34
"### | 58 - 
",000,False,000,False,False,False,1,21
"### | 59 - 
",000,False,000,False,False,False,1,27
"### | 60 - 
",000,False,000,False,False,False,1,37
"### | 61 - 
",000,False,000,False,False,False,1,33
"### | 62 - 
",000,False,000,False,False,False,1,28
"### | 63 - 
",000,False,000,False,False,False,1,12
"### | 64 - 
",000,False,000,False,False,False,1,15
"### | 65 - 
",000,False,000,False,False,False,1,25
"### | 66 - 
",000,False,000,False,False,False,1,17
"### | 67 - 
",000,False,000,False,False,False,1,71
"### | 68 - 
",000,False,000,False,False,False,1,15
"### | 69 - 
",000,False,000,False,False,False,1,25
"### | 70 - 
",000,False,000,False,False,False,1,20
"### | 71 - 
",000,False,000,False,False,False,1,23
"### | 72 - 
",000,False,000,False,False,False,1,92
"### | 73 - 
",000,False,000,False,False,False,1,34
"### | 74 - 
",000,False,000,False,False,False,1,17
"### | 75 - 
",000,False,000,False,False,False,1,89
"### | 76 - 
",000,False,000,False,False,False,1,31
"### | 77 - 
",000,False,000,False,False,False,1,78
"### | 78 - 
",000,False,000,False,False,False,1,35
"### | 79 - 
",000,False,000,False,False,False,1,18
"### | 80 - 
",000,False,000,False,False,False,1,41
"### | 81 - 
",000,False,000,False,False,False,1,49
"### | 82 - 
",000,False,000,False,False,False,1,39
"### | 83 - 
",000,False,000,False,False,False,1,23
"### | 84 - 
",000,False,000,False,False,False,1,41
"### | 85 - 
",000,False,000,False,False,False,1,101
"### | 86 - 
",000,False,000,False,False,False,1,47
"### | 87 - 
",000,False,000,False,False,False,1,33
"### | 88 - 
",000,False,000,False,False,False,1,32
"### | 89 - 
",000,False,000,False,False,False,1,21
"### | 90 - 
",000,False,000,False,False,False,1,99
"### | 91 - 
",000,False,000,False,False,False,1,99
"### | 92 - 
",000,False,000,False,False,False,1,19
"### | 93 - 
",000,False,000,False,False,False,1,38
"### | 94 - 
",000,False,000,False,False,False,1,30
"### | 95 - 
",000,False,000,False,False,False,1,47
"### | 96 - 
",000,False,000,False,False,False,1,25
"### | 97 - 
",000,False,000,False,False,False,1,52
"### | 98 - 
",000,False,000,False,False,False,1,69
"### | 99 - 
",000,False,000,False,False,False,1,37
"### | 100 - 
",000,False,000,False,False,False,1,53
"### | 101 - 
",000,False,000,False,False,False,1,58
"### | 102 - 
",000,False,000,False,False,False,1,28
"### | 103 - 
",000,False,000,False,False,False,1,44
"### | 104 - 
",000,False,000,False,False,False,1,45
"### | 105 - 
",000,False,000,False,False,False,1,30
"### | 106 - 
",000,False,000,False,False,False,1,52
"### | 107 - 
",000,False,000,False,False,False,1,64
"### | 108 - 
",000,False,000,False,False,False,1,35
