string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,132
"### | يحملها على عاتقه وهو قائم يصلي، فإذا أراد أن يسجد وضعها بالأرض» ، بلغت وتزوجها علي بن أبي 
",000,False,000,False,False,False,1,57
"### | 2 - 
",000,False,000,False,False,False,1,143
"### | ، فدفع إليه النبي صلى الله عليه وسلم ابنته زينب بالنكاح الأول، ويقال: رد عليه بمهر جديد 
",000,False,000,False,False,False,1,31
"### | 3 - 
",000,False,000,False,False,False,1,58
"### | : تزوج أبو العاص بن الربيع بن ربيعة بن عبد شمس زينب فولدت له أمامة، وتزوج علي أمامة بعد 
",000,False,000,False,False,False,1,27
"### | 4 - 
",000,False,000,False,False,False,1,58
"### | : لقيط بن الربيع بن عبد العزى بن عبد شمس بن عبد مناف أبو العاص صهر رسول الله صلى الله عليه 
",000,False,000,False,False,False,1,31
"### | 5 - 
",000,False,000,False,False,False,1,70
"### | : "" أن أبا العاص بن الربيع بن عبد العزى بن عبد شمس بن عبد مناف، وكان تزوج بنت النبي صلى الله 
",000,False,000,False,False,False,1,45
"### | 6 - 
",000,False,000,False,False,False,1,104
"### | : «إنه حدثني فصدقني، ووعدني فوفى لي» .
",000,False,000,False,False,False,1,42
"### | 7 - 
",000,False,000,False,False,False,1,112
"### | «ختن رسول الله صلى الله عليه وسلم وزوج ابنته زينب» .
",000,False,000,False,False,False,1,20
"### | 8 - 
",000,False,000,False,False,False,1,111
"### | أول محصنة تزوجها رسول الله صلى الله عليه وسلم، فولدت له فاطمة، وأم كلثوم، ورقية، وزينب، 
",000,False,000,False,False,False,1,100
"### | 9 - 
",000,False,000,False,False,False,1,90
"### | رد عليه ابنته بالنكاح الأول»
",000,False,000,False,False,False,1,6
"### | 10 - 
",000,False,000,False,False,False,1,121
"### | «من عليه رسول الله صلى الله عليه وسلم بعد أن بعثت زينب بنت رسول الله صلى الله عليه وسلم 
",000,False,000,False,False,False,1,20
"### | 11 - 
",000,False,000,False,False,False,1,55
"### | : وأبو العاص بن الربيع بن عبد العزى بن عبد شمس أسره خراش بن الصمة، حدثنيه إسحاق بن خارجة، 
",000,False,000,False,False,False,1,28
"### | 12 - 
",000,False,000,False,False,False,1,69
"### | : فتزوج زينب بنت رسول الله صلى الله عليه وسلم أبو العاص بن الربيع بن عبد العزى بن عبد شمس 
",000,False,000,False,False,False,1,113
"### | 13 - 
",000,False,000,False,False,False,1,49
"### | : الطبقة الرابعة: من أسلم قبل فتح مكة: أبو العاص بن الربيع بن عبد العزى بن عبد شمس بن عبد 
",000,False,000,False,False,False,1,62
"### | 14 - 
",000,False,000,False,False,False,1,51
"### | : وتزوج أبو العاص بن الربيع بن عبد شمس زينب فولدت له أمامة، فتزوج علي عليه السلام أمامة بعد 
",000,False,000,False,False,False,1,34
"### | 15 - 
",000,False,000,False,False,False,1,77
"### | : فمن بطون عبد شمس أمية بن عبد شمس، وعبد العزى بن عبد شمس، رهط أبي العاص بن الربيع زوج زينب 
",000,False,000,False,False,False,1,29
"### | 16 - 
",000,False,000,False,False,False,1,52
"### | : أبو العاص بن الربيع اسمه لقيط بن الربيع بن عبد العزى بن عبد شمس، مات في ذي الحجة في سنة 
",000,year,000,False,False,False,1,29
"### | 17 - 
",000,False,000,False,False,False,1,82
"### | ، هاجرت مع رسول الله صلى الله عليه وسلم إلى المدينة والعاص مشرك على حاله، فأقبل أبو العاص 
",000,False,000,False,False,False,1,79
"### | 18 - 
",000,False,000,False,False,False,1,113
"### | : «أما بعد , فإني أنكحت أبا العاص بن الربيع فحدثني فصدقني، وإن فاطمة بضعة مني وإنما أكره أن 
",000,False,000,False,False,False,1,40
