string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [جامع الأصول في أحاديث الرسول]
",000,False,000,False,False,False,1,79
"### | مقدمة المحقق
",000,False,000,False,False,False,1,472
"### | خطة المؤلف في الكتاب
",000,False,000,False,False,False,1,473
"### | وصف النسخ
",000,False,000,False,False,False,1,14
"### | 1- 
",000,False,000,False,False,False,1,121
"### | 2- 
",000,False,000,False,False,False,1,101
"### | 3- 
",000,False,000,False,False,False,1,143
"### | 4- 
",000,False,000,False,False,False,1,80
"### | 5- 
",000,False,000,False,False,False,1,95
"### | 6- 
",000,False,000,False,False,False,1,47
"### | 7- 
",000,False,000,False,False,False,1,70
"### | 8- 
",000,False,000,False,False,False,1,46
"### | 9- 
",000,False,000,False,False,False,1,102
"### | عملنا في تحقيق الكتاب
",000,False,000,False,False,False,1,179
"### | ترجمة المؤلف
",000,False,000,False,False,False,1,746
"### | مقدمة المصنف
",000,False,000,False,False,False,1,107
"### | الباب الأول: في الباعث على عمل الكتاب
",000,False,000,False,False,False,1,15
"### | المقدمة
",000,False,000,False,False,False,1,514
"### | الفصل الأول: في انتشار علم الحديث، ومبدإ جمعه وتأليفه
",000,False,000,False,False,False,1,568
"### | الفصل الثاني: في بيان اختلاف أغراض الناس ومقاصدهم في تصنيف الحديث
",000,False,000,False,False,False,1,416
"### | الفصل الثالث: في اقتداء المتأخرين بالسابقين، وسبب اختصارات كتبهم وتأليفها
",000,False,000,False,False,False,1,324
"### | الفصل الرابع: في خلاصة الغرض من جمع هذا الكتاب
",000,False,000,False,False,False,1,494
"### | الباب الثاني: في كيفية وضع الكتاب
",000,False,000,False,False,False,1,12
"### | الفصل الأول: في ذكر الأسانيد والمتون
",000,False,000,False,False,False,1,414
"### | الفصل الثاني: في بيان وضع الأبواب والفصول
",000,False,000,False,False,False,1,411
"### | الفصل الثالث: في بيان التقفية، وإثبات الكتب في الحروف
",000,False,000,False,False,False,1,349
"### | الفصل الرابع: في بيان أسماء الرواة والعلائم
",000,False,000,False,False,False,1,388
"### | الفصل الخامس: في بيان الغريب والشرح
",000,False,000,False,False,False,1,429
