string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [1 - سورة الفاتحة]
",000,False,000,False,False,False,1,2678
"### || [1.1]
",000,False,000,False,False,False,2,883
"### || [1.2]
",000,False,000,False,False,False,2,569
"### || [1.3]
",000,False,000,False,False,False,2,305
"### || [1.4]
",000,False,000,False,False,False,2,126
"### || [1.5]
",000,False,000,False,False,False,2,140
"### || [1.6]
",000,False,000,False,False,False,2,228
"### || [1.7]
",000,False,000,False,False,False,2,424
"### | [2 - سورة البقرة]
",000,False,000,False,False,False,1,21384
"### || [2.1]
",000,False,000,False,False,False,2,295
"### || [2.2]
",000,False,000,False,False,False,2,377
"### || [2.3]
",000,False,000,False,False,False,2,670
"### || [2.5-6]
",000,False,000,False,False,False,2,115
"### || [2.7]
",000,False,000,False,False,False,2,162
"### || [2.8-12]
",000,False,000,False,False,False,2,300
"### || [2.15]
",000,False,000,False,False,False,2,24
"### || [2.16]
",000,False,000,False,False,False,2,64
"### || [2.17]
",000,False,000,False,False,False,2,98
"### || [2.18]
",000,False,000,False,False,False,2,91
"### || [2.20]
",000,False,000,False,False,False,2,42
"### || [2.21]
",000,False,000,False,False,False,2,37
"### || [2.22]
",000,False,000,False,False,False,2,90
"### || [2.25]
",000,False,000,False,False,False,2,338
"### || [2.26]
",000,False,000,False,False,False,2,146
"### || [2.27]
",000,False,000,False,False,False,2,45
"### || [2.28]
",000,False,000,False,False,False,2,101
"### || [2.29]
",000,False,000,False,False,False,2,115
"### || [2.30]
",000,False,000,False,False,False,2,459
"### || [2.31]
",000,False,000,False,False,False,2,69
"### || [2.34]
",000,False,000,False,False,False,2,186
"### || [2.35]
",000,False,000,False,False,False,2,255
"### || [2.36]
",000,False,000,False,False,False,2,96
"### || [2.37]
",000,False,000,False,False,False,2,42
"### || [2.40]
",000,False,000,False,False,False,2,300
"### || [2.41]
",000,False,000,False,False,False,2,56
"### || [2.42]
",000,False,000,False,False,False,2,31
"### || [2.45]
",000,False,000,False,False,False,2,133
"### || [2.46]
",000,False,000,False,False,False,2,93
"### || [2.51]
",000,False,000,False,False,False,2,59
"### || [2.54]
",000,False,000,False,False,False,2,265
"### || [2.55]
",000,False,000,False,False,False,2,71
"### || [2.57]
",000,False,000,False,False,False,2,57
"### || [2.60]
",000,False,000,False,False,False,2,106
"### || [2.61]
",000,False,000,False,False,False,2,172
"### || [2.67]
",000,False,000,False,False,False,2,42
"### || [2.68]
",000,False,000,False,False,False,2,27
"### || [2.69]
",000,False,000,False,False,False,2,66
"### || [2.71]
",000,False,000,False,False,False,2,139
"### || [2.73-82]
",000,False,000,False,False,False,2,206
"### || [2.85]
",000,False,000,False,False,False,2,129
"### || [2.96]
",000,False,000,False,False,False,2,94
"### || [2.106]
",000,False,000,False,False,False,2,84
"### || [2.112]
",000,False,000,False,False,False,2,144
"### || [2.115]
",000,False,000,False,False,False,2,73
"### || [2.124-125]
",000,False,000,False,False,False,2,370
"### || [2.128]
",000,False,000,False,False,False,2,61
"### || [2.132-143]
",000,False,000,False,False,False,2,352
"### || [2.144]
",000,False,000,False,False,False,2,225
"### || [2.148]
",000,False,000,False,False,False,2,190
"### || [2.152]
",000,False,000,False,False,False,2,334
"### || [2.154]
",000,False,000,False,False,False,2,156
"### || [2.155]
",000,False,000,False,False,False,2,483
"### || [2.156]
",000,False,000,False,False,False,2,53
"### || [2.157]
",000,False,000,False,False,False,2,31
"### || [2.158]
",000,False,000,False,False,False,2,215
"### || [2.164-165]
",000,False,000,False,False,False,2,447
"### || [2.172]
",000,False,000,False,False,False,2,181
"### || [2.173]
",000,False,000,False,False,False,2,93
"### || [2.177]
",000,False,000,False,False,False,2,83
"### || [2.179]
",000,False,000,False,False,False,2,56
"### || [2.183]
",000,False,000,False,False,False,2,62
"### || [2.184]
",000,False,000,False,False,False,2,184
"### || [2.185]
",000,False,000,False,False,False,2,128
"### || [2.186]
",000,False,000,False,False,False,2,229
"### || [2.187]
",000,False,000,False,False,False,2,188
"### || [2.189]
",000,False,000,False,False,False,2,170
"### || [2.190]
",000,False,000,False,False,False,2,33
"### || [2.193]
",000,False,000,False,False,False,2,61
"### || [2.195]
",000,False,000,False,False,False,2,123
"### || [2.196]
",000,False,000,False,False,False,2,213
"### || [2.197]
",000,False,000,False,False,False,2,203
"### || [2.198]
",000,False,000,False,False,False,2,19
"### || [2.199]
",000,False,000,False,False,False,2,131
"### || [2.200]
",000,False,000,False,False,False,2,181
"### || [2.201]
",000,False,000,False,False,False,2,154
"### || [2.204]
",000,False,000,False,False,False,2,228
"### || [2.205]
",000,False,000,False,False,False,2,91
"### || [2.206]
",000,False,000,False,False,False,2,117
"### || [2.208-209]
",000,False,000,False,False,False,2,109
"### || [2.210]
",000,False,000,False,False,False,2,104
"### || [2.211]
",000,False,000,False,False,False,2,112
"### || [2.212]
",000,False,000,False,False,False,2,77
"### || [2.213]
",000,False,000,False,False,False,2,294
"### || [2.214]
",000,False,000,False,False,False,2,58
"### || [2.216]
",000,False,000,False,False,False,2,172
"### || [2.217]
",000,False,000,False,False,False,2,182
"### || [2.218]
",000,False,000,False,False,False,2,68
"### || [2.219]
",000,False,000,False,False,False,2,318
"### || [2.222]
",000,False,000,False,False,False,2,188
"### || [2.223]
",000,False,000,False,False,False,2,48
"### || [2.229]
",000,False,000,False,False,False,2,43
"### || [2.238]
",000,False,000,False,False,False,2,164
"### || [2.241]
",000,False,000,False,False,False,2,20
"### || [2.245]
",000,False,000,False,False,False,2,166
"### || [2.246]
",000,False,000,False,False,False,2,57
"### || [2.249]
",000,False,000,False,False,False,2,381
"### || [2.250-251]
",000,False,000,False,False,False,2,256
"### || [2.253-255]
",000,False,000,False,False,False,2,1056
"### || [2.256]
",000,False,000,False,False,False,2,176
"### || [2.257-260]
",000,False,000,False,False,False,2,1512
"### || [2.263]
",000,False,000,False,False,False,2,66
"### || [2.264]
",000,False,000,False,False,False,2,118
"### || [2.267]
",000,False,000,False,False,False,2,59
"### || [2.268]
",000,False,000,False,False,False,2,372
"### || [2.269]
",000,False,000,False,False,False,2,633
"### || [2.270]
",000,False,000,False,False,False,2,73
"### || [2.271]
",000,False,000,False,False,False,2,77
"### || [2.272-273]
",000,False,000,False,False,False,2,848
"### || [2.274]
",000,False,000,False,False,False,2,94
"### || [2.280]
",000,False,000,False,False,False,2,150
"### || [2.281]
",000,False,000,False,False,False,2,76
"### || [2.283]
",000,False,000,False,False,False,2,47
"### || [2.284]
",000,False,000,False,False,False,2,213
"### || [2.285]
",000,False,000,False,False,False,2,323
"### || [2.286]
",000,False,000,False,False,False,2,262
"### | [3 - سورة آل عمران]
",000,False,000,False,False,False,1,26335
"### || [3.1]
",000,False,000,False,False,False,2,278
"### || [3.2-4]
",000,False,000,False,False,False,2,331
"### || [3.6]
",000,False,000,False,False,False,2,148
"### || [3.7-8]
",000,False,000,False,False,False,2,609
"### || [3.9]
",000,False,000,False,False,False,2,168
"### || [3.11]
",000,False,000,False,False,False,2,128
"### || [3.13]
",000,False,000,False,False,False,2,37
"### || [3.14]
",000,False,000,False,False,False,2,37
"### || [3.15-17]
",000,False,000,False,False,False,2,517
"### || [3.18-26]
",000,False,000,False,False,False,2,1500
"### || [3.27]
",000,False,000,False,False,False,2,250
"### || [3.28]
",000,False,000,False,False,False,2,53
"### || [3.30]
",000,False,000,False,False,False,2,450
"### || [3.31]
",000,False,000,False,False,False,2,628
"### || [3.33-37]
",000,False,000,False,False,False,2,850
"### || [3.38-41]
",000,False,000,False,False,False,2,801
"### || [3.42]
",000,False,000,False,False,False,2,76
"### || [3.43]
",000,False,000,False,False,False,2,42
"### || [3.45]
",000,False,000,False,False,False,2,50
"### || [3.46]
",000,False,000,False,False,False,2,97
"### || [3.49]
",000,False,000,False,False,False,2,105
"### || [3.53]
",000,False,000,False,False,False,2,43
"### || [3.54]
",000,False,000,False,False,False,2,92
"### || [3.55]
",000,False,000,False,False,False,2,165
"### || [3.59]
",000,False,000,False,False,False,2,145
"### || [3.60]
",000,False,000,False,False,False,2,102
"### || [3.61]
",000,False,000,False,False,False,2,53
"### || [3.64]
",000,False,000,False,False,False,2,137
"### || [3.67]
",000,False,000,False,False,False,2,42
"### || [3.68]
",000,False,000,False,False,False,2,130
"### || [3.73]
",000,False,000,False,False,False,2,72
"### || [3.74]
",000,False,000,False,False,False,2,392
"### || [3.76]
",000,False,000,False,False,False,2,180
"### || [3.77]
",000,False,000,False,False,False,2,36
"### || [3.79]
",000,False,000,False,False,False,2,712
"### || [3.80]
",000,False,000,False,False,False,2,208
"### || [3.81-82]
",000,False,000,False,False,False,2,305
"### || [3.83-84]
",000,False,000,False,False,False,2,425
"### || [3.85]
",000,False,000,False,False,False,2,110
"### || [3.86]
",000,False,000,False,False,False,2,88
"### || [3.87-89]
",000,False,000,False,False,False,2,112
"### || [3.90-93]
",000,False,000,False,False,False,2,2090
"### || [3.95]
",000,False,000,False,False,False,2,168
"### || [3.96-99]
",000,False,000,False,False,False,2,3404
"### || [3.101]
",000,False,000,False,False,False,2,615
"### || [3.102]
",000,False,000,False,False,False,2,270
"### || [3.103]
",000,False,000,False,False,False,2,728
"### || [3.106]
",000,False,000,False,False,False,2,204
"### || [3.110]
",000,False,000,False,False,False,2,93
"### || [3.123]
",000,False,000,False,False,False,2,77
"### || [3.128-131]
",000,False,000,False,False,False,2,344
"### || [3.133]
",000,False,000,False,False,False,2,152
"### || [3.135]
",000,False,000,False,False,False,2,469
"### || [3.136]
",000,False,000,False,False,False,2,137
"### || [3.138]
",000,False,000,False,False,False,2,253
"### || [3.139]
",000,False,000,False,False,False,2,103
"### || [3.144]
",000,False,000,False,False,False,2,253
"### || [3.146]
",000,False,000,False,False,False,2,141
"### || [3.147]
",000,False,000,False,False,False,2,142
"### || [3.150]
",000,False,000,False,False,False,2,56
"### || [3.152]
",000,False,000,False,False,False,2,228
"### || [3.154]
",000,False,000,False,False,False,2,131
"### || [3.159]
",000,False,000,False,False,False,2,498
"### || [3.160]
",000,False,000,False,False,False,2,194
"### || [3.161]
",000,False,000,False,False,False,2,80
"### || [3.164]
",000,False,000,False,False,False,2,120
"### || [3.169]
",000,False,000,False,False,False,2,256
"### || [3.171]
",000,False,000,False,False,False,2,53
"### || [3.172]
",000,False,000,False,False,False,2,225
"### || [3.175]
",000,False,000,False,False,False,2,140
"### || [3.176]
",000,False,000,False,False,False,2,154
"### || [3.179]
",000,False,000,False,False,False,2,290
"### || [3.180]
",000,False,000,False,False,False,2,290
"### || [3.186]
",000,False,000,False,False,False,2,166
"### || [3.187]
",000,False,000,False,False,False,2,159
"### || [3.188]
",000,False,000,False,False,False,2,122
