string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO العقد الثمين في تبيين أحكام الأئمة الهادين
",000,False,000,False,False,False,1,100892
"### || AUTO تقديم
",000,False,000,False,False,False,2,1727
"### || AUTO مقدمة المحقق
",000,False,000,False,False,False,2,3324
"### ||| AUTO كما أن غياب الحقائق الشرعية والفقهية المدونة في تراث الإمام
",000,False,000,False,False,False,3,615
"### ||| AUTO مصنفاته
",000,False,000,False,False,False,3,1705
"### ||| AUTO (وصف النسخ)
",000,False,000,False,False,False,3,768
"### ||| AUTO شكر وتقدير
",000,False,000,False,False,False,3,101
"### || AUTO [خطبة ms018 الكتاب]
",000,False,000,False,False,False,2,202
"### || AUTO [أهمية الإمامة ومكانتها في علم أصول الدين]
",000,False,000,False,False,False,2,174
"### || AUTO [اختلاف الناس في الإمامة]
",000,False,000,False,False,False,2,198
"### || AUTO [إمامة أمير المؤمنين وولديه]
",000,False,000,False,False,False,2,150
"### || AUTO [الهدف من الكتاب]
",000,False,000,False,False,False,2,4
"### || AUTO فإنا قد استغنينا بما ذكرنا عن إعادته في هذا المكان ؛ ولأن
",000,False,000,False,False,False,2,194
"### || AUTO [الخلاف في النص]
",000,False,000,False,False,False,2,160
"### || AUTO [السبأية والإمام علي]
",000,False,000,False,False,False,2,218
"### || AUTO [عقيدة الإمامية في علي عليه السلام]
",000,False,000,False,False,False,2,855
"### ||| AUTO [الرد على الإمامية في ms023 القول بالنص الجلي]
",000,False,000,False,False,False,3,684
"### ||| AUTO وأما قولهم: أنهم باهتوا فمثل ذلك يقول لهم خصومهم أنكم باهتم
",000,False,000,False,False,False,3,35
"### || AUTO وممن خالف في أمر علي عليه السلام الكاملية أصحاب أبي كامل،
",000,False,000,False,False,False,2,418
"### ||| AUTO وأما حكم المتقدمين على علي عليه السلام ومن شايعهم على ذلك:
",000,False,000,False,False,False,3,120
"### ||| AUTO [الرد على الإمامية]
",000,False,000,False,False,False,3,202
"### || AUTO [حكم المخالفين لأمير المؤمنين]
",000,False,000,False,False,False,2,550
"### || AUTO ### ||| AUTO [القول في إمامة ولد علي عليه السلام]
",000,False,000,False,False,False,2,892
"### ||| AUTO [القول في إمامة ولد علي عليه السلام]
",000,False,000,False,False,False,3,82
"### ||| AUTO [الكيسانية]
",000,False,000,False,False,False,3,265
"### ||| AUTO ومنهم من قال: غيبته لتدبير الله تعالى فيه حتى يظهره.
",000,False,000,False,False,False,3,130
"### ||| AUTO [الفرقة الكيسانية الثانية واختلافهم فيمن يخلفه بعد موته]
",000,False,000,False,False,False,3,184
"### ||| AUTO [نقض دعواهم إمامته وغيبته]
",000,False,000,False,False,False,3,23
"### ||| AUTO وأما الكلام في الغيبة فما بطل به قول الإمامية بطل به القول
",000,False,000,False,False,False,3,207
"### || AUTO وممن يعتقد ذلك فيه من الفرق المنسوبة ms032 إلى التشيع
",000,False,000,False,False,False,2,6864
"### ||| AUTO واعلم أن الخلاف واقع بين الشيعة في الإمامة بعد الحسن
",000,False,000,False,False,False,3,1028
"### ||| AUTO - ومنها: إن الأخبار المروية عن النبي صلى الله عليه وآله
",000,False,000,False,False,False,3,49
"### ||| AUTO واعلم أنا نذكر الأخبار المتعلقة بالإمامة(1)، وما يتعلق بذكر ms036
",000,False,000,False,False,False,3,713
"### ||| AUTO [الآية تقضي وجوب اتباعهم]
",000,False,000,False,False,False,3,374
"### ||| AUTO [إجماع الآل على أن الإمامة فيمن قام ودعا]
",000,False,000,False,False,False,3,1762
"### ||| AUTO [الجواب على الإمامية في تقية الباقر والصادق]
",000,False,000,False,False,False,3,113
"### ||| AUTO [حديث الثقلين]
",000,False,000,False,False,False,3,306
"### ||| AUTO ولم نذكر سند هذا الخبر بهذه الطريق إلا تبركا بذكر من ذكرنا
",000,False,000,False,False,False,3,253
"### ||| AUTO أنه قال: تركت فيكم الخليفتين من بعدي، واحتج به على إثبات
",000,False,000,False,False,False,3,558
"### ||| AUTO [بعض ما ورد عن أولاد الحسين في إمامة زيد عليه السلام]
",000,False,000,False,False,False,3,640
