string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [مقدمة الكتاب]
",000,False,000,False,False,False,1,770
"### | [المحمودون]
",000,False,000,False,False,False,1,20676
"### || (فصل لبيان أشياء مهمة أنكرت على الإمام الغزالي في مصنفاته ولم يرتضها أهل مذهبه وغيرهم من الشذوذات في متصرفاته)
",000,False,000,False,False,False,2,5114
"### | (باب الألف)
",000,False,000,False,False,False,1,12374
"### || فصل
",000,False,000,False,False,False,2,4095
"### | (باب الباء)
",000,False,000,False,False,False,1,272
"### | (باب الجيم)
",000,False,000,False,False,False,1,308
"### | (باب الحاء)
",000,False,000,False,False,False,1,3356
"### | (باب الراء)
",000,False,000,False,False,False,1,141
"### | (باب السين)
",000,False,000,False,False,False,1,871
"### | (باب الشين)
",000,False,000,False,False,False,1,323
"### | (باب الطاء)
",000,False,000,False,False,False,1,778
"### | (باب العين)
",000,False,000,False,False,False,1,16767
"### | باب الفاء
",000,False,000,False,False,False,1,626
"### | باب القاف
",000,False,000,False,False,False,1,660
"### | باب الميم
",000,False,000,False,False,False,1,383
"### | باب النون
",000,False,000,False,False,False,1,19
"### | باب الهاء
",000,False,000,False,False,False,1,41
"### | باب الياء
",000,False,000,False,False,False,1,700
"### | باب الكنى
",000,False,000,False,False,False,1,295
"### | باب النسب ونحوه
",000,False,000,False,False,False,1,213
