string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | تعريف التصريف
",000,False,000,False,False,False,1,24
"### | أنواع الأبنية
",000,False,000,False,False,False,1,16
"### | الميزان الصرفي
",000,False,000,False,False,False,1,104
"### | القلب المكاني
",000,False,000,False,False,False,1,67
"### | الصحيح والمعتل
",000,False,000,False,False,False,1,42
"### | أبنية الاسم الثلاثي المجرد
",000,False,000,False,False,False,1,53
"### | رد بعض الأبنية إلى بعض
",000,False,000,False,False,False,1,60
"### | أبنية الاسم الرباعي المجرد
",000,False,000,False,False,False,1,36
"### | أبنية الاسم الخماسي المجرد
",000,False,000,False,False,False,1,13
"### | أبنية الاسم المزيد فيه
",000,False,000,False,False,False,1,22
"### | أحوال الأبنية
",000,False,000,False,False,False,1,14
"### | الماضي
",000,False,000,False,False,False,1,42
"### | الماضي
",000,False,000,False,False,False,1,393
"### | بناء الفعل الرباعي
",000,False,000,False,False,False,1,29
"### | المضارع
",000,False,000,False,False,False,1,177
"### | الصفة المشبهة
",000,False,000,False,False,False,1,70
"### | المصدر
",000,False,000,False,False,False,1,172
"### | المصدر الميمي
",000,False,000,False,False,False,1,79
"### | اسم المرة
",000,False,000,False,False,False,1,33
"### | أسماء الزمان والمكان
",000,False,000,False,False,False,1,60
"### | اسم الالة
",000,False,000,False,False,False,1,22
"### | التصغير
",000,False,000,False,False,False,1,419
"### | النسب
",000,False,000,False,False,False,1,25
"### | الجمع 
",000,False,000,False,False,False,1,464
"### | الجمع
",000,False,000,False,False,False,1,810
"### | التقاء الساكنين
",000,False,000,False,False,False,1,222
"### | الابتداء
",000,False,000,False,False,False,1,131
"### | الوقف
",000,False,000,False,False,False,1,332
"### | المقصور والممدود
",000,False,000,False,False,False,1,136
"### | ذو الزيادة
",000,False,000,False,False,False,1,830
"### | الإمالة
",000,False,000,False,False,False,1,259
"### | تخفيف الهمزة
",000,False,000,False,False,False,1,393
"### | الإعلال ms19
",000,False,000,False,False,False,1,1202
"### | الإبدال
",000,False,000,False,False,False,1,450
"### | الإدغام
",000,False,000,False,False,False,1,606
"### | فالهاء في الحاء والعين في الحاء والحاء في الهاء والعين بقلبهما حاءين وجاء {فمن زحزح عن النار} والغين في الخاء والخاء في الغين
",000,False,000,False,False,False,1,249
"### | الحذف
",000,False,000,False,False,False,1,63
"### | وهذه مسائل ms28 التمرين
",000,False,000,False,False,False,1,322
"### | الخط
",000,False,000,False,False,False,1,943
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,8
"### | 1 - 
",000,False,000,False,False,False,1,17
"### | 2 - 
",000,False,000,False,False,False,1,15
"### | 3 - 
",000,False,000,False,False,False,1,17
"### | 4 - 
",000,False,000,False,False,False,1,15
"### | 5 - 
",000,False,000,False,False,False,1,21
"### | تعريف التصريف
",000,False,000,False,False,False,1,4
"### | 6 - 
",000,False,000,False,False,False,1,17
"### | أنواع الأبنية
",000,False,000,False,False,False,1,4
"### | 7 - 
",000,False,000,False,False,False,1,17
"### | 8 - 
",000,False,000,False,False,False,1,17
"### | الميزان الصرفي
",000,False,000,False,False,False,1,4
"### | 9 - 
",000,False,000,False,False,False,1,19
"### | 10 - 
",000,False,000,False,False,False,1,17
"### | 11 - 
",000,False,000,False,False,False,1,15
"### | 12 - 
",000,False,000,False,False,False,1,12
"### | 13 - 
",000,False,000,False,False,False,1,19
"### | 14 - 
",000,False,000,False,False,False,1,19
"### | 15 - 
",000,False,000,False,False,False,1,19
"### | 16 - 
",000,False,000,False,False,False,1,15
"### | 17 - 
",000,False,000,False,False,False,1,19
"### | 18 - 
",000,False,000,False,False,False,1,19
"### | 19 - 
",000,False,000,False,False,False,1,19
"### | 20 - 
",000,False,000,False,False,False,1,19
"### | ما يعرف به القلب
",000,False,000,False,False,False,1,8
"### | 21 - 
",000,False,000,False,False,False,1,19
"### | 22 - 
",000,False,000,False,False,False,1,13
"### | 23 - 
",000,False,000,False,False,False,1,15
"### | 24 - 
",000,False,000,False,False,False,1,11
"### | 25 - 
",000,False,000,False,False,False,1,19
"### | 26 - 
",000,False,000,False,False,False,1,21
"### | 27 - 
",000,False,000,False,False,False,1,15
"### | 28 - 
",000,False,000,False,False,False,1,15
"### | 29 - 
",000,False,000,False,False,False,1,21
"### | تقسيم الأبنية إلى صحيح ومعتل
",000,False,000,False,False,False,1,10
"### | 30 - 
",000,False,000,False,False,False,1,17
"### | 31 - 
",000,False,000,False,False,False,1,17
"### | 32 - 
",000,False,000,False,False,False,1,17
"### | 33 - 
",000,False,000,False,False,False,1,17
"### | 34 - 
",000,False,000,False,False,False,1,21
"### | 35 - 
",000,False,000,False,False,False,1,17
"### | 36 - 
",000,False,000,False,False,False,1,21
"### | أبنية الاسم الثلاثي المجرد
",000,False,000,False,False,False,1,8
"### | 37 - 
",000,False,000,False,False,False,1,19
"### | 38 - 
",000,False,000,False,False,False,1,12
"### | 39 - 
",000,False,000,False,False,False,1,21
"### | 40 - 
",000,False,000,False,False,False,1,21
"### | 41 - 
",000,False,000,False,False,False,1,23
"### | 42 - 
",000,False,000,False,False,False,1,21
"### | 43 - 
",000,False,000,False,False,False,1,21
"### | 44 - 
",000,False,000,False,False,False,1,23
"### | 45 - 
",000,False,000,False,False,False,1,25
"### | 46 - 
",000,False,000,False,False,False,1,23
"### | أبنية الاسم الرباعي المجرد
",000,False,000,False,False,False,1,8
"### | 47 - 
",000,False,000,False,False,False,1,13
"### | 48 - 
",000,False,000,False,False,False,1,19
"### | 49 - 
",000,False,000,False,False,False,1,17
"### | 50 - 
",000,False,000,False,False,False,1,17
"### | أبنية الاسم الخماسي
",000,False,000,False,False,False,1,5
"### | 51 - 
",000,False,000,False,False,False,1,12
"### | 52 - 
",000,False,000,False,False,False,1,17
"### | 53 - 
",000,False,000,False,False,False,1,15
"### | 54 - 
",000,False,000,False,False,False,1,17
"### | أحوال الأبنية
",000,False,000,False,False,False,1,4
"### | 55 - 
",000,False,000,False,False,False,1,17
"### | 56 - 
",000,False,000,False,False,False,1,13
"### | 57 - 
",000,False,000,False,False,False,1,17
"### | 58 - 
",000,False,000,False,False,False,1,15
"### | 59 - 
",000,False,000,False,False,False,1,17
"### | 60 - 
",000,False,000,False,False,False,1,17
"### | 61 - 
",000,False,000,False,False,False,1,17
"### | 62 - 
",000,False,000,False,False,False,1,21
"### | 63 - 
",000,False,000,False,False,False,1,11
"### | أبنية الفعل الماضي
",000,False,000,False,False,False,1,5
"### | 64 - 
",000,False,000,False,False,False,1,15
"### | 65 - 
",000,False,000,False,False,False,1,14
"### | 66 - 
",000,False,000,False,False,False,1,19
"### | 67 - 
",000,False,000,False,False,False,1,17
"### | 68 - 
",000,False,000,False,False,False,1,17
"### | 69 - 
",000,False,000,False,False,False,1,17
"### | 70 - 
",000,False,000,False,False,False,1,17
"### | 71 - 
",000,False,000,False,False,False,1,15
"### | 72 - 
",000,False,000,False,False,False,1,17
"### | 73 - 
",000,False,000,False,False,False,1,17
"### | 74 - 
",000,False,000,False,False,False,1,17
"### | 75 - 
",000,False,000,False,False,False,1,21
"### | 76 - 
",000,False,000,False,False,False,1,12
"### | معاني الصيغ
",000,False,000,False,False,False,1,6
"### | 77 - 
",000,False,000,False,False,False,1,13
"### | 78 - 
",000,False,000,False,False,False,1,19
"### | 79 - 
",000,False,000,False,False,False,1,23
"### | 80 - 
",000,False,000,False,False,False,1,13
"### | 81 - 
",000,False,000,False,False,False,1,19
"### | 2 - 
",000,False,000,False,False,False,1,15
"### | 3 - 
",000,False,000,False,False,False,1,19
"### | 4 - 
",000,False,000,False,False,False,1,15
"### | 85 - 
",000,False,000,False,False,False,1,21
"### | 6 - 
",000,False,000,False,False,False,1,21
"### | 7 - 
",000,False,000,False,False,False,1,21
"### | 8 - 
",000,False,000,False,False,False,1,14
"### | 89 - 
",000,False,000,False,False,False,1,19
"### | 90 - 
",000,False,000,False,False,False,1,19
"### | 91 - 
",000,False,000,False,False,False,1,21
"### | 92 - 
",000,False,000,False,False,False,1,19
"### | 93 - 
",000,False,000,False,False,False,1,11
"### | 94 - 
",000,False,000,False,False,False,1,13
"### | 95 - 
",000,False,000,False,False,False,1,15
"### | 96 - 
",000,False,000,False,False,False,1,15
"### | 97 - 
",000,False,000,False,False,False,1,17
"### | 98 - 
",000,False,000,False,False,False,1,14
"### | 99 - 
",000,False,000,False,False,False,1,17
"### | 100 - 
",000,False,000,False,False,False,1,15
"### | 101 - 
",000,False,000,False,False,False,1,17
"### | 102 - 
",000,False,000,False,False,False,1,19
"### | 103 - 
",000,False,000,False,False,False,1,19
"### | 104 - 
",000,False,000,False,False,False,1,13
"### | 105 - 
",000,False,000,False,False,False,1,15
"### | 106 - 
",000,False,000,False,False,False,1,21
"### | 107 - 
",000,False,000,False,False,False,1,19
"### | 108 - 
",000,False,000,False,False,False,1,11
"### | 109 - 
",000,False,000,False,False,False,1,12
"### | 110 - 
",000,False,000,False,False,False,1,13
"### | 111 - 
",000,False,000,False,False,False,1,15
"### | 112 - 
",000,False,000,False,False,False,1,13
"### | 113 - 
",000,False,000,False,False,False,1,17
"### | 114 - 
",000,False,000,False,False,False,1,13
"### | 115 - 
",000,False,000,False,False,False,1,17
"### | 116 - 
",000,False,000,False,False,False,1,15
"### | 117 - 
",000,False,000,False,False,False,1,14
"### | 118 - 
",000,False,000,False,False,False,1,15
"### | 119 - 
",000,False,000,False,False,False,1,19
"### | 120 - 
",000,False,000,False,False,False,1,21
"### | 121 - 
",000,False,000,False,False,False,1,12
"### | 122 - 
",000,False,000,False,False,False,1,15
"### | 123 - 
",000,False,000,False,False,False,1,17
"### | 124 - 
",000,False,000,False,False,False,1,15
"### | 125 - 
",000,False,000,False,False,False,1,11
"### | أبنية الفعل الرباعي
",000,False,000,False,False,False,1,5
"### | 126 - 
",000,False,000,False,False,False,1,11
"### | 127 - 
",000,False,000,False,False,False,1,15
"### | 128 - 
",000,False,000,False,False,False,1,17
"### | المضارع
",000,False,000,False,False,False,1,2
"### | 129 - 
",000,False,000,False,False,False,1,15
"### | 130 - 
",000,False,000,False,False,False,1,21
"### | 131 - 
",000,False,000,False,False,False,1,23
"### | 132 - 
",000,False,000,False,False,False,1,19
"### | 133 - 
",000,False,000,False,False,False,1,19
"### | 134 - 
",000,False,000,False,False,False,1,21
"### | 135 - 
",000,False,000,False,False,False,1,19
