string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | ( حرف الألف )
",000,False,000,False,False,False,1,4
"### | ( من اسمه أحمد )
",000,False,000,False,False,False,1,10843
"### | ( من اسمه إبراهيم )
",000,False,000,False,False,False,1,2942
"### | ( من اسمه إسماعيل )
",000,False,000,False,False,False,1,163
"### | ( وفي الأفراد )
",000,False,000,False,False,False,1,144
"### | ( حرف الجيم )
",000,False,000,False,False,False,1,4
"### | ( من اسمه جعفر )
",000,False,000,False,False,False,1,631
"### | ( حرف الحاء )
",000,False,000,False,False,False,1,4
"### | ( من اسمه حسن )
",000,False,000,False,False,False,1,1235
"### | ( من اسمه حسين )
",000,False,000,False,False,False,1,905
"### | ( حرف الخاء )
",000,False,000,False,False,False,1,4
"### | ( من اسمه خلف )
",000,False,000,False,False,False,1,747
"### | ( وفي الأفراد )
",000,False,000,False,False,False,1,325
"### | ( حرف الراء )
",000,False,000,False,False,False,1,64
"### | ( حرف الزاي )
",000,False,000,False,False,False,1,713
"### | ( حرف الطاء )
",000,False,000,False,False,False,1,4
"### | ( من اسمه طاهر )
",000,False,000,False,False,False,1,462
"### | ( وفي الأفراد )
",000,False,000,False,False,False,1,57
"### | ( حرف الظاء )
",000,False,000,False,False,False,1,189
"### | ( حرف اللام )
",000,False,000,False,False,False,1,76
"### | ( حرف الميم )
",000,False,000,False,False,False,1,4
"### | ( من اسمه محمد )
",000,False,000,False,False,False,1,21897
"### | ( من اسمه مروان )
",000,False,000,False,False,False,1,1031
"### | ( الأفراد )
",000,False,000,False,False,False,1,635
"### | ( حرف النون )
",000,False,000,False,False,False,1,4
"### | ( من اسمه نصر )
",000,False,000,False,False,False,1,529
"### | ( حرف العين )
",000,False,000,False,False,False,1,4
"### | ( من اسمه عبد الله )
",000,False,000,False,False,False,1,6222
"### | ( من اسمه عبيد الله )
",000,False,000,False,False,False,1,3720
"### | ( من اسمه عبد الرحيم )
",000,False,000,False,False,False,1,2941
"### | ( من اسمه عبد الحق )
",000,False,000,False,False,False,1,1295
"### | ( من اسمه عبد الجليل )
",000,False,000,False,False,False,1,433
"### | ( الأفراد )
",000,False,000,False,False,False,1,1089
"### | ( من اسمه علي )
",000,False,000,False,False,False,1,4457
"### | ( من اسمه عتيق )
",000,False,000,False,False,False,1,423
"### | ( الأفراد في حرف العين )
",000,False,000,False,False,False,1,1542
"### | ( حرف الفا )
",000,False,000,False,False,False,1,185
"### | ( حرف القاف )
",000,False,000,False,False,False,1,31
"### | ( وممن عرف بكنيته )
",000,False,000,False,False,False,1,51
"### | ( حرف السين )
",000,False,000,False,False,False,1,4
"### | ( من اسمه سليمن )
",000,False,000,False,False,False,1,607
"### | ( من اسمه سعيد )
",000,False,000,False,False,False,1,140
"### | ( الأفراد )
",000,False,000,False,False,False,1,678
"### | ( حرف الياء )
",000,False,000,False,False,False,1,4
"### | ( من اسمه يحيى )
",000,False,000,False,False,False,1,981
"### | ( من اسمه يوسف )
",000,False,000,False,False,False,1,1348
"### | ( ( * ) الأفراد )
",000,False,000,False,False,False,1,1123
