string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | القسم الأول تاريخ العرب المبلبلة البائدة
",000,False,000,False,False,False,1,3526
"### || تاريخ ثمود بن حاثر بن إرم بن سام
",000,False,000,False,False,False,2,114
"### || قصص صالح النبي عليه السلام مع ثمود حتى أهلكهم الله
",000,False,000,False,False,False,2,475
"### || تاريخ طسم وجديس ابني حام الأصغر بن سام
",000,False,000,False,False,False,2,359
"### || ما وقع في أمثال أبي عبيدة مما له تعلق بطسم
",000,False,000,False,False,False,2,114
"### || تاريخ العمالقة
",000,False,000,False,False,False,2,1750
"### ||| من له ذكر بالحجاز
",000,False,000,False,False,False,3,562
"### |||| عمليق
",000,False,000,False,False,False,4,76
"### |||| السميدع بن لاوذ بن عمليق
",000,False,000,False,False,False,4,492
"### ||| من له ذكر من العمالقة بأرياف العراق
",000,False,000,False,False,False,3,49
"### |||| أباغ بن قطورا بن هوبر العمليقي
",000,False,000,False,False,False,4,51
"### ||| من اشتهر من العمالقة بمشارق الشام
",000,False,000,False,False,False,3,1069
"### |||| عمرو بن ظرب 
",000,False,000,False,False,False,4,75
"### |||| [الزباء]
",000,False,000,False,False,False,4,1006
"### || تاريخ أميم بن لاود بن سام
",000,False,000,False,False,False,2,375
"### || تاريخ جرهم الأولى
",000,False,000,False,False,False,2,175
"### ||| الأسعد بن سعد الجرهمي
",000,False,000,False,False,False,3,117
"### | مقدمة في العرب الباقية قبل ذكر القسمين المشتملين عليهما ونسق تاريخهما
",000,False,000,False,False,False,1,1480
"### | القسم الثاني تاريخ الغرب العاربة وهم القحطانية في حال الجاهلية
",000,False,000,False,False,False,1,25153
"### || قحطان بن هود عليه السرم
",000,False,000,False,False,False,2,82
"### || يعرب بن قحطان
",000,False,000,False,False,False,2,556
"### || دولة التبابعة وهم اليمانية الخالصة من بني يعرب
",000,False,000,False,False,False,2,7477
"### ||| يمن بن يعرب
",000,False,000,False,False,False,3,53
"### ||| عبد شمس بن يشجب
",000,False,000,False,False,False,3,280
"### ||| حمير بن سبأ
",000,False,000,False,False,False,3,134
"### ||| واثل بن حمير
",000,False,000,False,False,False,3,200
"### ||| السكسك بن واثل
",000,False,000,False,False,False,3,114
"### ||| يعفر بن السكسك
",000,False,000,False,False,False,3,33
"### ||| ذو رياش عامر بن باران بن عوف بن حمير
",000,False,000,False,False,False,3,147
"### ||| النعمان بن يعفر
",000,False,000,False,False,False,3,232
"### ||| أسمح بن المعافر
",000,False,000,False,False,False,3,68
"### ||| شداد بن عاد
",000,False,000,False,False,False,3,387
"### ||| أخوه لقمان بن عاد
",000,False,000,False,False,False,3,441
"### ||| ذو شدد بن عاد
",000,False,000,False,False,False,3,27
"### ||| ابنه الرائش الحارث بن ذي شدد
",000,False,000,False,False,False,3,262
"### ||| ابنه ذو القرنين الصعب بن الرائش
",000,False,000,False,False,False,3,1178
"### ||| ابنه ذو المنار أبرهة بن ذي القرنين
",000,False,000,False,False,False,3,272
"### ||| أخوه ذو الأشعار العبد بن ذي المنار
",000,False,000,False,False,False,3,35
"### ||| أخوه ذو الأذعار عمرو بن ذي المنار
",000,False,000,False,False,False,3,142
"### ||| شر حبيل بن عمرو بن غالب
",000,False,000,False,False,False,3,53
"### ||| ابنه الهدهاد بن شر حبيل
",000,False,000,False,False,False,3,63
"### ||| بنته بلقيس بنت الهدهاد
",000,False,000,False,False,False,3,956
"### ||| إرخيعم بن بلقيس
",000,False,000,False,False,False,3,145
"### ||| ناشر النعم
",000,False,000,False,False,False,3,215
"### ||| ابنه شمرير عش بن ناشر النعم
",000,False,000,False,False,False,3,906
"### ||| ابنه صيفي بن شمر
",000,False,000,False,False,False,3,121
"### ||| عمران بن عامر بن حارثة
",000,False,000,False,False,False,3,217
"### ||| أخوه مزيقيا عمرو بن عامر الأزدي
",000,False,000,False,False,False,3,701
"### || ملوك الطوائف باليمن
",000,False,000,False,False,False,2,1847
"### ||| مالك بن النعمان
",000,False,000,False,False,False,3,27
"### ||| ربيعة بن نصر اللخمي
",000,False,000,False,False,False,3,150
"### ||| تبع أسعد بن عدي بن صيفي
",000,False,000,False,False,False,3,515
"### ||| ابنه حسان بن أسعد
",000,False,000,False,False,False,3,187
"### ||| أخوه عمرو بن ms051 أسعد
",000,False,000,False,False,False,3,218
"### ||| عبد كلال بن مثوب الحميري
",000,False,000,False,False,False,3,132
"### ||| تبع بن حسان بن أسعد
",000,False,000,False,False,False,3,147
"### ||| مرثد بن عبد كلال الحميري
",000,False,000,False,False,False,3,33
"### ||| وليعة بن مرثد
",000,False,000,False,False,False,3,21
"### ||| أبرهة بن الصباح الحميري
",000,False,000,False,False,False,3,16
"### ||| حسان بن عمرو بن أسعد
",000,False,000,False,False,False,3,36
"### ||| ذو شناتر الحميري
",000,False,000,False,False,False,3,67
"### ||| ذو نواس أسعد بن تبان
",000,False,000,False,False,False,3,164
"### ||| ذو جدن الحميري
",000,False,000,False,False,False,3,145
"### || تغلب الحبشة على اليمن وانقراض ملك حمير إلى أن رجع ثم ذهب وما آلت إليه اليمن إلى أن جاء الإسلام
",000,False,000,False,False,False,2,702
"### ||| سيف بن ذي يزن
",000,False,000,False,False,False,3,493
"### || من له من حمير ذكر في الجاهلية من غير عمود سلطنة اليمن
",000,False,000,False,False,False,2,301
"### ||| بنو هزان بن يعفر
",000,False,000,False,False,False,3,47
"### ||| جعفر بن قرط الهزاني
",000,False,000,False,False,False,3,221
"### ||| الأعقب بن هزان
",000,False,000,False,False,False,3,39
"### || بنو همدان
",000,False,000,False,False,False,2,190
"### ||| أفعى نجران ملكها
",000,False,000,False,False,False,3,108
"### ||| عمه القلمس بن همدان
",000,False,000,False,False,False,3,88
"### || قضاعة بن مالك بن حمير
",000,False,000,False,False,False,2,205
"### ||| إلحاف بن قضاعة
",000,False,000,False,False,False,3,11
"### ||| مالك بن إلحاف
",000,False,000,False,False,False,3,109
"### || كلب بن وبرة
",000,False,000,False,False,False,2,411
"### ||| زهير بن جناب الكلبي
",000,False,000,False,False,False,3,122
"### ||| زهير بن شريك الكلبي
",000,False,000,False,False,False,3,57
"### ||| عمرو بن حذام الكلب
",000,False,000,False,False,False,3,56
"### ||| حارثة بن شراحيل الكلبي
",000,False,000,False,False,False,3,140
"### || جهينة
",000,False,000,False,False,False,2,105
"### ||| عبد الشارق بن عبد العزى الجهني
",000,False,000,False,False,False,3,57
"### || تنوخ
",000,False,000,False,False,False,2,55
"### || بنو سليح
",000,False,000,False,False,False,2,58
"### || بنو نهد
",000,False,000,False,False,False,2,146
"### ||| الصقعب بن عمرو النهدي
",000,False,000,False,False,False,3,145
"### || بنو العبيد
",000,False,000,False,False,False,2,436
"### ||| الضيزن بن معاوية بن العبيد
",000,False,000,False,False,False,3,395
"### || تاريخ بني كهلان بن سبأ إخوة حمير
",000,False,000,False,False,False,2,8236
"### ||| تاريخ الأزد
",000,False,000,False,False,False,3,110
"### ||| من له ذكر في الجاهلية من الأوس والخزرج ويعرف من أسلم منهم بالأنصار
",000,False,000,False,False,False,3,1162
"### |||| عمرو بن الإطنابة الخزرجي
",000,False,000,False,False,False,4,83
"### |||| أحيحة بن الجلاح الأوسي
",000,False,000,False,False,False,4,124
"### |||| قيس بن الخطيم الأوسي
",000,False,000,False,False,False,4,388
"### |||| أبو صرمة الخزرجي
",000,False,000,False,False,False,4,57
"### |||| ثابت بن المنذر بن حرام
",000,False,000,False,False,False,4,88
"### |||| الفريعة بنت خالد الخزرجية
",000,False,000,False,False,False,4,130
"### |||| فاطمة بنت الأحجم الخزرجية
",000,False,000,False,False,False,4,112
"### ||| ملوك عرب الشام الغسانيين
",000,False,000,False,False,False,3,991
"### |||| جفنة بن عامر مزيقيا الأزدي
",000,False,000,False,False,False,4,57
"### |||| عمرو بن جفنة
",000,False,000,False,False,False,4,17
"### |||| ثعلبة بن عمرو
",000,False,000,False,False,False,4,15
"### |||| الحارث بن ثعلبة
",000,False,000,False,False,False,4,10
"### |||| جبلة بن الحارث </span>
",000,False,000,False,False,False,4,13
"### |||| الحارث بن جبلة
",000,False,000,False,False,False,4,16
"### |||| المنذر بن الحارث
",000,False,000,False,False,False,4,9
"### |||| النعمان بن الحارث
",000,False,000,False,False,False,4,9
"### |||| جبلة بن الحارث
",000,False,000,False,False,False,4,9
"### |||| الأيهم بن الحارث
",000,False,000,False,False,False,4,13
"### |||| عمرو بن الحارث
",000,False,000,False,False,False,4,10
"### |||| جفنة بن المنذر الأكبر ms069 بن الحارث
",000,False,000,False,False,False,4,35
"### |||| النعمان الأصغر
",000,False,000,False,False,False,4,18
"### |||| النعمان بن عمرو بن المنذر
",000,False,000,False,False,False,4,48
"### |||| جبلة بن النعمان
",000,False,000,False,False,False,4,48
"### |||| النعمان بن الأيهم بن الحارث بن مارية
",000,False,000,False,False,False,4,11
"### |||| الحارث بن الأيهم
",000,False,000,False,False,False,4,9
"### |||| النعمان بن الحارث
",000,False,000,False,False,False,4,9
"### |||| المنذر بن النعمان
",000,False,000,False,False,False,4,9
"### |||| عمرو بن النعمان
",000,False,000,False,False,False,4,9
"### |||| حجر بن النعمان
",000,False,000,False,False,False,4,10
"### |||| جبلة بن الحارث </span>
",000,False,000,False,False,False,4,17
"### |||| أبو كرب النعمان بن الحارث
",000,False,000,False,False,False,4,45
"### |||| الأيهم بن جبلة بن الحارث
",000,False,000,False,False,False,4,19
"### |||| المنذر بن جبلة
",000,False,000,False,False,False,4,10
"### |||| إسرافيل بن جبلة
",000,False,000,False,False,False,4,9
"### |||| عمرو بن جبلة
",000,False,000,False,False,False,4,11
"### |||| جبلة بن الحارث
",000,False,000,False,False,False,4,7
"### |||| جبلة بن الأيهم
",000,False,000,False,False,False,4,470
"### ||| خزاعة
",000,False,000,False,False,False,3,907
"### |||| عمرو بن لحي
",000,False,000,False,False,False,4,493
"### |||| أبي غبشان الخزاعي
",000,False,000,False,False,False,4,211
"### |||| مطرود بن سعد بن كعب الخزاعي
",000,False,000,False,False,False,4,47
"### ||| بارق
",000,False,000,False,False,False,3,77
"### |||| معقر بن حمار البارقي
",000,False,000,False,False,False,4,52
"### ||| دوس
",000,False,000,False,False,False,3,317
"### |||| مالك بن فهم
",000,False,000,False,False,False,4,113
"### |||| جهضم بن مالك
",000,False,000,False,False,False,4,68
"### ||| العيتك وغافق
",000,False,000,False,False,False,3,15
"### ||| بنو نصر بن الأزد
",000,False,000,False,False,False,3,83
"### |||| بنو الجلندا
",000,False,000,False,False,False,4,75
"### ||| تاريخ طيء
",000,False,000,False,False,False,3,1638
"### |||| حاتم بن عبد الله بن سعد
",000,False,000,False,False,False,4,722
"### |||| أبوه عبد الله بن سعد
",000,False,000,False,False,False,4,76
"### |||| وأمه عنبة أم حاتم
",000,False,000,False,False,False,4,87
"### |||| أوس بن حارثة بن لأم
",000,False,000,False,False,False,4,284
"### |||| الهذيل بن مشجعة البولاني
",000,False,000,False,False,False,4,65
"### |||| البرج بن مسهر الطائي
",000,False,000,False,False,False,4,149
"### |||| نفر الطائي
",000,False,000,False,False,False,4,36
"### |||| سيار بن الفحل الطائي
",000,False,000,False,False,False,4,62
"### |||| عارق بن أمامة الطائي
",000,False,000,False,False,False,4,66
"### |||| حاجر بن ثعلبة الطائي
",000,False,000,False,False,False,4,44
"### ||| تاريخ مذحج
",000,False,000,False,False,False,3,411
"### |||| عبد يغوث بن صلاءة بن الحارث
",000,False,000,False,False,False,4,221
"### |||| سعد العشيرة
",000,False,000,False,False,False,4,45
"### |||| خولان
",000,False,000,False,False,False,4,22
"### |||| زبيد
",000,False,000,False,False,False,4,31
"### ||| أود بن صعب بن سعد العشيرة
",000,False,000,False,False,False,3,106
"### |||| الأفوه الأودي
",000,False,000,False,False,False,4,22
"### |||| عنس
",000,False,000,False,False,False,4,36
"### |||| الأسود الكذاب
",000,False,000,False,False,False,4,50
"### ||| همدان
",000,False,000,False,False,False,3,37
"### ||| تاريخ كندة
",000,False,000,False,False,False,3,2267
"### |||| حجر آكل المرار
",000,False,000,False,False,False,4,62
"### |||| عمرو بن حجر
",000,False,000,False,False,False,4,28
"### |||| الحارث المقصور بن عمرو
",000,False,000,False,False,False,4,232
"### |||| حجر بن الحارث
",000,False,000,False,False,False,4,144
"### |||| امرؤ القيس بن حجر
",000,False,000,False,False,False,4,1697
"### |||| معدي كرب بن جبلة
",000,False,000,False,False,False,4,20
"### |||| قيس بن معدي كرب
",000,False,000,False,False,False,4,19
"### ||| مراد
",000,False,000,False,False,False,3,20
"### ||| أنمار
",000,False,000,False,False,False,3,52
"### ||| خثعم
",000,False,000,False,False,False,3,49
"### |||| نفيل بن حبيب
",000,False,000,False,False,False,4,52
"### ||| بجيلة
",000,False,000,False,False,False,3,19
"### || من له ذكر في هذا الكتاب من سبأ بن يشجب بن يعرب من غير فرعي حمير وكهلان
",000,False,000,False,False,False,2,4302
"### ||| تاريخ لخم
",000,False,000,False,False,False,3,50
"### ||| بنو نصر ملوك الحيرة
",000,False,000,False,False,False,3,2263
"### |||| عمرو بن عدي بن نصر اللخمي
",000,False,000,False,False,False,4,322
"### |||| امرؤ القيس بن عمرو
",000,False,000,False,False,False,4,63
"### |||| عمرو بن امرئ القيس
",000,False,000,False,False,False,4,35
"### |||| امرؤ القيس بن عمرو بن امرئ القيس
",000,False,000,False,False,False,4,88
"### |||| النعمان بن امرئ القيس
",000,False,000,False,False,False,4,307
"### |||| المنذر بن النعمان
",000,False,000,False,False,False,4,48
"### |||| الأسود بن المنذر
",000,False,000,False,False,False,4,17
"### |||| المنذر بن المنذر
",000,False,000,False,False,False,4,17
"### |||| النعمان بن ms096 الأسود
",000,False,000,False,False,False,4,27
"### |||| أبو يعفر بن علقمة الذميلي
",000,False,000,False,False,False,4,19
"### |||| امرؤ القيس بن النعمان الأعور السائح
",000,False,000,False,False,False,4,41
"### |||| المنذر بن امرئ القيس
",000,False,000,False,False,False,4,196
"### |||| عمرو بن هند
",000,False,000,False,False,False,4,154
"### |||| قابوس بن المنذر
",000,False,000,False,False,False,4,95
"### |||| المنذر بن المنذر
",000,False,000,False,False,False,4,30
"### |||| النعمان بن المنذر أبو قابوس
",000,False,000,False,False,False,4,687
"### |||| إياس بن قبيصة الطائي
",000,False,000,False,False,False,4,177
"### ||| تاريخ جرهم الثانية
",000,False,000,False,False,False,3,1371
"### |||| نفيلة ms101 بن عبد المدان
",000,False,000,False,False,False,4,95
"### |||| عبد المسيح بن نفيلة
",000,False,000,False,False,False,4,72
"### |||| مضاض بن عبد المسيح
",000,False,000,False,False,False,4,42
"### |||| عمرو بن مضاض
",000,False,000,False,False,False,4,218
"### |||| الحارث بن مضاض
",000,False,000,False,False,False,4,900
"### |||| عمرو بن الحارث
",000,False,000,False,False,False,4,23
"### |||| بشر بن الحارث
",000,False,000,False,False,False,4,45
"### ||| أتباع هذه الدولة الجرهمية من أبناء الملوك
",000,False,000,False,False,False,3,598
"### |||| مضاض بن عمرو بن مضاض الجرهمي
",000,False,000,False,False,False,4,265
"### |||| ابنة عمه مي بنت مهلهل الجرهمية
",000,False,000,False,False,False,4,218
"### |||| أبو قبيس بن شارج الجرهمي
",000,False,000,False,False,False,4,118
"### | القسم الثالث تاريخ العرب المستعربة
",000,False,000,False,False,False,1,32960
"### || دخول الخليل عليه السلام أرض العرب وما يتصل منه بذكر ابنه إسماعيل وتناسل العرب المستعربة منه
",000,False,000,False,False,False,2,1809
"### ||| قيدار بن إسماعيل
",000,False,000,False,False,False,3,216
"### ||| نبت بن قيدار
",000,False,000,False,False,False,3,140
"### ||| الهميسع بن نبت
",000,False,000,False,False,False,3,236
"### ||| أدد بن الهميسع
",000,False,000,False,False,False,3,96
"### ||| عدنان بن أدد
",000,False,000,False,False,False,3,83
"### ||| معد بن عدنان
",000,False,000,False,False,False,3,254
"### ||| قنص بن معد بن عدنان
",000,False,000,False,False,False,3,242
"### ||| نزار بن معد
",000,False,000,False,False,False,3,418
"### ||| تفرق بني نزار من الحرم
",000,False,000,False,False,False,3,144
"### || تاريخ المضرية
",000,False,000,False,False,False,2,24891
"### ||| تاريخ خندف
",000,False,000,False,False,False,3,25
"### ||| تاريخ مدركة بن خندف
",000,False,000,False,False,False,3,22
"### ||| تاريخ خزيمة بن مدركة
",000,False,000,False,False,False,3,20
"### ||| تاريخ كنانة
",000,False,000,False,False,False,3,27
"### ||| تاريخ قريش
",000,False,000,False,False,False,3,610
"### |||| قصي بن كلاب
",000,False,000,False,False,False,4,467
"### ||| تاريخ قريش البطاح
",000,False,000,False,False,False,3,137
"### ||| تاريخ بني عبد مناف بن قصي
",000,False,000,False,False,False,3,399
"### ||| ذكر هاشم بن عبد مناف وعقبه
",000,False,000,False,False,False,3,1515
"### |||| عبد المطلب بن هاشم
",000,False,000,False,False,False,4,274
"### |||| ذكر بني عبد المطلب
",000,False,000,False,False,False,4,1113
"### ||||| عبد الله بن عبد المطلب
",000,False,000,False,False,False,5,60
"### ||||| الزبير بن عبد المطلب
",000,False,000,False,False,False,5,196
"### ||||| أبو طالب عبد مناف بن عبد المطلب
",000,False,000,False,False,False,5,324
"### ||||| طالب بن أبي طالب
",000,False,000,False,False,False,5,92
"### ||||| أبو لهب عبد العزى بن عبد المطلب
",000,False,000,False,False,False,5,315
"### ||| ذكر عبد شمس بن عبد مناف وولده
",000,False,000,False,False,False,3,682
"### |||| حرب بن أمية بن عبد شمس
",000,False,000,False,False,False,4,201
"### |||| أم جميل بنت حرب
",000,False,000,False,False,False,4,104
"### |||| عقبة بن أبي معيط
",000,False,000,False,False,False,4,121
"### |||| أبو أحيحة سعيد بن العاص بن أمية
",000,False,000,False,False,False,4,54
"### |||| عتبة بن ربيعة
",000,False,000,False,False,False,4,113
"### |||| أخوه شيبة بن ربيعة
",000,False,000,False,False,False,4,70
"### ||| بنو نوفل بن عبد المطلب
",000,False,000,False,False,False,3,112
"### |||| المطعم بن عدي بن نوفل
",000,False,000,False,False,False,4,100
"### ||| بنو عبد الدار بن قصي بن كلاب
",000,False,000,False,False,False,3,259
"### |||| النضر بن الحارث بن كلدة
",000,False,000,False,False,False,4,127
"### ||| بنو أسد بن عبد العزى
",000,False,000,False,False,False,3,393
"### |||| عثمان بن الحويرث بن أسد
",000,False,000,False,False,False,4,106
"### |||| الأسود بن المطلب بن أسد
",000,False,000,False,False,False,4,134
"### |||| ورقة بن نوفل بن أسد
",000,False,000,False,False,False,4,142
"### ||| تراجم بني كعب بن لؤي بن غالب الذين تقدمت عليهم الإحالة في قريش البطاح
",000,False,000,False,False,False,3,1738
"### |||| بنو تيم بن مرة بن كعب
",000,False,000,False,False,False,4,259
"### ||||| عبد الله بن جدعان
",000,False,000,False,False,False,5,242
"### |||| بنو مخزوم بن يقظة بن مرة بن كعب
",000,False,000,False,False,False,4,902
"### ||||| الوليد بن المغيرة
",000,False,000,False,False,False,5,220
"### ||||| ابنه عمارة بن الوليد
",000,False,000,False,False,False,5,230
"### ||||| أبو جهل عمرو بن هشام بن المغيرة المخزومي
",000,False,000,False,False,False,5,342
"### ||||| هبيرة بن أبي وهب
",000,False,000,False,False,False,5,116
"### |||| بنو عدي بن كعب
",000,False,000,False,False,False,4,138
"### ||||| زيد بن عمرو بن نفيل بن عبد العزى
",000,False,000,False,False,False,5,135
"### |||| بنو جمح بن عمرو بن هصيص بن كعب
",000,False,000,False,False,False,4,201
