string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,331
"### | : «الراحمون يرحمهم الرحمن , ارحموا أهل الأرض يرحمكم من في السماء» .
",000,False,000,False,False,False,1,79
"### | 2 - 
",000,False,000,False,False,False,1,124
"### | أحسن الناس , وأجود الناس , وأشجع الناس»
",000,False,000,False,False,False,1,7
"### | 3 - 
",000,False,000,False,False,False,1,179
"### | أجمل الناس وجها , وأجود الناس كفا , وأشجع الناس قلبا , خرج وقد فزع أهل المدينة فركب فرسا 
",000,False,000,False,False,False,1,29
"### | 4 - 
",000,False,000,False,False,False,1,40
"### | : «من كان حالفا فلا يحلف إلا بالله , وكانت قريش تحلف بآبائها» فقال: «لا تحلفوا بآبائكم» .
",000,False,000,False,False,False,1,166
"### | .... 
",000,False,000,False,False,False,1,8
"### | 5 - 
",000,False,000,False,False,False,1,180
"### | مثلي ومثل الأنبياء كرجل بنى دارا فأكملها وأحسنها إلا موضع لبنة فجعل الناس يدخلونها 
",000,False,000,False,False,False,1,36
"### | 6 - 
",000,False,000,False,False,False,1,189
"### | : «الخالة بمنزلة الأم» , وقال لعلي: «أنت مني وأنا منك» , وقال لجعفر: «أشبهت خلقي وخلقي» , وقال 
",000,False,000,False,False,False,1,79
"### | 7 - 
",000,False,000,False,False,False,1,93
"### | 
",000,False,000,False,False,False,1,0
"### | : السلام عليكم فرد عليه , ثم جلس فقال النبي صلى الله عليه وسلم: «عشر» , ثم جاء آخر فقال 
",000,False,000,False,False,False,1,83
"### | 8 - 
",000,False,000,False,False,False,1,103
"### | : السلام عليكم فرد عليه , ثم جلس فقال النبي صلى الله عليه وسلم: «عشر» , ثم جاء آخر فقال: 
",000,False,000,False,False,False,1,126
"### | 9 - 
",000,False,000,False,False,False,1,191
"### | : «من جر إزاره لا يريد بذلك إلا المخيلة لم ينظر الله إليه»
",000,False,000,False,False,False,1,12
"### | 10 - 
",000,False,000,False,False,False,1,20
"### | : «من جر ثوبا من ثيابه من مخيلة فإن الله لا ينظر إليه» .
",000,False,000,False,False,False,1,34
"### | 11 - 
",000,False,000,False,False,False,1,285
"### | : استغفر لك رسول الله صلى الله عليه وسلم؟ قال: نعم , ولكم ثم تلا الآية: {واستغفر لذنبك 
",000,False,000,False,False,False,1,68
"### | 12 - 
",000,False,000,False,False,False,1,91
"### | .... 
",000,False,000,False,False,False,1,123
"### | : «ادن بني , وسم الله , وكل بيمينك , وكل مما يليك» .
",000,False,000,False,False,False,1,21
"### | 13 - 
",000,False,000,False,False,False,1,120
"### | 14 - 
",000,False,000,False,False,False,1,54
"### | .... 
",000,False,000,False,False,False,1,147
"### | : "" إذا أخذ أحدكم مضجعه يقول: «اللهم إليك أسلمت نفسي , وإليك وجهت وجهي , وإليك فوضت أمري 
",000,False,000,False,False,False,1,82
"### | 15 - 
",000,False,000,False,False,False,1,164
"### | يصبح جنبا من الوقاع لا من احتلام , ثم يتم صومه» .
",000,False,000,False,False,False,1,106
"### | 16 - 
",000,False,000,False,False,False,1,180
"### | : «ليس على المرء المسلم في فرسه ولا مملوكه صدقة» .
",000,False,000,False,False,False,1,83
"### | 17 - 
",000,False,000,False,False,False,1,193
"### | «نهى عن متعة النساء يوم خيبر , وعن أكل لحوم الحمر الإنسية» .
",000,False,000,False,False,False,1,604
"### | ............... 
",000,False,000,False,False,False,1,132
"### | .... 
",000,False,000,False,False,False,1,10
"### | 18 - 
",000,False,000,False,False,False,1,160
"### | : «تدرون ما الإيمان بالله؟» قالوا: الله ورسوله أعلم , قال: «شهادة أن لا إله إلا الله , وأن 
",000,False,000,False,False,False,1,95
"### | ...... 
",000,False,000,False,False,False,1,76
"### | .... 
",000,False,000,False,False,False,1,18
