string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,265
"### | فصل
",000,False,000,False,False,False,1,63
"### | فصل
",000,False,000,False,False,False,1,572
"### | فصل
",000,False,000,False,False,False,1,248
"### | فصل
",000,False,000,False,False,False,1,258
"### | فصل
",000,False,000,False,False,False,1,134
"### | فصل
",000,False,000,False,False,False,1,174
"### | فصل
",000,False,000,False,False,False,1,112
"### | فصل
",000,False,000,False,False,False,1,29
"### | فصل
",000,False,000,False,False,False,1,138
"### | فصل
",000,False,000,False,False,False,1,165
