string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [فضل أبي بكر الصديق رضي الله عنه]
",000,False,000,False,False,False,1,101
"### | ملخص البحث
",000,False,000,False,False,False,1,203
"### | 1- 
",000,False,000,False,False,False,1,9
"### | 2- 
",000,False,000,False,False,False,1,13
"### | 3- 
",000,False,000,False,False,False,1,469
"### | الفصل الأول: الدراسة
",000,False,000,False,False,False,1,7
"### | 1- 
",000,False,000,False,False,False,1,12
"### | 3- 
",000,False,000,False,False,False,1,7
"### | 4- 
",000,False,000,False,False,False,1,7
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,3
"### | 7- 
",000,False,000,False,False,False,1,3
"### | 8- 
",000,False,000,False,False,False,1,7
"### | اسمه ونسبه
",000,False,000,False,False,False,1,120
"### | ولادته، ونشأته وأسرته
",000,False,000,False,False,False,1,189
"### | صفاته، وشجاعته وكرمه
",000,False,000,False,False,False,1,120
"### | تعبده وزهده وورعه
",000,False,000,False,False,False,1,195
"### | شيوخه
",000,False,000,False,False,False,1,56
"### | تلاميذه
",000,False,000,False,False,False,1,88
"### | مؤلفاته
",000,False,000,False,False,False,1,137
"### | 1- 
",000,False,000,False,False,False,1,9
"### | 2- 
",000,False,000,False,False,False,1,13
"### | 3- 
",000,False,000,False,False,False,1,11
"### | 4- 
",000,False,000,False,False,False,1,13
"### | 5- 
",000,False,000,False,False,False,1,17
"### | 6- 
",000,False,000,False,False,False,1,14
"### | وفاته
",000,False,000,False,False,False,1,55
"### | وصف النسخة ms06 الخطية
",000,False,000,False,False,False,1,46
"### | اسم الكتاب
",000,False,000,False,False,False,1,80
"### | نسبة الكتاب للمؤلف
",000,False,000,False,False,False,1,46
"### | عدد أوراقها ومسطرتها
",000,False,000,False,False,False,1,134
"### | منهج ابن تيمية - رحمه الله -
",000,False,000,False,False,False,1,25
"### | 1- 
",000,False,000,False,False,False,1,35
"### | 2- 
",000,False,000,False,False,False,1,27
"### | 3- 
",000,False,000,False,False,False,1,26
"### | النص المحقق
",000,False,000,False,False,False,1,2461
"### | سبب تسمية الرافضة
",000,False,000,False,False,False,1,257
"### | الخاتمة
",000,False,000,False,False,False,1,100
"### | فائدة
",000,False,000,False,False,False,1,563
"### | الهوامش والتعليقات
",000,False,000,False,False,False,1,4
"### | المصادر والمراجع
",000,False,000,False,False,False,1,967
